epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_r2_epoch,val_r2_step,val_rmse_epoch,val_rmse_step
0,49,,11474.60546875,,75.05419921875,,-0.5409648418426514,,107.11958312988281,,,,,,,,
0,99,,8068.91796875,,64.14408111572266,,-0.4642813205718994,,89.82715606689453,,,,,,,,
0,149,,2602.203857421875,,28.14812469482422,,0.40133756399154663,,51.011802673339844,,,,,,,,
0,199,,4251.51611328125,,41.1413459777832,,0.24277091026306152,,65.20365142822266,,,,,,,,
0,249,,2546.412841796875,,28.75257682800293,,0.5805020332336426,,50.46199417114258,,,,,,,,
0,299,,4714.8642578125,,48.94768142700195,,0.12710028886795044,,68.66487121582031,,,,,,,,
0,349,,2008.1685791015625,,27.29533576965332,,0.6515235900878906,,44.81259536743164,,,,,,,,
0,399,,2864.34765625,,36.19843673706055,,0.31089699268341064,,53.51959991455078,,,,,,,,
0,449,,2771.029296875,,34.130130767822266,,0.5787560343742371,,52.640567779541016,,,,,,,,
,0,,,,,,,,,,3799.811279296875,,33.7789421081543,,0.5098901987075806,,61.642608642578125
,1,,,,,,,,,,2735.51025390625,,28.851757049560547,,0.5939000844955444,,52.30210876464844
,2,,,,,,,,,,3501.25537109375,,36.813255310058594,,0.46033453941345215,,59.17140579223633
,3,,,,,,,,,,3613.365478515625,,37.694580078125,,0.42798399925231934,,60.11127471923828
,4,,,,,,,,,,3207.111572265625,,30.746150970458984,,0.4605727195739746,,56.63136672973633
,5,,,,,,,,,,2936.451171875,,31.678768157958984,,0.4090656042098999,,54.18903350830078
,6,,,,,,,,,,2168.416015625,,23.113666534423828,,0.5427990555763245,,46.56625747680664
,7,,,,,,,,,,3164.749267578125,,33.09467315673828,,0.5422676801681519,,56.256103515625
,8,,,,,,,,,,3377.130859375,,38.99496841430664,,0.37483251094818115,,58.11308670043945
,9,,,,,,,,,,1856.64599609375,,22.31202507019043,,0.5372557640075684,,43.08881759643555
,10,,,,,,,,,,2764.711181640625,,25.939584732055664,,0.48466116189956665,,52.58052062988281
,11,,,,,,,,,,3552.30078125,,36.393218994140625,,0.44529080390930176,,59.60118103027344
,12,,,,,,,,,,2967.29931640625,,32.08095169067383,,0.5907390117645264,,54.472923278808594
,13,,,,,,,,,,2614.04736328125,,31.091522216796875,,0.48786091804504395,,51.12775421142578
,14,,,,,,,,,,1747.099365234375,,21.021221160888672,,0.6414732933044434,,41.798316955566406
,15,,,,,,,,,,2596.086669921875,,31.362119674682617,,0.5150115489959717,,50.95180892944336
,16,,,,,,,,,,2984.29833984375,,30.211084365844727,,0.5627126693725586,,54.62873077392578
,17,,,,,,,,,,2365.504638671875,,24.739654541015625,,0.5347785949707031,,48.636451721191406
,18,,,,,,,,,,2272.825927734375,,26.201669692993164,,0.5875478982925415,,47.67416763305664
,19,,,,,,,,,,2496.501953125,,27.359420776367188,,0.4480212330818176,,49.96500778198242
,20,,,,,,,,,,2849.4755859375,,31.648849487304688,,0.5643006563186646,,53.38047790527344
,21,,,,,,,,,,4084.615478515625,,40.022216796875,,0.3883756995201111,,63.91099548339844
,22,,,,,,,,,,3691.11572265625,,38.18165969848633,,0.46442222595214844,,60.754554748535156
,23,,,,,,,,,,3992.85595703125,,40.54149627685547,,0.3721316456794739,,63.189048767089844
,24,,,,,,,,,,3051.73681640625,,35.014183044433594,,0.46943849325180054,,55.242523193359375
,25,,,,,,,,,,2112.9931640625,,29.641002655029297,,0.5402470827102661,,45.96730422973633
,26,,,,,,,,,,1934.8548583984375,,20.66426658630371,,0.593533456325531,,43.98698425292969
,27,,,,,,,,,,3618.6875,,37.58366775512695,,0.4818931221961975,,60.1555290222168
,28,,,,,,,,,,4307.20703125,,40.703819274902344,,0.2906414866447449,,65.62931823730469
,29,,,,,,,,,,1979.797119140625,,24.460729598999023,,0.5166263580322266,,44.494911193847656
,30,,,,,,,,,,2078.01904296875,,25.159542083740234,,0.4651581645011902,,45.58529281616211
