epoch,step,train_accuracy_macro_2_epoch,train_accuracy_macro_2_step,train_accuracy_macro_3_epoch,train_accuracy_macro_3_step,train_accuracy_macro_4_epoch,train_accuracy_macro_4_step,train_accuracy_macro_5_epoch,train_accuracy_macro_5_step,train_accuracy_macro_epoch,train_accuracy_macro_step,train_accuracy_micro_2_epoch,train_accuracy_micro_2_step,train_accuracy_micro_3_epoch,train_accuracy_micro_3_step,train_accuracy_micro_4_epoch,train_accuracy_micro_4_step,train_accuracy_micro_5_epoch,train_accuracy_micro_5_step,train_accuracy_micro_epoch,train_accuracy_micro_step,train_f1_macro,train_f1_micro,train_loss_epoch,train_loss_step,val_accuracy_macro_2_epoch,val_accuracy_macro_2_step,val_accuracy_macro_3_epoch,val_accuracy_macro_3_step,val_accuracy_macro_4_epoch,val_accuracy_macro_4_step,val_accuracy_macro_5_epoch,val_accuracy_macro_5_step,val_accuracy_macro_epoch,val_accuracy_macro_step,val_accuracy_micro_2_epoch,val_accuracy_micro_2_step,val_accuracy_micro_3_epoch,val_accuracy_micro_3_step,val_accuracy_micro_4_epoch,val_accuracy_micro_4_step,val_accuracy_micro_5_epoch,val_accuracy_micro_5_step,val_accuracy_micro_epoch,val_accuracy_micro_step,val_f1_macro,val_f1_micro,val_loss_epoch,val_loss_step
0,49,,0.4078496992588043,,0.5663796663284302,,0.6950280070304871,,0.8828637599945068,,0.31125643849372864,,0.746505081653595,,0.8469961881637573,,0.919196605682373,,0.9696098566055298,,0.6411534547805786,,,,0.9741845726966858,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.39421772956848145,,0.5373915433883667,,0.636061429977417,,0.6977701783180237,,0.2618960738182068,,0.7308060526847839,,0.8487729430198669,,0.9173745512962341,,0.9493088722229004,,0.6057624816894531,,,,1.0354619026184082,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,0.43081074953079224,,0.5835610628128052,,0.6883116960525513,,0.7415319681167603,,0.2840462028980255,,0.8269401788711548,,0.9177053570747375,,0.9536843299865723,,0.9745162725448608,,0.6445647478103638,,,,0.9589015245437622,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,0.4373715817928314,,0.5811190009117126,,0.6608110666275024,,0.7595462799072266,,0.23343414068222046,,0.6932857036590576,,0.8241143822669983,,0.8890799880027771,,0.9427382946014404,,0.4391520321369171,,,,1.3990646600723267,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,0.5372112393379211,,0.6882567405700684,,0.7765265703201294,,0.8710674047470093,,0.35078155994415283,,0.8256010413169861,,0.8904138207435608,,0.9273346066474915,,0.9568301439285278,,0.6787247657775879,,,,0.8636939525604248,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,0.42676791548728943,,0.5452892184257507,,0.6326584219932556,,0.7123855948448181,,0.26897820830345154,,0.6049872040748596,,0.7431923151016235,,0.839844286441803,,0.8974660038948059,,0.44512292742729187,,,,1.4539666175842285,,,,,,,,,,,,,,,,,,,,,,,,
0,349,,0.4502137303352356,,0.5439068078994751,,0.6179977059364319,,0.6855452060699463,,0.26554742455482483,,0.7649054527282715,,0.863097071647644,,0.9306160807609558,,0.9625887870788574,,0.5766850709915161,,,,1.1090701818466187,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,0.5053701400756836,,0.6157099008560181,,0.7280875444412231,,0.8387664556503296,,0.322054922580719,,0.8261622786521912,,0.882006049156189,,0.9231420755386353,,0.9618151783943176,,0.7171329259872437,,,,0.7381098866462708,,,,,,,,,,,,,,,,,,,,,,,,
0,449,,0.4606037735939026,,0.5490274429321289,,0.6718162894248962,,0.7871500253677368,,0.32599321007728577,,0.7397406101226807,,0.812177300453186,,0.9081996083259583,,0.9669315218925476,,0.6404277086257935,,,,0.9643493294715881,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6076780557632446,,0.7343505024909973,,0.8195167779922485,,0.8756071925163269,,0.39773330092430115,,0.7479487061500549,,0.845866858959198,,0.9104385375976562,,0.9451054334640503,,0.547443151473999,,,,1.2057764530181885
