years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,466707777,140829016,44685742,0,858397,969226,0,5193427,211,0,0,238566,0,0
1985,466697251,140095609,45441395,0,836723,1066393,0,5107341,179,0,0,237471,0,0
1986,466670213,139516143,45878677,0,758078,1029804,0,5380817,163,0,0,248467,0,0
1987,466657084,138932579,46082587,0,740918,997665,0,5826982,164,0,0,244383,0,0
1988,466640791,138610780,45954837,0,734120,991175,0,6317651,121,0,0,232887,0,0
1989,466629666,139655276,44722547,0,748095,962722,0,6543087,135,0,0,220834,0,0
1990,466618049,140297431,43792039,0,785397,938038,0,6831571,121,0,0,219716,0,0
1991,466604045,139725825,44131705,0,808345,852751,0,7137191,109,0,0,222391,0,0
1992,466592776,139117305,44694266,0,824125,795185,0,7234175,104,0,0,224426,0,0
1993,466582964,138501671,45056852,0,830415,748247,0,7538381,224,0,0,223608,0,0
1994,466575019,137869658,45451752,0,861116,734293,0,7769384,427,0,0,220713,0,0
1995,466567922,137287636,45668427,0,896126,694184,0,8148761,724,0,0,218582,0,0
1996,466562901,136750994,45726372,0,944704,668473,0,8611322,1198,0,0,216398,0,0
1997,466557428,136204391,45853477,0,994338,684063,0,8973444,1747,0,0,213474,0,0
1998,466553879,135716324,45909020,0,1037902,696984,0,9356195,2569,0,0,209489,0,0
1999,466550976,135274065,45913839,0,1089865,723453,0,9720945,3385,0,0,205834,0,0
2000,466546922,134909435,45856045,0,1143683,766064,0,10053216,4311,0,0,202686,0,0
2001,466545809,134592568,45750457,0,1208736,818868,0,10360540,5323,0,0,200061,0,0
2002,466541959,134288496,45673070,0,1300169,880310,0,10593505,7409,0,0,197444,0,0
2003,466530683,134042861,45504241,0,1390180,928255,0,10881366,9273,0,0,195503,0,0
2004,466526944,133907259,45211555,0,1503045,980763,0,11148680,11089,0,0,193027,0,0
2005,466521302,133856358,44823657,4,1635028,1035395,0,11403160,13557,0,0,193901,0,0
2006,466519150,133711641,44515706,59,1771961,1088884,0,11665063,15704,0,0,194194,0,0
2007,466515621,133518360,44262170,197,1952424,1145069,0,11874817,17458,0,0,196246,0,0
2008,466512608,133295280,44005541,341,2156088,1202922,0,12091901,18876,0,0,198805,0,0
2009,466509187,133175412,43675389,552,2353360,1244404,0,12301863,20212,0,0,201983,0,0
2010,466505844,133120932,43315847,789,2577793,1277965,0,12480011,23364,0,0,179817,0,0
2011,466503259,133240455,42755731,1339,2850821,1315488,0,12598629,28219,0,0,188421,0,0
2012,466503177,133622234,41995405,2209,3167509,1360398,0,12610893,32769,0,0,187768,0,0
2013,466502265,134291023,40953212,3069,3516429,1422049,0,12565050,36921,0,0,192344,0,0
2014,466500091,134174371,40499616,4331,3858731,1470529,243,12735943,41722,0,0,196785,0,0
2015,466499082,133933430,40460004,6556,3878609,1518402,1548,12938477,47314,0,0,198940,0,0
2016,466497005,133783035,40112595,8271,4078957,1586624,2654,13162792,51670,0,0,198759,0,0
2017,466496330,133637509,39700544,10435,4320019,1641036,3500,13418058,57388,0,0,197543,0,0
2018,466496335,133555314,39241733,11776,4656400,1678490,4509,13582916,59969,0,0,194920,0,0
2019,466496767,133502541,39064639,13946,4839522,1702095,5564,13609966,57613,0,0,189709,0,0
2020,466497237,133497020,38762577,15419,5127310,1717889,7092,13619415,57414,0,0,180989,0,0
2021,466494353,133616702,38428681,14646,5385189,1727171,8294,13583250,57186,0,0,166890,0,0
2022,466496589,133587947,38376535,12773,5465775,1740666,9355,13585729,61414,0,0,145579,0,0
2023,466502895,133636454,38282792,10988,5435193,1748619,10880,13646255,87242,0,0,121044,0,0
2024,466344242,134593292,37406623,12421,4647539,1758242,10707,14412362,188955,0,0,107979,0,0
