years,0,1,2,3,4,5,6,7,8,9
1984,18166108,6443724,53,872388,4000295,17102,765,0,0,0
1985,18165941,6448853,18,1149125,3729457,5988,1053,0,0,0
1986,18165741,6236179,1530,1011124,4079359,5594,908,0,0,0
1987,18165480,6010833,7639,823314,4486469,5983,717,0,0,0
1988,18164650,5875958,12419,701526,4739510,5891,481,0,0,0
1989,18164026,5834389,14837,643854,4836260,6670,399,0,0,0
1990,18163686,5839197,16585,625724,4845537,9340,366,0,0,0
1991,18163157,6039719,15520,608513,4660687,12504,335,0,0,0
1992,18162760,5996389,18622,610387,4697112,14830,335,0,0,0
1993,18161947,5964682,13088,629655,4720225,10517,321,0,0,0
1994,18161409,5921443,17300,625273,4761769,12919,322,0,0,0
1995,18160991,5890355,19916,614639,4798446,15843,245,0,0,0
1996,18160641,5872248,21663,606886,4818687,20117,193,0,0,0
1997,18160208,5842459,23384,604354,4848209,21676,145,0,0,0
1998,18159874,5823388,25743,600847,4866875,23647,61,0,0,0
1999,18159506,5812217,27826,593452,4880792,26626,16,0,0,0
2000,18159445,5808630,31462,583036,4888513,29347,2,0,0,0
2001,18159202,5820314,37693,646220,4802153,34851,2,0,0,0
2002,18158658,5797883,41859,637111,4827046,37877,1,0,0,0
2003,18158247,5777687,46945,630944,4847047,39565,0,0,0,0
2004,18157863,5764227,52968,627723,4858389,39265,0,0,0,0
2005,18157580,5759457,62169,628823,4853901,38505,0,0,0,0
2006,18157303,5755266,71430,631467,4848397,36572,0,0,0,0
2007,18157040,5736172,83100,637885,4849923,36315,0,0,0,0
2008,18156668,5715302,94230,646305,4852150,35780,0,0,0,0
2009,18156464,5697640,108855,651259,4850303,35914,0,0,0,0
2010,18156215,5678910,125232,645359,4859109,35610,0,0,0,0
2011,18156015,5666430,146484,635289,4859968,36249,0,0,0,0
2012,18155875,5676536,161059,629890,4839353,37722,0,0,0,0
2013,18155658,5684402,172166,621516,4829106,37587,0,0,0,0
2014,18155708,5741920,180803,637755,4747782,36467,0,0,0,0
2015,18155362,5744545,192739,632825,4735427,39537,0,0,0,0
2016,18155133,5758743,197681,617760,4729301,41817,0,0,0,0
2017,18154897,5777517,190417,593510,4741531,42563,0,0,0,0
2018,18154744,5809262,185309,587776,4717674,45670,0,0,0,0
2019,18154917,5845865,176295,551499,4733322,38537,0,0,0,0
2020,18154273,5887126,174222,526395,4716465,41954,0,0,0,0
2021,18154141,5933633,172464,520207,4672237,47752,1,0,0,0
2022,18154083,5967344,174799,524262,4627369,52573,5,0,0,0
2023,18154031,5989977,176620,532221,4597713,49863,10,0,0,0
2024,18141817,6107278,134382,479472,4607952,29513,21,0,0,0
