years,0,1,2,3,4,5,6,7,8,9,10
1984,466707777,140323700,18159424,9751121,2922913,106294,0,3276092,5204574,13030467,0
1985,466697251,140035930,18383342,9850335,2639617,112783,0,3247474,5276188,13239442,0
1986,466670213,139491059,18855862,9640600,2544700,134321,0,3114472,5190688,13840447,0
1987,466657084,139061376,18974080,9543428,2613594,160339,0,3087622,5112329,14272510,0
1988,466640791,138874158,18759724,9378809,2766695,182790,0,3091466,5086016,14701913,0
1989,466629666,139627055,18074182,8819859,2926272,184105,0,2990523,5022748,15207952,0
1990,466618049,139826455,17140554,8739587,3118404,194722,0,2953132,5149921,15741538,0
1991,466604045,139360314,16843545,8897695,3297241,203762,0,2980563,5146620,16148577,0
1992,466592776,138934030,16523409,9053133,3359292,208513,0,3050994,5244976,16515239,0
1993,466582964,138483317,16132476,9193154,3462751,221875,0,3127707,5360781,16917337,0
1994,466575019,138091382,15676017,9308732,3539439,246412,0,3203864,5533873,17307624,0
1995,466567922,137719048,15177440,9414165,3555835,260431,0,3358288,5673896,17755337,0
1996,466562901,137333362,14642757,9521231,3598239,280880,0,3602267,5860198,18080527,0
1997,466557428,136944664,14149809,9610253,3609245,310011,0,3853194,6048969,18398789,0
1998,466553879,136593712,13687885,9706651,3600836,342497,0,4117721,6239610,18639571,0
1999,466550976,136289662,13209415,9802598,3611052,367005,0,4404104,6396856,18850694,0
2000,466546922,136073267,12748836,9797724,3641425,388415,0,4654037,6573417,19058319,0
2001,466545809,135874886,12261544,9879812,3654817,410354,0,4931938,6696336,19226866,0
2002,466541959,135698288,11862770,9923898,3683225,433207,0,5195689,6849640,19293686,0
2003,466530683,135532164,11417563,9996753,3687914,452293,0,5429507,6963081,19472404,0
2004,466526944,135459191,10985409,10072161,3696588,471081,0,5644825,7021313,19604850,0
2005,466521302,135418646,10549163,10119909,3666553,494757,0,5825165,7089674,19797193,0
2006,466519150,135267543,10221117,10162116,3677377,523302,0,6027879,7156864,19927014,0
2007,466515621,135078685,9965498,10142277,3681969,556662,0,6170381,7283939,20087330,0
2008,466512608,134894279,9693745,10204849,3736875,592191,0,6297390,7380488,20169937,0
2009,466509187,134751803,9434562,10228283,3755626,623335,0,6438338,7475088,20266140,0
2010,466505844,134595917,9214813,10286492,3713120,693810,0,6603641,7520362,20348363,0
2011,466503259,134676282,8851204,10225416,3700682,748054,0,6742510,7665501,20369454,0
2012,466503177,134978370,8374265,10132983,3682514,811968,0,6856501,7791447,20351137,0
2013,466502265,135259593,7901721,10491179,3666946,888490,0,6756152,7710031,20305985,0
2014,466500091,135158945,7505080,10844076,3757961,986092,0,6815353,7726230,20188534,0
2015,466499082,134962829,7245543,11215973,3862849,1097308,0,6862378,7741452,19994948,0
2016,466497005,134763892,6944143,11512151,4041167,1227704,0,6874045,7841789,19780466,0
2017,466496330,134559898,6671282,11791345,4186693,1417503,0,6839316,7825941,19694054,0
2018,466496335,134482650,6385016,12024372,4424945,1567076,0,6773617,7877261,19451090,0
2019,466496767,134472887,6088073,12329402,4673007,1666927,0,6665545,7922174,19167580,0
2020,466497237,134639723,5826926,12482223,4918322,1819442,0,6552174,7937053,18809262,0
2021,466494353,134915440,5554698,12611001,5158323,1972731,0,6430746,7856683,18488387,0
2022,466496589,135026205,5317358,12957819,5355762,2094395,0,6342918,7774708,18116608,0
2023,466502895,135227564,5120753,13241776,5738960,2175125,0,6178564,7617310,17679415,0
2024,466344242,136019990,4842865,13598843,6337937,2593245,0,6005584,6932763,16806893,0
