years,0,1,2,3,4,5,6,7,8,9,10
1984,22950212,5357362,276139,21460,1627765,0,0,31669,3323812,4630,0
1985,22950256,5354828,276075,21596,1616905,0,0,31812,3336945,4632,0
1986,22947877,5326388,284854,19315,1820382,0,0,28354,3158716,7163,0
1987,22948697,5130003,275009,14963,1925948,0,0,26058,3259504,12867,0
1988,22945766,4928219,250682,11079,2017961,0,0,22517,3397763,19062,0
1989,22945474,4789498,215897,9618,2032104,0,0,19820,3555715,24923,0
1990,22944987,4678059,191859,11105,2020157,0,0,18752,3693760,34370,0
1991,22944639,4597312,175632,10903,1994062,0,0,18208,3812917,39376,0
1992,22944134,4645479,192881,15132,2016616,0,0,20416,3714334,44057,0
1993,22943796,4601859,191176,17212,1983573,0,0,20207,3783862,51364,0
1994,22943716,4545229,181351,20987,1966471,0,0,19577,3857133,58585,0
1995,22943301,4519019,168797,28528,1945210,0,0,18896,3902372,66926,0
1996,22943128,4482661,155777,36188,1951646,0,9,18136,3927074,78430,0
1997,22942980,4444066,138885,40742,1956738,0,16,17118,3959518,92986,0
1998,22942563,4409825,121465,44674,1964320,0,22,16478,3986894,106808,0
1999,22942491,4373552,105126,48146,1974282,0,48,15863,4012651,120890,0
2000,22942367,4349427,91232,51097,1980908,0,300,15253,4028971,133494,0
2001,22942071,4336230,80180,54305,1979012,0,806,15007,4040784,144654,0
2002,22942129,4309386,72122,57722,2001313,0,1477,14703,4038975,155222,0
2003,22942236,4279786,68490,60041,2022971,0,2102,14710,4036140,166569,4
2004,22942137,4251369,68026,61514,2046724,0,2657,14746,4028835,177037,4
2005,22942097,4225327,70119,63831,2070117,0,3290,15018,4015833,187366,51
2006,22942073,4203788,73144,65407,2094946,0,3957,14913,3998719,195998,104
2007,22942128,4177789,78060,67540,2131017,0,5052,15314,3971290,204686,173
2008,22942232,4153534,86116,70744,2173225,0,6907,15535,3933372,211098,286
2009,22942164,4125873,97702,77031,2229318,0,10017,16349,3877723,216223,649
2010,22942207,4099277,111182,90462,2284342,0,14105,16875,3811375,221650,1574
2011,22942432,4086223,122091,107064,2348353,0,18720,17905,3725745,220690,3826
2012,22942824,4066330,154480,149314,2419153,0,25533,19206,3591739,219169,5301
2013,22943333,4030316,199045,207280,2491617,0,34319,20765,3435421,222045,8908
2014,22952424,3992904,268168,308079,2535967,0,43137,22651,3237456,219393,12870
2015,22947747,3963029,364317,482062,2494817,0,47314,25591,3037794,212484,17894
2016,22951309,3933563,469687,722243,2399916,0,48102,29856,2811202,203957,23214
2017,22957006,3903077,548753,1045886,2284800,0,45588,33776,2552126,193244,28793
2018,22958422,3876867,590090,1347258,2167177,24,41871,34818,2359904,183044,33574
2019,22968532,3848342,592748,1696262,2037192,219,38777,34000,2166421,171894,38662
2020,22975481,3812142,599106,2015709,1886087,163,38466,34501,2027330,158964,45100
2021,22987390,3784020,624488,2301797,1754787,139,38772,35259,1867685,144260,54452
2022,23007360,3754390,655483,2525513,1667282,137,45011,37770,1708975,126453,64675
2023,23088421,3687573,695586,2733750,1592389,140,58885,37781,1514024,110655,73845
2024,22642686,4058781,723695,2812774,1559160,155,87853,35887,1486199,100523,85336
