years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,85.3399658203125,659642944.0,661521920.0,665515840.0,670965888.0,677593088.0,685953216.0,695861888.0,708194560.0,722337216.0,738706624.0,756999168.0,776434880.0,796999168.0,818346176.0,837659264.0,855270144.0,871339968.0,887203392.0,900648512.0,913068800.0,922580928.0,926749056.0,925133056.0,916159680.0,896709056.0,871686720.0,845112000.0,814024192.0,781899264.0,753048064.0,727675968.0,707181760.0,691788928.0,681184000.0,674599488.0,669912064.0,667364224.0,664766720.0,661811328.0,659482368.0,659927424.0
1985,85.5942611694336,659648256.0,661660288.0,665844736.0,671372096.0,677881600.0,685934720.0,695894528.0,708237952.0,722520448.0,739038464.0,757364288.0,776946432.0,797827200.0,819481984.0,839333952.0,856948416.0,873574656.0,889187136.0,903002048.0,916206272.0,926021888.0,930214464.0,929282880.0,920269056.0,901661376.0,876748672.0,849244864.0,818444736.0,786398656.0,757480256.0,732180736.0,710859584.0,695008128.0,683246400.0,675736128.0,670370496.0,667615872.0,665173760.0,661931392.0,659482368.0,659911808.0
1986,85.56375122070312,659645184.0,661710784.0,666201280.0,671806528.0,678622144.0,686797184.0,697061696.0,709802944.0,724276288.0,740752512.0,758900160.0,778361600.0,798613120.0,820004864.0,840434432.0,858171328.0,874721984.0,889509056.0,902302912.0,915263232.0,925198208.0,930110976.0,928332544.0,919047360.0,901264448.0,877088448.0,850824704.0,820019072.0,789240704.0,761707648.0,737718272.0,716629248.0,699028608.0,686894464.0,678008320.0,672409856.0,668929664.0,666402560.0,663048704.0,659482368.0,660096128.0
1987,85.00016784667969,659641728.0,661793984.0,666729664.0,672691584.0,679880704.0,688568896.0,699317120.0,712127680.0,726739968.0,743332096.0,761819136.0,781050560.0,801502848.0,822696256.0,842910656.0,860244416.0,876202304.0,890195200.0,901480512.0,912748928.0,921082176.0,925630144.0,923880384.0,915180864.0,896423936.0,874144384.0,847871552.0,818353472.0,787627200.0,761855040.0,740415168.0,721164480.0,703484480.0,690085824.0,680470016.0,674028416.0,670020544.0,667025792.0,663889664.0,659482368.0,660350656.0
1988,84.40192413330078,659650368.0,661893504.0,667107008.0,673429056.0,680943360.0,689948864.0,700983168.0,714464640.0,729508032.0,746145792.0,764424384.0,784414592.0,805120512.0,825779200.0,845069120.0,861532480.0,876300608.0,888678336.0,898820736.0,908486016.0,915954816.0,920268416.0,918201472.0,907603840.0,888496576.0,866948992.0,842240064.0,814565440.0,786059904.0,761901632.0,742522560.0,724398528.0,708056256.0,694285888.0,683572928.0,676654592.0,671789056.0,668199040.0,664580096.0,659482368.0,660905344.0
1989,84.65423583984375,659636352.0,661890304.0,666479872.0,672337536.0,679868032.0,688744384.0,700135616.0,713958464.0,729144000.0,745689216.0,763692416.0,782955520.0,802994944.0,822862976.0,841673152.0,858126272.0,872700416.0,885034816.0,895063488.0,902826880.0,909454784.0,912946688.0,910064640.0,899187648.0,881357888.0,861110016.0,836592576.0,810405184.0,785129984.0,762304768.0,743778496.0,726793792.0,710418944.0,697160384.0,686462080.0,678532928.0,673096064.0,668949760.0,665258624.0,659482368.0,661749696.0
1990,84.6960220336914,659626752.0,661735168.0,666425792.0,672343488.0,680138624.0,689433408.0,700792576.0,714178688.0,728896960.0,744728960.0,762223872.0,780810112.0,800083584.0,819563904.0,837801472.0,854005376.0,868424960.0,880738496.0,890796352.0,898783424.0,905044032.0,908816768.0,907275840.0,896747584.0,878464640.0,857330624.0,833119808.0,807336320.0,782947648.0,761868224.0,744099648.0,727529920.0,712577408.0,699750016.0,688848000.0,679876992.0,674405888.0,669662976.0,666101568.0,659482368.0,662218240.0
1991,84.5159683227539,659609600.0,661598848.0,666405952.0,672792576.0,680807232.0,690286848.0,701951488.0,715396864.0,730588672.0,746680832.0,764517824.0,783331008.0,802177984.0,821937024.0,839928512.0,857130432.0,872319104.0,884659584.0,893702592.0,900355392.0,905076032.0,907291008.0,905375232.0,895787328.0,877793472.0,855535360.0,830742976.0,806387584.0,783158784.0,762434368.0,744655040.0,728414720.0,714549824.0,702157056.0,691579904.0,682192000.0,675249024.0,670342912.0,666763008.0,659482368.0,662711296.0
1992,84.46800231933594,659594624.0,661412096.0,666147904.0,672966720.0,681378176.0,691017024.0,702985344.0,716627520.0,732054144.0,748468544.0,766551040.0,785735872.0,805351232.0,825152832.0,843395840.0,860590272.0,876178432.0,887719680.0,896485248.0,902855360.0,906936256.0,907338432.0,904931712.0,894651328.0,876040768.0,853527744.0,827453312.0,803545984.0,781966848.0,763151872.0,744999616.0,730146432.0,717034048.0,705440320.0,695713664.0,685854464.0,678068480.0,672128064.0,667910656.0,659482368.0,663189568.0
1993,84.40789794921875,659580992.0,661308544.0,666070720.0,673457152.0,682105216.0,692293760.0,704549760.0,718471232.0,733908608.0,750498816.0,768539904.0,788003264.0,807670784.0,827451904.0,846045056.0,863202112.0,878394944.0,889386816.0,896998272.0,902856064.0,906383744.0,906115648.0,902205120.0,890808960.0,871472640.0,849742080.0,825667584.0,803384064.0,783635904.0,766667008.0,749287808.0,733951872.0,721090816.0,709354112.0,699829376.0,690227328.0,681424832.0,674557312.0,669510912.0,659482368.0,664310080.0
