years,0,1,2,3,4,5,6,7,8,9,10
1984,116159105,20638465,25136395,17978304,2614372,177794,57,3593064,16995394,22353150,0
1985,116159081,20448906,25415929,18062386,2606932,175121,57,3596236,17042483,22138969,0
1986,116151001,20206434,25795588,16899449,2287832,178342,168,3089843,17806292,23231151,0
1987,116144734,20062149,25525445,16417381,2312497,132371,378,2797947,18585210,23667988,0
1988,116139672,20101614,24696162,16226588,2348015,83953,241,2585130,19285629,24179096,0
1989,116138417,20337919,23074971,15787767,2692447,89355,60,2335062,20281787,24908315,0
1990,116134028,20447768,21872393,15586677,2736738,85312,40,2127919,20924401,25730824,0
1991,116130194,20507908,21208215,15318286,2695850,73392,39,1984113,21405907,26322196,0
1992,116125941,20624804,21767313,15045008,2627589,68678,33,1855066,21583378,25948290,0
1993,116122950,20638649,21301161,14762813,2713928,61431,12,1710861,22138298,26195997,0
1994,116120151,20661412,20567623,14463491,2777206,55462,0,1602655,22805671,26592429,0
1995,116117648,20707224,19798265,14134198,2832888,44474,0,1500201,23363893,27147309,0
1996,116116005,20745406,18914104,13921324,2867011,36553,0,1393042,23989008,27663647,0
1997,116114472,20708367,17749440,13695069,2887451,31504,0,1291010,24641648,28527139,0
1998,116113274,20687197,16475454,13547389,2977709,27618,0,1202464,25230242,29384753,0
1999,116112026,20672669,15144500,13179028,3143035,25220,0,1119661,25841947,30408014,0
2000,116111122,20670451,13877751,13042368,3311284,24755,0,1059995,26330580,31217791,3
2001,116109298,20735003,12761381,13006584,3463658,24670,0,1002175,26751362,31791969,0
2002,116108499,20683926,11992577,12950768,3619660,24885,0,986962,27216597,32062215,11
2003,116107005,20658814,10982319,12877954,3753775,24983,0,961714,27542800,32736485,251
2004,116107173,20625966,10262914,12619727,3896057,24320,0,944182,27826421,33338694,646
2005,116110389,20646252,9582346,12482144,3943678,23381,0,938661,27960387,33957742,1120
2006,116107778,20699091,8933190,12498834,3946225,22241,0,927343,27775773,34734833,792
2007,116105037,20641812,8474962,12262587,3906466,20911,0,919907,27990841,35322369,1208
2008,116103480,20644997,8062039,12055557,3934141,19975,61,933176,28103822,35786991,1861
2009,116102265,20659482,7684802,11919912,3992937,19298,84,953311,28122558,36188266,3185
2010,116101517,20671916,7311879,11858594,4071590,18535,86,985479,28073636,36548316,4552
2011,116101154,20901456,6777923,11933480,4130120,18467,80,1004702,27800729,36971935,6054
2012,116100381,20934670,6427678,11941286,4224101,18970,74,1038110,27621948,37331213,7669
2013,116100124,21004862,6095833,11975929,4312726,19665,68,1081734,27543735,37502078,9346
2014,116100813,21229933,5715347,12096559,4485040,21322,60,1123455,27393659,37468231,11681
2015,116099380,21341981,5449923,12150591,4737651,23314,57,1163023,27343728,37322398,14054
2016,116098985,21528156,5199000,12271086,5142227,25158,67,1219056,27130602,37014800,16963
2017,116098909,21668129,4960612,12431238,5630316,32536,77,1287992,26820833,36694667,20791
2018,116099061,21861546,4699272,12717072,6204250,71834,66,1358957,26456892,36154184,22966
2019,116098691,22152334,4470993,12999794,6852236,159853,153,1421524,26081012,35381572,27938
2020,116097874,22495208,4216643,13261976,7520023,271413,307,1498262,25667594,34580794,36006
2021,116097438,22917286,3954735,13557645,8262242,442360,457,1553574,25077058,33732395,50910
2022,116097254,23314570,3717208,13891327,9277283,644688,902,1619603,24370994,32644699,67572
2023,116098594,23784029,3601424,14506217,10356633,909588,1076,1689279,23285504,31326873,86883
2024,116067942,24543181,3143178,14581608,11976251,1303154,1171,1788079,22438700,29694001,108835
