years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,18166108,7061826,2829279,141755,449948,774497,0,76966,0,0,0,56,0,0
1985,18165941,6991078,3057994,95049,409522,703288,0,77563,0,0,0,0,0,0
1986,18165741,6724530,3787707,113251,291644,381439,0,36122,0,0,0,1,0,0
1987,18165480,6414782,4458327,117888,136851,199882,0,7198,0,0,0,27,0,0
1988,18164650,6202377,4815842,120027,89018,106549,0,1913,0,0,0,59,0,0
1989,18164026,6150590,4848687,151248,93062,88295,0,4488,0,0,0,39,0,0
1990,18163686,6161127,4737002,196310,93349,145861,0,3081,0,0,0,19,0,0
1991,18163157,6402568,4371371,100226,118783,334469,0,9852,0,0,0,9,0,0
1992,18162760,6332059,4420859,95831,119512,352112,0,17298,0,0,0,4,0,0
1993,18161947,6267081,4533737,92145,107674,324034,0,13816,0,0,0,1,0,0
1994,18161409,6192373,4611483,97224,99029,324901,0,14016,0,0,0,0,0,0
1995,18160991,6147079,4648822,107520,94492,327690,0,13841,0,0,0,0,0,0
1996,18160641,6120028,4652629,122947,91992,337783,0,14415,0,0,0,0,0,0
1997,18160208,6087359,4672359,141606,90369,335736,0,12798,0,0,0,0,0,0
1998,18159874,6061797,4676850,161190,91148,336889,0,12687,0,0,0,0,0,0
1999,18159506,6042597,4655343,183884,92811,352441,0,13853,0,0,0,0,0,0
2000,18159445,6026213,4633420,207558,93537,365487,0,14775,0,0,0,0,0,0
2001,18159202,6071122,4427023,234039,116671,468013,0,24365,0,0,0,0,0,0
2002,18158658,6019079,4396913,262267,117251,517036,0,29231,0,0,0,0,0,0
2003,18158247,5970173,4371359,289482,112070,565467,0,33637,0,0,0,0,0,0
2004,18157863,5929314,4324333,320893,105671,623427,0,38934,0,0,0,0,0,0
2005,18157580,5903104,4249162,353477,105028,686072,0,46012,0,0,0,0,0,0
2006,18157303,5873010,4193803,394636,103840,725386,0,52457,0,0,0,0,0,0
2007,18157040,5834685,4116450,453232,104897,774036,0,60095,0,0,0,0,0,0
2008,18156668,5791639,4041966,519066,103499,821212,0,66292,0,0,0,0,93,0
2009,18156464,5761747,3942384,607206,100712,858321,0,73382,0,0,0,0,219,0
2010,18156215,5733056,3839110,713985,95076,883979,0,78591,0,0,0,0,423,0
2011,18156015,5723841,3691974,851815,88816,903517,0,83701,0,0,0,0,756,0
2012,18155875,5728289,3548287,978374,94730,907099,0,86630,0,0,0,0,1151,0
2013,18155658,5737881,3418069,1100886,85710,912610,0,88331,0,0,0,0,1290,0
2014,18155708,5821546,3230032,1186121,94056,924865,0,86598,0,0,0,0,1509,0
2015,18155362,5809199,3140372,1324967,93560,885615,0,89589,0,0,0,0,1771,0
2016,18155133,5797806,3046423,1479422,93946,828570,0,97134,0,0,0,0,2001,0
2017,18154897,5798213,3002639,1621623,99467,717241,0,103885,0,0,0,0,2470,0
2018,18154744,5831644,2861799,1718471,129010,685511,0,116107,0,0,0,0,3149,0
2019,18154917,5850894,2843090,1793811,151711,557660,0,143708,0,0,0,0,4644,0
2020,18154273,5883102,2756244,1918740,143541,490211,0,150382,0,0,0,0,3942,0
2021,18154141,5909847,2700962,2019688,140907,426309,0,146051,0,0,0,0,2530,0
2022,18154083,5928143,2681979,2065894,157674,367687,0,143774,0,0,0,0,1201,0
2023,18154031,5942289,2668268,2068551,181110,335009,0,150355,0,0,0,0,822,0
2024,18141817,6084909,2675041,1938696,193749,279693,0,185880,0,0,0,0,650,0
