years,0,1,2,3,4,5,6,7,8,9
1984,22950212,4989389,14632,3854276,1758206,26156,178,0,0,0
1985,22950256,4953402,12330,3896985,1753698,26201,177,0,0,0
1986,22947877,4869978,16024,4031048,1699235,28642,245,0,0,0
1987,22948697,4814265,20130,3922512,1854997,32207,241,0,0,0
1988,22945766,4741685,23679,3817929,2027436,36374,180,0,0,0
1989,22945474,4636292,29284,3701939,2240558,39342,160,0,0,0
1990,22944987,4550672,28873,3547257,2478972,42103,185,0,0,0
1991,22944639,4464014,26883,3372470,2742074,42806,163,0,0,0
1992,22944134,4483371,28533,3266647,2825776,44518,70,0,0,0
1993,22943796,4417744,29562,3130630,3026798,44482,37,0,0,0
1994,22943716,4349763,31881,3008591,3214227,44864,7,0,0,0
1995,22943301,4303408,34068,2898055,3368704,45513,0,0,0,0
1996,22943128,4248996,36250,2807202,3512632,44841,0,0,0,0
1997,22942980,4201863,39895,2729102,3635310,43899,0,0,0,0
1998,22942563,4155748,42889,2670366,3738251,43232,0,0,0,0
1999,22942491,4114486,45813,2620658,3826287,43314,0,0,0,0
2000,22942367,4076472,49418,2566713,3915136,42943,0,0,0,0
2001,22942071,4044048,52716,2523850,3989111,41253,0,0,0,0
2002,22942129,4013420,56902,2462109,4075341,43148,0,0,0,0
2003,22942236,3982826,61785,2408949,4154214,43039,0,0,0,0
2004,22942137,3954612,66912,2361138,4225350,42900,0,0,0,0
2005,22942097,3928887,71707,2324510,4282762,43086,0,0,0,0
2006,22942073,3905007,78176,2292828,4332227,42738,0,0,0,0
2007,22942128,3882606,86096,2256862,4382485,42872,0,0,0,0
2008,22942232,3860583,92943,2214415,4439417,43459,0,0,0,0
2009,22942164,3838214,100581,2161112,4507502,43476,0,0,0,0
2010,22942207,3813658,108703,2074521,4610500,43460,0,0,0,0
2011,22942432,3793831,118214,2018978,4676685,42909,0,0,0,0
2012,22942824,3765082,139335,1967645,4735521,42642,0,0,0,0
2013,22943333,3726156,167063,1863114,4850995,42388,0,0,0,0
2014,22952424,3694905,184333,1820363,4898595,42429,0,0,0,0
2015,22947747,3681426,184536,1853666,4881744,43930,0,0,0,0
2016,22951309,3670298,167634,1902975,4856659,44174,0,0,0,0
2017,22957006,3664914,155111,1923816,4846288,45914,0,0,0,0
2018,22958422,3656349,148588,1921385,4860740,47565,0,0,0,0
2019,22968532,3642912,143168,1898431,4888563,51443,0,0,0,0
2020,22975481,3625566,145327,1850906,4941889,53880,0,0,0,0
2021,22987390,3615504,142233,1816199,4975875,55848,0,0,0,0
2022,23007360,3605801,135860,1784685,5002055,57288,0,0,0,0
2023,23088421,3556891,126248,1847259,4914777,59453,0,0,0,0
2024,22642686,3906161,132221,1807871,5050397,53713,0,0,0,0
