years,0,1,2,3,4,5,6,7,8,9,10
1984,234423708,45010444,14491888,15780049,3726621,89112,0,546680,9034080,4335542,0
1985,234422293,44847203,15244815,16021115,3848011,83151,0,537526,8952396,3481614,0
1986,234417771,44698084,15473076,15909400,3890327,81404,0,526537,8910795,3530730,0
1987,234412263,44648410,15221971,15774967,4004046,78935,0,524516,9119523,3653493,0
1988,234405917,44604076,14789432,15488823,4202783,78061,0,533161,9520129,3815742,0
1989,234401314,44730125,14158375,15206044,4488519,76836,0,550018,9693410,4133483,0
1990,234396063,44689907,13648387,14809655,4797009,71765,0,552835,10130373,4342130,0
1991,234392301,44621087,13195901,14409032,5052254,70717,0,545272,10647520,4504040,0
1992,234388512,44523101,12736148,14102721,5284169,68618,0,534266,11190226,4610363,0
1993,234385355,44447874,12377949,13801750,5528804,62453,0,520358,11635852,4677729,0
1994,234381984,44330868,11772490,13511143,5892211,61170,0,518721,12216534,4753003,0
1995,234379206,44219168,11217384,13226578,6288808,59374,0,521436,12736568,4789602,0
1996,234376864,44109248,10763397,12994643,6651007,56957,0,526079,13167596,4792333,0
1997,234374356,44013681,10371910,12806899,6984059,51097,0,529360,13529804,4776958,0
1998,234372467,43923319,9958452,12642850,7336064,45384,0,534691,13882220,4742677,0
1999,234370902,43844250,9647623,12426418,7721608,40923,0,541695,14161754,4682951,0
2000,234369066,43805907,9326226,12243368,8097362,35075,0,559540,14391805,4609775,0
2001,234367704,43732303,9040566,12101551,8458344,32555,0,585249,14576711,4543141,0
2002,234366177,43652892,8915773,11984248,8778462,34668,0,587650,14629353,4488901,0
2003,234363996,43639290,8619556,11866330,9064592,39148,0,591004,14801143,4453065,0
2004,234363093,43637519,8300232,11820940,9298408,48348,0,598196,14948374,4423014,0
2005,234361500,43641881,8035835,11797984,9467204,60435,0,602684,15060260,4410341,0
2006,234360080,43654182,7844293,11752435,9621261,71864,0,612523,15114044,4407442,0
2007,234359242,43596785,7775677,11596604,9814838,81796,0,619005,15179770,4414407,0
2008,234357911,43558469,7671397,11510112,9955688,91015,0,624112,15228167,4441253,0
2009,234357147,43533413,7622350,11288580,10192161,98278,0,632735,15221065,4492395,0
2010,234356417,43521715,7451263,11110074,10395194,106657,0,636213,15314437,4546154,0
2011,234355940,43602817,7265921,10984078,10510439,117602,0,655851,15353537,4591939,0
2012,234355776,43796111,7029592,10866573,10657612,135695,0,664182,15260843,4671740,0
2013,234355868,43906441,7007950,10953560,10842420,176453,0,682579,14734425,4778428,0
2014,234355683,43881629,6778279,10941533,11078642,226475,0,696522,14616820,4862541,0
2015,234354582,43767470,6590066,10809665,11511200,280968,0,700027,14603819,4820327,0
2016,234354395,43680116,6365062,10688731,11854491,330858,0,706395,14642086,4815990,0
2017,234353763,43635507,6154267,10629105,12132103,409427,0,717115,14599763,4807074,0
2018,234354027,43638456,5939040,10658030,12361268,528070,0,727149,14447105,4784979,0
2019,234353341,43661862,5734521,10759645,12627313,697740,0,733011,14170519,4700172,0
2020,234354733,43733863,5596966,10961617,12839560,933994,0,738969,13670690,4607724,8
2021,234352583,43832375,5490466,11191782,13033733,1158933,0,743032,13132792,4502428,0
2022,234352561,43965288,5420111,11549727,13055578,1336982,0,739817,12631182,4386878,0
2023,234353513,44125394,5428031,12003770,12817273,1537136,0,758577,12144655,4269775,0
2024,234300979,44723136,5303598,13020042,13209310,996367,0,731751,11263050,3889891,0
