years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,135.98263549804688,225655824.0,225962208.0,226775472.0,227926080.0,228882752.0,230133744.0,231819264.0,233973904.0,236739152.0,239835328.0,243816416.0,248869968.0,255506864.0,264014624.0,274763296.0,288590688.0,305596096.0,326825952.0,353631936.0,387516832.0,427565312.0,478237312.0,540091136.0,613425536.0,696794816.0,800055552.0,911449472.0,1024145536.0,1135941632.0,1220806784.0,1265787648.0,1249460992.0,1182900864.0,1047131008.0,835347200.0,600514432.0,418374784.0,304990528.0,254416928.0,225646096.0,228694912.0
1985,136.59278869628906,225655392.0,225845664.0,226511536.0,227669312.0,228663744.0,229989248.0,231751136.0,233760688.0,236438704.0,239695856.0,243637344.0,248501776.0,254991568.0,263423520.0,273733440.0,287231488.0,303865152.0,324721504.0,350759968.0,383152064.0,421677184.0,471086848.0,531972128.0,604323584.0,689027584.0,794675072.0,910974336.0,1031481536.0,1147537408.0,1238924288.0,1285394560.0,1266892800.0,1199571072.0,1068501696.0,856116352.0,613256512.0,424389312.0,309019840.0,256261872.0,225646096.0,228771344.0
1986,136.61700439453125,225654160.0,225900176.0,226707984.0,227816416.0,228866160.0,230137696.0,231886864.0,233964608.0,236544768.0,239605280.0,243563360.0,248467760.0,254886720.0,262904832.0,273609024.0,287109280.0,303443680.0,324012768.0,350333824.0,383048416.0,422536608.0,472328416.0,531187712.0,602578112.0,689275584.0,794425856.0,910427520.0,1028986624.0,1148650240.0,1246449536.0,1310245760.0,1302053120.0,1240990464.0,1100795008.0,871573504.0,609919104.0,402166112.0,291379136.0,244993152.0,225646096.0,226992272.0
1987,136.65904235839844,225654464.0,225961760.0,226833664.0,228053248.0,229021424.0,230269440.0,231936400.0,234108848.0,236419536.0,239605440.0,243513312.0,248497360.0,254420080.0,262662848.0,273438848.0,287093760.0,303394752.0,324293248.0,350556640.0,383388960.0,424316000.0,474417376.0,534447936.0,607747904.0,695457536.0,802124608.0,922742976.0,1044301696.0,1159391104.0,1253316864.0,1312579328.0,1304367232.0,1244003840.0,1108517632.0,879620736.0,620910272.0,412826016.0,298105056.0,247042880.0,225646096.0,227176992.0
1988,136.3459930419922,225653744.0,225999536.0,226978400.0,228352896.0,229409936.0,230538016.0,232195088.0,234157872.0,236578896.0,239816416.0,243652656.0,248515920.0,254735056.0,262802496.0,273840448.0,288025504.0,304884704.0,325833280.0,352448896.0,386702816.0,427386432.0,477975616.0,539334848.0,613006400.0,703967232.0,813038656.0,935012352.0,1056708480.0,1166142464.0,1254547712.0,1303236992.0,1291057280.0,1225771520.0,1096068736.0,868975872.0,621188608.0,418811168.0,302291328.0,249375616.0,225646096.0,227437728.0
1989,135.94534301757812,225652416.0,225950320.0,227039632.0,228663840.0,229855872.0,231026976.0,232838688.0,234938496.0,237021968.0,240121360.0,244089776.0,249297008.0,255857136.0,264511712.0,276035424.0,290740544.0,307746240.0,329139104.0,355965600.0,389804704.0,432318624.0,482647168.0,543978880.0,617570368.0,708065408.0,817802240.0,937084736.0,1051413824.0,1151834752.0,1232409472.0,1275655424.0,1261595520.0,1193114368.0,1063100800.0,845905856.0,618160448.0,438732064.0,332427168.0,272981952.0,225646096.0,230477488.0
1990,135.51979064941406,225651856.0,225885504.0,226956736.0,228828320.0,230323296.0,231488432.0,233186928.0,235114192.0,237432240.0,240534528.0,244512128.0,249688928.0,256593792.0,265389216.0,276796448.0,291865216.0,309804544.0,331564608.0,358943168.0,393444960.0,436780800.0,486854560.0,549884864.0,625571264.0,716999232.0,824974080.0,940704960.0,1051406464.0,1143110272.0,1217285632.0,1257533696.0,1244940416.0,1177071360.0,1051401344.0,838433088.0,615083456.0,437424864.0,331949152.0,272145696.0,225646096.0,230591728.0
1991,135.5452880859375,225651520.0,225825104.0,226700416.0,228424608.0,230148400.0,231416528.0,232976880.0,235055120.0,237364448.0,240764080.0,244770592.0,249719792.0,256612800.0,265510112.0,277011680.0,291622464.0,310000512.0,332554080.0,359567072.0,394549088.0,437765440.0,489776416.0,553278272.0,630422592.0,720851840.0,827614080.0,945075392.0,1055625152.0,1142626816.0,1212049920.0,1250362624.0,1238874880.0,1173307904.0,1049202816.0,841327296.0,618014592.0,438852032.0,332911584.0,271873600.0,225646096.0,230805712.0
1992,136.6067657470703,225651760.0,225780272.0,226362720.0,227832288.0,229473232.0,230700080.0,232242432.0,234206416.0,236527696.0,239548608.0,243443648.0,248223488.0,254609568.0,262962496.0,273664448.0,287756896.0,305451328.0,327704864.0,354719424.0,388918304.0,432046720.0,483750272.0,547132416.0,623189888.0,714021696.0,819752256.0,934777920.0,1049141248.0,1149692672.0,1225140608.0,1275223296.0,1272096384.0,1209123584.0,1080819328.0,868711168.0,640569280.0,450415712.0,336636608.0,272639264.0,225646096.0,230862656.0
1993,136.67442321777344,225652560.0,225773824.0,226323344.0,227767088.0,229718320.0,230869152.0,232473536.0,234463040.0,236834400.0,239647296.0,243676512.0,248473616.0,254754560.0,262777040.0,273558368.0,287470432.0,305020288.0,326949024.0,353864128.0,387792800.0,430886176.0,482777696.0,545184512.0,621988736.0,714639872.0,821757568.0,936680256.0,1054688832.0,1154607360.0,1229845888.0,1276312832.0,1270232832.0,1211132800.0,1086629632.0,877119936.0,646148416.0,454287040.0,338725984.0,274018816.0,225646096.0,231140640.0
