years,0,1,2,3,4,5,6,7,8,9,10
1984,317435399,33858295,3819311,5313238,26681474,203117,0,2515994,5433242,8204944,0
1985,317434302,33727852,4171656,5137014,26848131,190119,0,2372585,5352584,8230771,0
1986,317424800,33771692,4104188,5199722,26884870,186658,0,2193989,5517467,8181628,0
1987,317418073,33829047,3817994,5430061,27273311,192072,0,2051011,5330824,8122621,0
1988,317413292,33876155,3520910,5534569,27848701,198091,0,1967018,5089459,8016819,0
1989,317408170,33926723,3258735,5547902,27864002,206657,0,1935853,5288871,8028101,0
1990,317403571,33915064,2878092,5419966,28100172,197783,0,1931914,5558309,8060143,0
1991,317398962,33939954,2556067,5359844,28766323,196832,0,1878781,5341904,8026347,0
1992,317395835,33964742,2343687,5286840,29398714,192841,0,1847383,5076157,7958815,0
1993,317391716,33969323,2172950,5173945,30133378,187354,0,1802367,4717562,7916419,0
1994,317388408,33973711,1961548,5083624,30906050,186034,0,1781243,4352159,7832237,0
1995,317385554,33994684,1778689,4994633,31693229,192322,0,1757692,3943750,7724461,0
1996,317383471,34007171,1635528,4905751,32436863,208984,0,1750173,3520923,7616150,0
1997,317381007,34010255,1535163,4818329,33048950,220382,0,1745232,3168769,7536927,0
1998,317379384,34028088,1443264,4715820,33562461,234853,0,1740735,2888544,7471865,0
1999,317377774,34059455,1367450,4621986,34022063,245267,0,1741282,2651944,7377793,0
2000,317375732,34100327,1296055,4517244,34387039,258015,0,1751367,2478541,7300694,0
2001,317374083,34172441,1229440,4430970,34722221,277387,0,1745338,2301518,7211616,0
2002,317373019,34233526,1157750,4364922,34975212,294642,0,1728104,2173330,7164509,0
2003,317370767,34280118,1106866,4312555,35168557,317133,0,1740635,2057856,7110527,0
2004,317369719,34325853,1059051,4263780,35306234,332947,0,1753122,1944642,7109666,0
2005,317368418,34365117,1024301,4219713,35287671,340052,0,1779248,1901258,7179236,0
2006,317367759,34403475,991444,4183045,35234632,356476,0,1808643,1888765,7230775,0
2007,317367154,34445277,949829,4149679,35218479,375520,0,1834656,1848184,7276236,0
2008,317366006,34499610,910652,4126775,35169951,396563,0,1856083,1809327,7330047,0
2009,317364848,34568241,868935,4097971,35028223,424503,0,1875820,1824317,7412156,0
2010,317364814,34607235,827781,4070375,34389490,488114,0,1863401,1934803,7919001,0
2011,317363430,34717412,785640,4018185,34317320,523616,0,1892641,1956436,7890334,0
2012,317363638,34832065,738460,3959476,34175485,577194,0,1915956,2006962,7895778,0
2013,317363256,35053354,679052,3912704,33470395,668703,0,1909186,2360733,8047631,0
2014,317362483,35118427,623765,3838883,33169253,857429,0,1959477,2544709,7990588,0
2015,317361720,35217281,569479,3807083,32888395,1049926,0,2021220,2548710,8001200,0
2016,317361229,35304966,520706,3758615,32609309,1401823,0,2073879,2456235,7978252,0
2017,317360738,35393716,483166,3714815,32378737,1795388,0,2131525,2231051,7975878,0
2018,317360549,35500925,446206,3659558,31985378,2334378,0,2209123,1986525,7982372,0
2019,317361233,35608842,418913,3652365,31083048,3175201,0,2267797,1921383,7976232,0
2020,317361108,35719750,385424,3566224,30016778,4146370,0,2327944,1942762,7998654,0
2021,317361116,35842983,352718,3453080,28626472,5424193,0,2369669,2027654,8007129,0
2022,317361971,35965853,320522,3290842,27430434,6544927,0,2375709,2165223,8009533,0
2023,317362818,36012042,281591,3130635,26451847,7557283,0,2328362,2339133,8001303,0
2024,317329327,36085316,236104,3056498,25345274,9181452,0,2250854,2326928,7653171,90
