years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,134.3387908935547,403473408.0,403531264.0,403691680.0,403900768.0,404161536.0,404465312.0,404768192.0,405325888.0,406064576.0,407073216.0,408386304.0,410156096.0,412633664.0,416098016.0,420403008.0,426231456.0,434512576.0,445631296.0,461892288.0,484909824.0,515521280.0,557434304.0,615299392.0,691132864.0,784210240.0,896954304.0,1019857856.0,1134062848.0,1205997056.0,1215671040.0,1138099456.0,968143168.0,771118912.0,595176384.0,480826688.0,429266272.0,411974176.0,406561632.0,404622080.0,403465024.0,403666368.0
1985,134.37985229492188,403473600.0,403535712.0,403713280.0,403935168.0,404230784.0,404577920.0,404891232.0,405458048.0,406204160.0,407224096.0,408526016.0,410279648.0,412647872.0,415967488.0,420136096.0,425858752.0,433725824.0,444443872.0,459868800.0,481752064.0,511091648.0,552334400.0,612003584.0,692064832.0,793371136.0,912654400.0,1036690816.0,1145800320.0,1212738816.0,1214459648.0,1134078208.0,965232256.0,770556288.0,595456704.0,481574432.0,429836992.0,412296064.0,406825056.0,404698272.0,403465024.0,403671168.0
1986,134.70957946777344,403473760.0,403537984.0,403699168.0,403974912.0,404284928.0,404630656.0,404946496.0,405469312.0,406204480.0,407249888.0,408588864.0,410339232.0,412659648.0,415984800.0,420551872.0,426236032.0,433900320.0,443928000.0,458011424.0,479117088.0,507522720.0,547362496.0,607151296.0,688463616.0,789497408.0,906834688.0,1033868096.0,1150739840.0,1219692416.0,1225371648.0,1150620544.0,983906432.0,785929152.0,605437312.0,485532544.0,431126336.0,413026496.0,407064288.0,404751648.0,403465024.0,403687616.0
1987,134.5768280029297,403472896.0,403537760.0,403682944.0,403958656.0,404314944.0,404657120.0,404980864.0,405551264.0,406344448.0,407459232.0,408867136.0,410637120.0,413027968.0,416256736.0,420882432.0,426940160.0,434818112.0,444709056.0,458787712.0,479194496.0,507674688.0,547072768.0,608155456.0,691554240.0,794599680.0,911261184.0,1035076288.0,1153565824.0,1219579008.0,1224161792.0,1148830592.0,979339264.0,781389440.0,605890944.0,486500352.0,432285824.0,413771744.0,407388736.0,404903136.0,403465024.0,403699232.0
1988,134.37538146972656,403472768.0,403534368.0,403672128.0,403901120.0,404315584.0,404666656.0,405051520.0,405609088.0,406513504.0,407586304.0,409023808.0,410898784.0,413320448.0,416480192.0,421076672.0,427444608.0,435627968.0,445797312.0,459771168.0,480153600.0,508266912.0,547916800.0,609862080.0,696536320.0,800324736.0,915991808.0,1038696320.0,1153712640.0,1216633216.0,1217123584.0,1138465024.0,972116736.0,775639552.0,602879744.0,487218624.0,432708864.0,414347552.0,407649856.0,405003488.0,403465024.0,403708704.0
1989,134.4510040283203,403472192.0,403533696.0,403671296.0,403895040.0,404304736.0,404664288.0,405115456.0,405685504.0,406537344.0,407687712.0,409122688.0,410976288.0,413447968.0,416633216.0,421270144.0,427674624.0,435965184.0,446220160.0,460275200.0,480112064.0,507915168.0,547091712.0,607820864.0,692825664.0,798095872.0,914713728.0,1032618496.0,1153097984.0,1216016896.0,1209702016.0,1129117696.0,960047808.0,777306624.0,614935936.0,500513120.0,439529088.0,416208384.0,408149056.0,405130816.0,403465024.0,403722880.0
1990,134.57215881347656,403472000.0,403531648.0,403667200.0,403887200.0,404186176.0,404617632.0,405174400.0,405765824.0,406651264.0,407685664.0,409217920.0,411121216.0,413566848.0,416845728.0,421383296.0,427762784.0,435774912.0,445696000.0,459687072.0,479182848.0,506803456.0,545818880.0,605660672.0,689861248.0,799240064.0,921623040.0,1040489280.0,1157725952.0,1212515072.0,1194127872.0,1106582272.0,937603840.0,763652096.0,619544192.0,519942944.0,458722272.0,426986432.0,412260224.0,406916800.0,403465024.0,403991936.0
1991,134.4250946044922,403471808.0,403529248.0,403667168.0,403880864.0,404180192.0,404540064.0,405105440.0,405890560.0,406806656.0,407910976.0,409307360.0,411119616.0,413606304.0,416961664.0,421360416.0,427757120.0,435868640.0,446033312.0,460262720.0,480163200.0,508113824.0,547913792.0,609285568.0,694341184.0,803497216.0,925718272.0,1044381568.0,1160021888.0,1207593600.0,1183470080.0,1090301440.0,921628672.0,748265216.0,611692352.0,520546816.0,466168448.0,434399936.0,417076032.0,409265280.0,403465024.0,405075584.0
1992,134.52398681640625,403471616.0,403525248.0,403664448.0,403867104.0,404197632.0,404579456.0,405048576.0,405748800.0,406820544.0,407960800.0,409418944.0,411278528.0,413584352.0,417036416.0,421509312.0,427697280.0,435870688.0,446022368.0,460376992.0,480110976.0,508609216.0,548664320.0,610544768.0,694320000.0,801456640.0,921526528.0,1037430848.0,1156033280.0,1208333056.0,1185361664.0,1091768064.0,920188032.0,746525440.0,609007744.0,521453824.0,471095232.0,439830048.0,422431904.0,412300064.0,403465024.0,406112768.0
1993,134.40682983398438,403471040.0,403522432.0,403664608.0,403865856.0,404234688.0,404633984.0,405094048.0,405743872.0,406752224.0,407905184.0,409337696.0,411244800.0,413600576.0,417005952.0,421504160.0,427590656.0,435848832.0,446246656.0,461001856.0,480803808.0,509189312.0,550673920.0,612817536.0,698325696.0,806457536.0,924421440.0,1040203904.0,1158163584.0,1208665984.0,1180050176.0,1078636416.0,913668352.0,744357504.0,606835200.0,519085824.0,470118688.0,440731264.0,423609760.0,413834816.0,403465024.0,406413568.0
