years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,335638747,36475196,8723736,18131,2094556,198520,0,3203926,936,0,0,9458207,0,0
1985,335555221,36307619,8926870,20777,2088374,158729,0,3196843,1086,0,0,9556436,0,0
1986,335461175,35987948,9323018,19510,1829850,104685,0,3324759,916,0,0,9760094,0,0
1987,335440786,35623862,9481172,18133,1718777,72380,0,3489336,1002,0,0,9966507,0,0
1988,335428998,35293401,9400080,13730,1766932,54930,0,3659447,1171,0,0,10193266,0,0
1989,335423836,34977170,9187886,11031,1862229,49905,0,3753117,1569,0,0,10545212,0,0
1990,335418767,34359278,8883576,10891,2023193,55202,0,3978614,1886,0,0,11080548,0,0
1991,335414563,33787627,8596722,11165,2151871,73671,0,4222248,2420,0,0,11551668,0,0
1992,335411459,33367412,8482728,11070,2180643,67171,0,4405769,3155,0,0,11882548,0,0
1993,335409524,32909328,8404522,12430,2152524,56332,0,4611358,4490,0,0,12251447,0,0
1994,335407634,32417203,8190115,12911,2185052,60123,0,4872916,7547,0,0,12658454,0,0
1995,335406298,31980177,7947923,14449,2207498,65156,0,5138905,14099,0,0,13037450,0,0
1996,335408096,31545814,7688186,15814,2239423,74095,0,5411234,24021,0,0,13405272,0,0
1997,335408232,31170076,7413568,18838,2281819,85103,0,5654216,30969,0,0,13749134,0,0
1998,335411952,30825104,7124313,22123,2324211,104341,0,5873466,35228,0,0,14091217,0,0
1999,335419630,30486406,6823987,27141,2368373,132733,0,6096374,40284,0,0,14417027,0,0
2000,335412415,30206130,6528034,31043,2395667,165009,0,6305273,49194,0,0,14719190,0,0
2001,335430937,29997482,6208787,35444,2448178,198096,0,6471249,63340,0,0,14958442,0,0
2002,335436959,29777210,5895649,39663,2504370,237668,0,6616374,81428,0,0,15222634,0,0
2003,335407357,29645544,5624678,45433,2539280,277677,0,6761329,112469,0,0,15398188,0,0
2004,335408520,29565706,5473524,55572,2527023,287003,0,6844283,147818,0,0,15502506,0,0
2005,335404320,29458151,5258334,65925,2558793,324965,0,6911834,183421,0,0,15646212,0,0
2006,335404478,29390617,5058755,84747,2573548,343439,0,6949811,225583,0,0,15780977,0,0
2007,335407346,29239793,4884360,101423,2633568,368986,0,6968595,266374,0,0,15941510,0,0
2008,335403465,29199515,4712023,114810,2704816,395172,0,6953593,305322,0,0,16023239,0,0
2009,335401593,29158225,4515202,131865,2794959,429903,0,6912493,347760,0,0,16119955,0,0
2010,335401295,29282019,4453521,139864,2802409,469855,0,6895322,362385,0,0,16005285,0,0
2011,335400211,29313382,4291354,143696,2881709,522711,0,6754818,412618,0,0,16091456,0,0
2012,335400957,29292129,4164030,145134,2957342,579112,0,6604053,457813,0,0,16211385,0,0
2013,335407920,29240426,4038175,153988,3074533,638009,0,6445995,496258,0,0,16316651,0,0
2014,335430094,29271056,3820102,158375,3141212,657332,0,6441742,545974,0,0,16346068,0,0
2015,335451365,29141647,3644798,168118,3214349,712699,0,6482902,607116,0,0,16388961,0,0
2016,335428503,29237987,3432066,184195,3337371,759577,0,6483653,650553,0,0,16298050,0,0
2017,335432455,29205645,3261937,193358,3448331,813231,0,6465877,650748,0,0,16340373,0,0
2018,335426079,29295621,3069772,211427,3593574,854955,0,6469531,622549,0,0,16268447,0,0
2019,335421118,29410130,2873759,225441,3798704,875991,0,6504271,584176,0,0,16118365,0,0
2020,335429500,29587504,2684859,246046,4037277,873539,0,6500561,547091,0,0,15905578,0,0
2021,335431577,29793133,2579531,272439,4239366,854057,0,6493887,496374,0,0,15651591,0,0
2022,335442813,30112436,2505927,294983,4393574,821387,0,6527649,437518,0,0,15275668,0,0
2023,335457107,30671803,2465428,297873,4510680,753408,0,6554072,383717,0,0,14717867,0,0
2024,335356454,31675440,2315454,314917,4018333,706433,0,7177856,449430,0,0,13797638,0,0
