years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,113.13961029052734,403483328.0,403632032.0,404145024.0,405265664.0,407126880.0,409701696.0,412753120.0,416136448.0,420444160.0,426208256.0,433671872.0,443227776.0,454722752.0,469036032.0,485841280.0,505956224.0,530128768.0,557755904.0,590387648.0,628515200.0,673249856.0,721398144.0,771462016.0,816980544.0,852373184.0,869416640.0,858978048.0,822116480.0,767618176.0,707956736.0,643067264.0,581451200.0,530552672.0,492552448.0,464458656.0,445671616.0,431847488.0,423020640.0,416765632.0,403465024.0,412548608.0
1985,113.90463256835938,403482816.0,403624672.0,404123072.0,405225600.0,407083232.0,409620128.0,412648576.0,415999488.0,420141952.0,425519392.0,432378976.0,440860096.0,451371072.0,464120192.0,479945024.0,499325088.0,523404448.0,552449088.0,586878528.0,627456576.0,673653504.0,724844480.0,778512064.0,828241152.0,866663296.0,885042688.0,873862784.0,834812736.0,777114496.0,715158976.0,648176512.0,584474240.0,532541184.0,493815424.0,465337280.0,446219584.0,432184896.0,423152288.0,416870688.0,403465024.0,412585920.0
1986,115.1429672241211,403482304.0,403634080.0,404105920.0,405174752.0,407028448.0,409613248.0,412735040.0,416105184.0,420263296.0,425702048.0,432798944.0,441479200.0,451740384.0,464261056.0,479216512.0,497445536.0,519867232.0,545869824.0,577373440.0,614076288.0,657991872.0,707071872.0,760739328.0,813633472.0,858457600.0,884407168.0,882765312.0,853169792.0,802153664.0,742273088.0,675442560.0,610679872.0,552740480.0,508518304.0,476290592.0,454504800.0,438072128.0,426658144.0,420006048.0,403465024.0,416315104.0
1987,115.73861694335938,403482240.0,403641664.0,404106976.0,405208640.0,407072672.0,409684000.0,412836032.0,416394240.0,420790400.0,426548192.0,433906048.0,442712832.0,452904992.0,465164832.0,479818208.0,497472800.0,518501152.0,543561536.0,572006016.0,606169728.0,647250816.0,694122176.0,745522240.0,800534144.0,846918656.0,876502528.0,884711808.0,863349440.0,818091776.0,759926016.0,694062272.0,627988032.0,568401984.0,519068864.0,483238496.0,459350720.0,441963392.0,429346400.0,421549056.0,403465024.0,417925248.0
1988,116.1900634765625,403481024.0,403640128.0,404108352.0,405223232.0,407140960.0,409823968.0,413033152.0,416677280.0,421400800.0,427347712.0,434754496.0,443534944.0,453776960.0,465960576.0,480568992.0,497491840.0,517611584.0,541349312.0,568088960.0,599465792.0,637693184.0,683265408.0,733541952.0,786354752.0,833706176.0,868956736.0,884024192.0,869809664.0,828965632.0,773908992.0,709397248.0,642833984.0,581625856.0,529086912.0,490086336.0,463685408.0,444523872.0,431202944.0,422517632.0,403465024.0,419311712.0
1989,116.97367858886719,403480832.0,403633792.0,404079616.0,405165888.0,407060544.0,409813408.0,413025184.0,416727936.0,421543936.0,427475648.0,434842592.0,443515616.0,453621632.0,465669472.0,479456512.0,496335744.0,515913984.0,538447232.0,564446336.0,593266880.0,627766528.0,670408704.0,718706688.0,768854528.0,818447232.0,859464448.0,882708672.0,876972032.0,841822528.0,790043776.0,728511424.0,662010240.0,599628352.0,542614528.0,498800832.0,468918976.0,448143424.0,433474016.0,423602208.0,403465024.0,420721344.0
1990,117.96932220458984,403479776.0,403639360.0,404080960.0,405111488.0,406914688.0,409710400.0,412964352.0,416660224.0,421451328.0,427184544.0,434434112.0,443051968.0,453214720.0,464943072.0,478912128.0,495783328.0,514816160.0,536195264.0,560065024.0,586817024.0,617513216.0,655003200.0,697837568.0,746613504.0,799599744.0,846724096.0,878785984.0,884495104.0,858831104.0,812828032.0,754421120.0,687351040.0,621046080.0,559095424.0,509610368.0,475749280.0,452453632.0,436099456.0,425140352.0,403465024.0,422156320.0
1991,119.08275604248047,403479360.0,403639296.0,404087680.0,405101440.0,406899200.0,409708928.0,412965312.0,416577088.0,421339584.0,426910688.0,433988320.0,442396576.0,452276448.0,463796160.0,477464096.0,493495232.0,512238784.0,533002784.0,556166208.0,580702144.0,608153856.0,641672192.0,682146432.0,727819968.0,779502720.0,831373248.0,868907584.0,886777408.0,872270720.0,832443008.0,778954880.0,714333376.0,646229376.0,580393472.0,524356192.0,485371776.0,458551648.0,440571872.0,427486720.0,403465024.0,424608576.0
1992,120.52274322509766,403478048.0,403628832.0,404093856.0,405100448.0,406894656.0,409693632.0,412923712.0,416491680.0,421273760.0,426685536.0,433634304.0,441951680.0,451442624.0,462664320.0,476470528.0,491789408.0,509765280.0,530055840.0,552305728.0,574653696.0,598352384.0,627737472.0,662928192.0,704234560.0,752658688.0,804118656.0,849014784.0,878666624.0,881311808.0,857753472.0,810892800.0,751295488.0,684082304.0,614730176.0,551692864.0,502819392.0,469388800.0,447665984.0,431719264.0,403465024.0,425147200.0
1993,122.04249572753906,403478144.0,403631040.0,404117120.0,405134528.0,406932896.0,409664896.0,412820768.0,416474048.0,421007168.0,426363328.0,432968192.0,441111680.0,450494464.0,461614912.0,474952864.0,490095392.0,507531840.0,527524480.0,548954752.0,569429568.0,590744000.0,616996480.0,647814400.0,684601280.0,728258752.0,776029760.0,822588416.0,861258560.0,878207360.0,868516736.0,839122304.0,786167552.0,724405888.0,654852672.0,584985280.0,526721696.0,484941408.0,457567168.0,438286528.0,403465024.0,431397696.0
