years,0,1,2,3,4,5,6,7,8,9
1984,116159105,21460490,612526,13126017,72392874,1664686,230402,0,0,0
1985,116159081,21266104,524480,12969579,73003774,1491524,231558,0,0,0
1986,116151001,20887718,694925,15441851,70894669,1332872,242860,204,0,0
1987,116144734,20326605,873428,16433584,70229994,1384414,253106,235,0,0
1988,116139672,20052780,1071377,16944675,69695132,1472635,269544,285,0,0
1989,116138417,20286386,1212749,17067527,69108344,1548790,283497,390,0,0
1990,116134028,20494065,1303668,17339718,68396119,1676572,301394,536,0,0
1991,116130194,20564483,1380653,17631185,67829673,1796467,312670,775,0,0
1992,116125941,20540799,1450880,18082001,67283120,1847022,315627,710,0,0
1993,116122950,20485391,1530635,18409212,66807613,1976726,312774,799,0,0
1994,116120151,20445982,1619683,18635824,66364051,2139885,319799,725,0,0
1995,116117648,20406893,1770909,18888681,65792715,2335067,333287,900,0,0
1996,116116005,20408333,1868423,19043129,65289392,2578416,341422,980,0,0
1997,116114472,20360707,2011935,19218717,64775973,2804635,358235,1426,0,0
1998,116113274,20382187,2128605,19213680,64308676,3130747,367161,1770,0,0
1999,116112026,20423407,2284535,19209333,63716552,3521257,377006,1984,0,0
2000,116111122,20486658,2430419,19070631,63155186,4004602,385342,2140,0,0
2001,116109298,20648497,2600658,18918642,62487152,4488685,391076,2092,0,0
2002,116108499,20642950,2722101,18713766,62118364,4941931,396620,1869,0,0
2003,116107005,20700908,2874479,18471887,61596055,5486436,407569,1761,0,0
2004,116107173,20740604,3043752,18317256,61058293,5964014,413316,1692,0,0
2005,116110389,20839653,3223701,18160049,60545408,6350153,415129,1618,0,0
2006,116107778,21086574,3482961,17894207,59965640,6691163,416358,1419,0,0
2007,116105037,21111581,3623858,17677705,59714177,7005422,407189,1131,0,0
2008,116103480,21180803,3756433,17426377,59358989,7413588,405535,895,0,0
2009,116102265,21255686,3895970,17162269,58979859,7840877,408425,749,0,0
2010,116101517,21270305,4049585,16873960,58664024,8277156,408916,637,0,0
2011,116101154,21563627,4172647,16565114,58199195,8644816,399021,526,0,0
2012,116100381,21683431,4289665,16306844,57807963,9069649,387699,468,0,0
2013,116100124,21799226,4389566,16029753,57385117,9579663,362281,370,0,0
2014,116100813,22008363,4478455,15741834,56789128,10169657,357590,260,0,0
2015,116099380,22107479,4564954,15478733,56403905,10632782,358704,163,0,0
2016,116098985,22277791,4646463,15244435,55793079,11228239,357076,32,0,0
2017,116098909,22447153,4679863,15053863,55164020,11858973,343318,1,0,0
2018,116099061,22633967,4719054,14752377,54796884,12310732,334025,0,0,0
2019,116098691,22882157,4736718,14560392,54349457,12697626,321059,0,0,0
2020,116097874,23149338,4745215,14295198,54246002,12788285,324188,0,0,0
2021,116097438,23507196,4742968,14141505,54280342,12539168,337483,0,0,0
2022,116097254,23814929,4700725,14048925,54248140,12383229,352898,0,0,0
2023,116098594,24168535,4661091,13910263,54329491,12091077,387049,0,0,0
2024,116067942,25002853,4582462,13603288,53156125,12683413,550008,9,0,0
