years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,13222710,1525234,1111496,183,905857,3376922,46362,1981042,0,0,0,0,2,0
1985,13222719,1430883,1118053,177,913137,3434969,46374,2003494,0,0,0,0,2,0
1986,13224052,1439683,1789921,286,647076,3389265,40879,1638603,0,0,0,0,43,0
1987,13224666,1097686,2234661,518,651034,3334483,39534,1587079,0,0,0,0,147,0
1988,13224287,896819,2306783,1147,692559,3398227,37052,1612656,0,0,0,0,278,0
1989,13222771,807324,2292862,2096,731411,3466513,38660,1607937,0,0,0,0,234,0
1990,13221890,769893,2168723,2202,758011,3524848,40643,1683442,0,0,0,0,156,0
1991,13221636,753773,2041415,2860,791311,3538001,40542,1780157,0,0,0,0,113,0
1992,13221106,741270,2080761,2358,790775,3452044,33051,1848332,0,0,0,0,111,0
1993,13220598,716525,2079989,2392,816667,3442314,33918,1857296,0,0,0,0,109,0
1994,13220228,702747,2091954,2425,848036,3409829,34615,1859866,0,0,0,0,108,0
1995,13220091,693923,2109878,2455,889440,3363312,35484,1855127,0,0,0,0,98,0
1996,13219701,687586,2101152,2454,938355,3332916,38561,1848987,0,0,0,0,96,0
1997,13219543,683895,2085844,2460,989569,3297029,42006,1849364,0,0,0,0,98,0
1998,13219344,682292,2073302,2477,1040929,3263719,45613,1842031,0,0,0,0,101,0
1999,13219141,682801,2051483,2520,1093198,3237301,48965,1834275,0,0,0,0,124,0
2000,13219193,683140,2032925,2548,1139775,3212831,52095,1827160,0,0,0,0,141,0
2001,13219050,682813,1993993,2682,1189690,3208124,52613,1820665,0,0,0,0,178,0
2002,13218963,682915,1991822,2739,1267823,3153814,45974,1805537,0,0,0,0,221,0
2003,13218874,685710,1985354,2592,1324276,3109578,48863,1794300,0,0,0,0,261,0
2004,13218857,690851,1983375,2625,1386443,3052937,52670,1781719,0,0,0,0,331,0
2005,13218872,695665,1996073,2625,1456688,2977752,57442,1764329,0,0,0,0,362,0
2006,13218853,704729,1999770,2643,1526226,2908405,62392,1746368,0,0,0,0,422,0
2007,13218709,710987,1990771,2665,1601465,2849487,68421,1726784,0,0,0,0,519,0
2008,13218769,719688,1969015,2686,1669088,2807089,77601,1705216,0,0,0,0,656,0
2009,13218749,730113,1936910,2718,1751833,2760686,87092,1680889,0,0,0,0,818,0
2010,13218677,739396,1922407,2758,1814067,2716553,100226,1654746,0,0,0,0,978,0
2011,13218740,741502,1893880,2799,1878763,2697118,108771,1627099,0,0,0,0,1136,0
2012,13218686,749852,1827790,3002,1918614,2705779,118945,1625611,190,0,0,0,1339,0
2013,13218670,755289,1740799,4316,1898986,2769110,137086,1643939,0,0,0,0,1613,0
2014,13218749,758814,1637147,5426,1825323,2861552,191030,1669748,0,0,0,0,2019,0
2015,13218744,759370,1517359,6840,1727269,2995665,242506,1699783,0,0,0,0,2272,0
2016,13218896,757912,1407003,11414,1632997,3144103,278608,1716532,0,0,0,0,2343,0
2017,13219621,756391,1339244,12053,1560786,3268404,295168,1715769,0,0,0,0,2372,0
2018,13219455,759328,1272266,10929,1521977,3371566,300553,1711247,0,0,0,0,2487,0
2019,13221098,763468,1222394,10459,1480503,3416703,319335,1733362,0,0,0,0,2486,0
2020,13219299,766111,1224098,11623,1429443,3422415,342184,1752250,0,0,0,0,2385,0
2021,13219533,768467,1282400,10822,1337392,3434407,364808,1749825,0,0,0,0,2154,0
2022,13219839,769344,1347833,9295,1195936,3508240,380102,1737299,0,0,0,0,1920,0
2023,13220642,770101,1388311,6958,1110269,3550751,409169,1711993,0,0,0,0,1614,0
2024,13212966,780732,1400199,6024,991919,3625936,428208,1722174,0,0,0,0,1650,0
