years,0,1,2,3,4,5,6,7,8,9
1984,234423708,43800807,64173,2262166,44738373,1968893,179993,11,0,0
1985,234422293,43644293,31014,2521289,45245226,1402770,171235,4,0,0
1986,234417771,43386672,37421,2640794,45409311,1373117,173038,0,0,0
1987,234412263,43241744,40946,2625331,45546284,1392514,179042,0,0,0
1988,234405917,43192649,44516,2551985,45576695,1478687,187675,0,0,0
1989,234401314,43367911,46830,2479808,45290779,1647051,204431,0,0,0
1990,234396063,43424022,49235,2376360,45092562,1877197,222685,0,0,0
1991,234392301,43360617,50506,2315721,44937278,2129909,251792,0,0,0
1992,234388512,43271799,52981,2278042,44802301,2365109,279380,0,0,0
1993,234385355,43181266,53169,2263500,44662144,2579611,313078,1,0,0
1994,234381984,43105932,57106,2233612,44356877,2949615,352956,42,0,0
1995,234379206,43045838,62164,2194833,43984344,3364667,406949,123,0,0
1996,234376864,43005145,64527,2152280,43517654,3862014,459419,221,0,0
1997,234374356,42979974,67740,2117504,43130140,4271653,496661,96,0,0
1998,234372467,42959361,71312,2096766,42670314,4724473,543368,63,0,0
1999,234370902,42946948,75595,2057876,42203911,5184998,597874,20,0,0
2000,234369066,42988617,80207,2036221,41702881,5610994,650136,2,0,0
2001,234367704,43015552,89503,2043124,41169937,6059784,692516,4,0,0
2002,234366177,43008216,98676,2013481,40667869,6557309,726386,10,0,0
2003,234363996,43013563,108533,1983461,40130881,7090694,746977,19,0,0
2004,234363093,43054706,118190,1955691,39536142,7644605,765667,30,0,0
2005,234361500,43124332,130024,1979156,38942217,8125349,775502,44,0,0
2006,234360080,43198863,142423,1990619,38444202,8518560,783331,46,0,0
2007,234359242,43183950,153697,1984529,38059275,8902858,794536,37,0,0
2008,234357911,43193032,168544,1982182,37689502,9250416,796512,25,0,0
2009,234357147,43212047,182815,1980092,37226196,9680646,799160,21,0,0
2010,234356417,43241370,197390,1982985,36754502,10111236,794206,18,0,0
2011,234355940,43329426,211986,1973924,36361748,10437913,767172,15,0,0
2012,234355776,43508381,226333,1999483,35840538,10749304,758297,12,0,0
2013,234355868,43682776,240361,2047484,35269668,11088007,753950,10,0,0
2014,234355683,43744449,253406,2120096,34661928,11546803,755755,4,0,0
2015,234354582,43697902,266919,2155975,34159471,12028527,774747,1,0,0
2016,234354395,43666657,272653,2125893,33638694,12608728,771104,0,0,0
2017,234353763,43665381,271800,2079093,33155831,13159770,752486,0,0,0
2018,234354027,43701020,265848,2029710,32689451,13669067,729001,0,0,0
2019,234353341,43739939,262979,1964599,32220314,14191463,705489,0,0,0
2020,234354733,43806654,262061,1947960,31749851,14639902,676963,0,0,0
2021,234352583,43883821,261328,1937671,31369530,14982200,650991,0,0,0
2022,234352561,43958280,260899,1938948,31200677,15092251,634508,0,0,0
2023,234353513,44050125,260254,1940892,31319046,14893461,620833,0,0,0
2024,234300979,44484348,269383,1856691,31628928,14261525,636270,0,0,0
