years,0,1,2,3,4,5,6,7,8,9,10
1984,18166108,5360084,1726445,2471793,54439,2678,0,1298846,362273,57769,0
1985,18165941,5298628,2092602,2583492,55324,2932,0,981327,269254,50935,0
1986,18165741,5281176,2179218,2799973,62747,1318,0,736764,221644,51854,0
1987,18165480,5275457,2176541,3044397,70093,91,0,558589,159706,50081,0
1988,18164650,5279483,2122817,3195744,63229,119,0,472189,147901,54303,0
1989,18164026,5302798,2042202,3238131,57261,226,0,449224,183373,63194,0
1990,18163686,5336357,1921312,3241622,56539,343,0,454240,250952,75384,0
1991,18163157,5469553,1753165,3158872,67096,1060,0,523653,273032,90847,0
1992,18162760,5460755,1698991,3237620,81056,1373,0,473566,288974,95340,0
1993,18161947,5419600,1864582,3306140,55828,936,0,439646,162638,89118,0
1994,18161409,5422858,1768571,3385099,62214,1090,0,423694,171138,104362,0
1995,18160991,5441406,1646920,3452160,73600,1512,0,408555,194113,121178,0
1996,18160641,5464858,1514186,3527396,88706,1825,0,382864,223211,136748,0
1997,18160208,5479977,1460658,3612770,86503,1627,0,340158,214100,144434,0
1998,18159874,5492613,1363819,3720481,93013,1672,0,306857,210105,152001,0
1999,18159506,5506931,1244321,3839541,100390,1885,0,283633,204156,160072,0
2000,18159445,5520152,1133574,3964512,104546,2215,0,264724,183654,167613,0
2001,18159202,5550051,1011544,4057181,108897,3119,0,263117,169599,177725,0
2002,18158658,5548060,899635,4195886,113745,3352,0,242458,147919,190722,0
2003,18158247,5542743,804723,4314950,115233,3939,0,227353,130635,202612,0
2004,18157863,5539155,713783,4426202,109646,4314,0,218371,116210,214891,0
2005,18157580,5540697,623562,4524678,101860,4743,0,209615,108419,229281,0
2006,18157303,5542884,562214,4600305,93297,5062,0,190253,98395,250722,0
2007,18157040,5537934,504915,4667598,86010,5199,0,176480,91960,273299,0
2008,18156668,5530153,456136,4722413,81356,5544,0,163981,87862,296322,0
2009,18156464,5530384,409300,4759415,79623,5262,0,154094,81277,324616,0
2010,18156215,5532497,364080,4793187,76630,5268,0,146198,75650,350710,0
2011,18156015,5542862,320255,4803587,75391,5527,0,140796,72406,383596,0
2012,18155875,5553796,271445,4782981,76948,5668,0,163774,69387,420561,0
2013,18155658,5571247,247283,4744484,83531,6057,0,161964,71779,458432,0
2014,18155708,5630395,227921,4654813,91971,6281,0,171345,68813,493188,0
2015,18155362,5642629,205119,4644843,96196,6052,0,161335,67403,521496,0
2016,18155133,5657623,184094,4633197,99739,6228,0,152494,65603,546324,0
2017,18154897,5668642,164284,4619460,100304,6889,0,144465,68268,573226,0
2018,18154744,5706479,148034,4599372,101814,6803,0,136378,67324,579487,0
2019,18154917,5748203,124177,4596489,105582,6879,0,124018,79320,560850,0
2020,18154273,5799125,96990,4579933,126667,9608,0,115315,75082,543442,0
2021,18154141,5854044,76926,4543640,157502,16042,0,108124,71488,518528,0
2022,18154083,5910619,61337,4483691,205363,27245,0,101102,72457,484538,0
2023,18154031,5975279,49493,4400353,249939,48682,0,94733,81596,446329,0
2024,18141817,6136741,43367,4287288,299720,102226,0,89855,65021,334400,0
