years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,10725498,705466,3096935,0,340242,0,0,77526,0,0,0,0,0,0
1985,10725499,705440,3096883,0,340298,0,0,77547,0,0,0,0,0,0
1986,10725501,705438,3096962,0,340274,0,0,77492,0,0,0,0,0,0
1987,10725498,705452,3096921,0,340300,0,0,77496,0,0,0,0,0,0
1988,10725499,705470,3096848,0,340345,0,0,77505,0,0,0,0,0,0
1989,10725499,705463,3096926,0,340290,0,0,77489,0,0,0,0,0,0
1990,10725500,705429,3096880,0,340334,0,0,77524,0,0,0,0,0,0
1991,10725499,705482,3096983,0,340207,0,0,77496,0,0,0,0,0,0
1992,10725504,705467,3096845,0,340306,0,0,77545,0,0,0,0,0,0
1993,10725496,705406,3096844,0,340371,0,0,77550,0,0,0,0,0,0
1994,10725500,705426,3096812,0,340441,0,0,77488,0,0,0,0,0,0
1995,10725500,705430,3096896,0,340322,0,0,77519,0,0,0,0,0,0
1996,10725501,705462,3096832,0,340315,0,0,77557,0,0,0,0,0,0
1997,10725500,705479,3096899,0,340287,0,0,77502,0,0,0,0,0,0
1998,10725499,705463,3096906,0,340254,0,0,77545,0,0,0,0,0,0
1999,10725499,705430,3096863,0,340368,0,0,77507,0,0,0,0,0,0
2000,10725496,701674,3140971,0,310795,0,0,66731,0,0,0,0,0,0
2001,10725496,700592,3159518,0,298173,0,0,61888,0,0,0,0,0,0
2002,10725496,695288,3213745,0,267615,0,0,43523,0,0,0,0,0,0
2003,10725370,704375,3170790,0,298051,0,0,47081,0,0,0,0,0,0
2004,10725204,715573,3099102,0,353380,0,0,52408,0,0,0,0,0,0
2005,10725110,726944,3003204,0,432361,0,0,58048,0,0,0,0,0,0
2006,10725007,740458,2884921,0,533023,0,0,62258,0,0,0,0,0,0
2007,10724958,749474,2780067,0,637027,0,0,54141,0,0,0,0,0,0
2008,10724990,759249,2666326,0,743602,0,0,51500,0,0,0,0,0,0
2009,10724887,771581,2460172,0,937003,0,0,52024,0,0,0,0,0,0
2010,10724899,783065,2206563,0,1177354,0,0,53786,0,0,0,0,0,0
2011,10724948,791883,1893118,0,1481627,0,0,54091,0,0,0,0,0,0
2012,10724891,805501,1499844,0,1856708,0,0,58723,0,0,0,0,0,0
2013,10724869,816382,1248986,0,2091447,0,0,63983,0,0,0,0,0,0
2014,10724942,825296,1061468,0,2264483,0,0,69478,0,0,0,0,0,0
2015,10724905,832048,1021448,0,2290698,0,0,76568,0,0,0,0,0,0
2016,10724854,840397,916164,0,2379641,0,0,84611,0,0,0,0,0,0
2017,10724899,847915,837274,0,2439663,0,0,95916,0,0,0,0,0,0
2018,10724967,855417,777509,0,2482741,0,0,105033,0,0,0,0,0,0
2019,10725114,856628,938271,0,2308113,0,0,117541,0,0,0,0,0,0
2020,10725233,869396,979746,0,2240653,0,0,130639,0,0,0,0,0,0
2021,10724856,882406,1058531,0,2133838,0,0,146036,0,0,0,0,0,0
2022,10724775,894240,1163634,0,1997382,0,0,165636,0,0,0,0,0,0
2023,10724823,899306,1259428,0,1870149,0,0,191961,0,0,0,0,0,0
2024,10720464,902950,1356406,0,1725915,0,0,239932,0,0,0,0,0,0
