years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,122.72240447998047,22185848.0,22369072.0,22594686.0,22878620.0,23163718.0,23606022.0,24220140.0,24742914.0,25350684.0,26207920.0,26861800.0,27554008.0,28413416.0,29387880.0,30512548.0,31755840.0,32858036.0,34260328.0,35717136.0,37610808.0,40043464.0,43055812.0,46756144.0,52692592.0,61881440.0,75637232.0,93693168.0,106571216.0,114159240.0,108521656.0,95316664.0,78875944.0,63828040.0,53840640.0,45432808.0,38649468.0,34202392.0,31578432.0,27465896.0,22169808.0,23242384.0
1985,122.54620361328125,22185544.0,22370000.0,22598164.0,22869980.0,23148430.0,23581764.0,24203448.0,24767238.0,25376788.0,26239680.0,26852572.0,27641218.0,28550524.0,29516342.0,30559988.0,31847006.0,33071504.0,34502480.0,36206220.0,38009272.0,40396736.0,43567816.0,47495056.0,53713040.0,63084812.0,76723344.0,95031824.0,108292432.0,115960816.0,109921320.0,96331376.0,79260136.0,63793328.0,53067728.0,44580228.0,38211664.0,33670764.0,30802564.0,27016684.0,22169808.0,23046880.0
1986,125.89608764648438,22182120.0,22328996.0,22455930.0,22901272.0,23159606.0,23595048.0,24117904.0,24776912.0,25278152.0,26061488.0,26904436.0,27528020.0,28236688.0,29053808.0,29929514.0,31168336.0,32484996.0,33957308.0,35394712.0,36650568.0,38636072.0,41355840.0,44322568.0,48551016.0,54326472.0,63581000.0,78477360.0,97413032.0,113256440.0,118762160.0,115507216.0,103680320.0,81452864.0,63710680.0,51808804.0,43256160.0,36485888.0,30642312.0,25751234.0,22169808.0,22925620.0
1987,127.39556121826172,22180724.0,22341636.0,22447456.0,22862758.0,23097728.0,23527502.0,24025956.0,24666776.0,25194080.0,25806206.0,26785100.0,27444220.0,28117986.0,29013216.0,30167848.0,31470488.0,33063952.0,34566640.0,36311800.0,38421736.0,40470552.0,42930688.0,45727404.0,48835588.0,53551120.0,61259392.0,74641032.0,95551232.0,114687536.0,124619576.0,123026224.0,111418072.0,90098352.0,72524544.0,58013096.0,46175132.0,38244916.0,32000344.0,26991352.0,22169808.0,23547598.0
1988,127.50862121582031,22177820.0,22347842.0,22441748.0,22837164.0,23136524.0,23542638.0,24144156.0,24778964.0,25240164.0,25856358.0,26682770.0,27326190.0,28069268.0,29011808.0,30061884.0,31285316.0,32892896.0,34783056.0,36895380.0,39107248.0,41449544.0,44199312.0,46966020.0,50416068.0,55277224.0,62852488.0,76215248.0,97259968.0,116568288.0,126865448.0,125800800.0,114259248.0,92376448.0,74283296.0,59732304.0,46287884.0,37595512.0,31122948.0,26709432.0,22169808.0,23492516.0
1989,127.32485961914062,22175500.0,22355048.0,22446420.0,22748816.0,23220744.0,23621488.0,24287140.0,24812004.0,25317398.0,25967854.0,26755704.0,27491670.0,28159760.0,29107274.0,30232132.0,31392192.0,32904524.0,34661916.0,36766936.0,39100876.0,41558504.0,44205676.0,47478600.0,51146532.0,56487176.0,64993832.0,78657952.0,98146712.0,116427512.0,126198416.0,126449888.0,114691952.0,93027656.0,75349344.0,59368000.0,46099152.0,37682696.0,30844960.0,26685524.0,22169808.0,23634284.0
1990,126.43975830078125,22174360.0,22365656.0,22441308.0,22699724.0,23304876.0,23864316.0,24484150.0,25025784.0,25546364.0,26128558.0,26836428.0,27546852.0,28331336.0,29303272.0,30401112.0,31677008.0,33157328.0,34843776.0,36575304.0,38984252.0,41422888.0,44128812.0,47721040.0,52154060.0,58125156.0,66733216.0,81369632.0,99384464.0,116522816.0,126054064.0,124823184.0,113231696.0,92858144.0,73991376.0,57144224.0,44471432.0,35957640.0,29875696.0,26155120.0,22169808.0,22850112.0
1991,125.88963317871094,22173090.0,22363612.0,22446036.0,22700124.0,23359620.0,23912702.0,24554632.0,25064414.0,25651546.0,26302692.0,27050640.0,27711812.0,28614334.0,29485596.0,30539760.0,31859772.0,33529756.0,35209296.0,36912532.0,38957212.0,41474340.0,44434432.0,48074028.0,52290656.0,59205576.0,68495736.0,82160280.0,99044912.0,114511744.0,123794856.0,122240520.0,111593840.0,92679152.0,73116064.0,56712440.0,44715184.0,36360008.0,30143286.0,26166992.0,22169808.0,22711978.0
1992,125.5664291381836,22173120.0,22352954.0,22441178.0,22657300.0,23309280.0,23926052.0,24483952.0,25100460.0,25744526.0,26402048.0,27082714.0,27707850.0,28555928.0,29509196.0,30726188.0,32143570.0,33671216.0,35529408.0,37336920.0,39421620.0,41792132.0,45134028.0,48721344.0,53009092.0,59796848.0,69778784.0,83277464.0,98828592.0,114408768.0,122360896.0,121960120.0,110843488.0,91765560.0,72209968.0,56843460.0,43176892.0,35558396.0,29584566.0,25878558.0,22169808.0,22435528.0
1993,125.62274169921875,22172712.0,22348070.0,22445858.0,22605484.0,23193564.0,23941878.0,24498630.0,25099718.0,25828976.0,26488352.0,27095632.0,27697772.0,28556500.0,29558876.0,30802936.0,32099364.0,33619696.0,35550604.0,37552884.0,39636384.0,41928584.0,45013920.0,48747848.0,53159160.0,59839740.0,70060488.0,84055976.0,100222680.0,114976000.0,122531272.0,122461568.0,110957936.0,91595360.0,71752224.0,56349360.0,42962920.0,35534432.0,29638140.0,26109892.0,22169808.0,22460406.0
