years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,22950212,4812934,727312,4324,3235154,678593,0,878881,0,0,0,0,305639,0
1985,22950256,4777203,727242,4334,3270605,678830,0,880961,0,0,0,0,303618,0
1986,22947877,4551073,951626,4905,3437188,413311,0,935286,0,0,0,0,351783,0
1987,22948697,4407340,1064153,5188,3509887,348411,0,946584,0,0,0,0,362789,0
1988,22945766,4278988,1140913,5669,3577037,318296,0,969612,0,0,0,0,356768,0
1989,22945474,4174211,1160737,6842,3637410,304056,0,1007965,0,0,0,0,356354,0
1990,22944987,4096826,1145882,7890,3642253,304395,0,1095708,0,0,0,0,355108,0
1991,22944639,4040875,1145593,9644,3618571,316086,0,1168041,0,0,0,0,349600,0
1992,22944134,4039140,1135149,6167,3640306,320681,0,1157616,0,0,0,0,349856,0
1993,22943796,3961148,1146514,7361,3682866,321085,0,1157118,0,0,0,0,373161,0
1994,22943716,3895912,1170611,9371,3717184,317893,0,1147618,0,0,0,0,390744,0
1995,22943301,3845264,1167845,12037,3759627,326929,0,1130447,0,0,0,0,407599,0
1996,22943128,3799501,1161514,16695,3789831,335153,0,1122313,0,0,0,0,424914,0
1997,22942980,3757557,1170044,21099,3801767,339725,0,1118148,0,0,0,0,441729,0
1998,22942563,3722588,1168885,28219,3808547,345979,0,1118986,0,0,0,0,457282,0
1999,22942491,3692343,1160608,37445,3819169,350512,0,1120668,0,0,0,0,469813,0
2000,22942367,3670084,1147843,47535,3821534,358937,0,1126150,0,0,0,0,478599,0
2001,22942071,3666376,1092937,61927,3826697,384396,0,1138220,0,0,0,0,480425,0
2002,22942129,3644959,1068421,80661,3822051,398526,0,1145817,0,0,0,0,490485,0
2003,22942236,3622598,1036946,103113,3820011,408547,0,1156120,0,0,0,0,503478,0
2004,22942137,3602704,1000731,126362,3816046,420171,0,1167470,0,0,0,0,517428,0
2005,22942097,3586369,963842,147350,3811247,435882,0,1175274,0,0,0,0,530988,0
2006,22942073,3574152,927166,170953,3800873,452802,0,1182330,0,0,0,0,542700,0
2007,22942128,3562074,879223,199754,3787231,471621,0,1193718,0,0,0,0,557300,0
2008,22942232,3547896,842791,228318,3770042,488298,0,1202381,0,0,0,0,571091,0
2009,22942164,3534770,805305,269240,3734675,507486,0,1213918,0,0,0,0,585491,0
2010,22942207,3522795,762515,317037,3691015,527745,0,1227196,0,0,0,0,602539,0
2011,22942432,3521432,713925,351033,3652065,554413,0,1242717,0,0,0,0,615032,0
2012,22942824,3511899,644938,402969,3605073,579637,0,1273236,0,0,0,0,632473,0
2013,22943333,3486428,588333,448449,3563595,604502,0,1299633,0,0,0,0,658776,0
2014,22952424,3463400,522727,480283,3524034,643219,0,1329080,0,0,0,0,677882,0
2015,22947747,3452293,453967,487940,3513576,683125,0,1370405,0,0,0,0,683996,0
2016,22951309,3441741,383714,473337,3500867,738942,0,1423607,0,0,0,0,679532,0
2017,22957006,3431091,318377,464342,3466611,795086,0,1485320,0,0,0,0,675216,0
2018,22958422,3419621,271345,448069,3447852,824555,0,1551310,0,0,0,0,671875,0
2019,22968532,3403497,238691,430675,3471940,822645,0,1592246,0,0,0,0,664823,0
2020,22975481,3386463,204714,429157,3473244,831417,0,1624982,0,0,0,0,667591,0
2021,22987390,3372797,177633,402739,3491319,837596,0,1653664,0,0,0,0,669911,0
2022,23007360,3362264,159208,354297,3527600,843785,0,1673278,0,0,0,0,665257,0
2023,23088421,3305787,140716,326545,3508958,878031,0,1681683,0,0,0,0,662908,0
2024,22642686,3699247,127776,318868,3631459,873646,0,1669899,0,0,0,0,629468,0
