years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,78.5103988647461,396397792.0,398779552.0,401569152.0,404372928.0,406730272.0,409274848.0,412145664.0,415832960.0,420668384.0,426889056.0,435005408.0,444843328.0,456462528.0,468816192.0,481062592.0,492301536.0,501222272.0,509012736.0,514494432.0,517518272.0,519191072.0,518505152.0,512900928.0,503557184.0,489069408.0,472831488.0,456547136.0,441142336.0,428036416.0,418288000.0,410242720.0,404792320.0,401503744.0,399667680.0,398209856.0,397066688.0,396489056.0,396129472.0,395967168.0,395811968.0,395865376.0
1985,79.05316925048828,396359936.0,398676160.0,401530816.0,404473344.0,407088864.0,409834816.0,412863072.0,416453760.0,421062048.0,427033216.0,434778304.0,444388160.0,455670816.0,467840256.0,479725792.0,491161152.0,500494176.0,508461728.0,514771584.0,518721536.0,520379104.0,520456544.0,516826208.0,508982144.0,495095360.0,478048032.0,460402944.0,443557376.0,429095392.0,419280128.0,410805376.0,405079456.0,402016736.0,399880160.0,398526112.0,397233664.0,396598048.0,396261088.0,396010336.0,395811968.0,395900608.0
1986,79.40857696533203,396314304.0,398507584.0,401410496.0,404672192.0,407461984.0,410439680.0,413600224.0,417151072.0,421660416.0,427473952.0,435256032.0,444857856.0,455993728.0,468371360.0,481316704.0,493464096.0,502346464.0,509912128.0,516764736.0,521450048.0,523652928.0,523298688.0,520254432.0,512037376.0,498898944.0,479824832.0,461076512.0,443607936.0,429698656.0,420100352.0,412029952.0,405894720.0,402416896.0,400140544.0,398710176.0,397344192.0,396789568.0,396411712.0,396141440.0,395811968.0,395960320.0
1987,79.6289291381836,396289728.0,398470048.0,401412096.0,404679584.0,407651968.0,410741696.0,414013248.0,417791808.0,422240576.0,427824864.0,435409120.0,444684000.0,455970144.0,468783744.0,482171168.0,495258144.0,505731776.0,514088736.0,521244384.0,525957600.0,527656576.0,526677440.0,522773312.0,514182912.0,499381024.0,478862816.0,460619808.0,443006208.0,429344608.0,420331968.0,412751520.0,406580480.0,402909568.0,400373824.0,398888032.0,397681600.0,396886752.0,396549472.0,396282112.0,395811968.0,396042112.0
1988,79.46862030029297,396268160.0,398442912.0,401490816.0,404875968.0,408055872.0,411337952.0,414638080.0,418427744.0,422914368.0,428718464.0,436085504.0,445309184.0,456763360.0,469794976.0,483362752.0,497080640.0,508767584.0,517995744.0,524442112.0,528687232.0,529764096.0,527756864.0,522697280.0,513950592.0,496995008.0,477010208.0,459210816.0,442568192.0,429633920.0,420140160.0,413227360.0,407141664.0,403279840.0,400799040.0,399085728.0,398044896.0,397097696.0,396651328.0,396356352.0,395811968.0,396119264.0
1989,79.59056091308594,396243456.0,398379360.0,401546976.0,405062016.0,408414272.0,411830752.0,415176832.0,418994592.0,423425248.0,429086528.0,436143456.0,444999104.0,456552800.0,469703104.0,484455104.0,499174752.0,512067232.0,521473120.0,527502816.0,531791712.0,532275552.0,529374848.0,523652160.0,511293184.0,495217536.0,476739776.0,459369920.0,443831008.0,430952192.0,421231360.0,413867040.0,408131520.0,404235392.0,401675936.0,399777632.0,398389824.0,397623904.0,396798016.0,396472224.0,395811968.0,396276960.0
1990,79.75090026855469,396226976.0,398366624.0,401802304.0,405548000.0,409016800.0,412525280.0,416095456.0,419798272.0,424140864.0,429670880.0,436812896.0,445485536.0,456882240.0,470295968.0,485249312.0,500781216.0,514681824.0,524698624.0,532073248.0,535355680.0,535734464.0,532466240.0,524807616.0,512631616.0,496952608.0,478467328.0,461257856.0,446905632.0,433895168.0,423661696.0,415440256.0,409575360.0,404818496.0,402297760.0,400574112.0,398868224.0,398066944.0,397189792.0,396617152.0,395811968.0,396469792.0
1991,79.97773742675781,396204864.0,398314176.0,401965792.0,406003968.0,409546336.0,413113088.0,416892704.0,420778976.0,425147712.0,430571584.0,437592800.0,446311008.0,457782624.0,471265152.0,486113664.0,502067008.0,516493536.0,526427808.0,533607392.0,537814656.0,537453824.0,533797888.0,526938944.0,514120704.0,498603808.0,481110944.0,464381120.0,450471264.0,437132672.0,426425600.0,417751712.0,411186816.0,406036032.0,402844384.0,401217920.0,399847712.0,398526304.0,397780512.0,397003744.0,395811968.0,396782496.0
1992,80.42821502685547,396180800.0,398210176.0,401917280.0,406171040.0,409887424.0,413489664.0,417291520.0,421558624.0,425757216.0,431063584.0,437849216.0,446538688.0,458051520.0,471666208.0,487050464.0,502654496.0,517274016.0,528515072.0,535198656.0,539597568.0,539730112.0,535652064.0,528852800.0,516027328.0,500412672.0,483786400.0,467137728.0,453206176.0,440212352.0,428749312.0,419962176.0,413337024.0,407793536.0,403586400.0,401589760.0,400348256.0,399371456.0,398250624.0,397530688.0,395811968.0,397219584.0
1993,80.99095916748047,396160608.0,398117408.0,401790848.0,406289504.0,410075616.0,413832832.0,417714784.0,422076864.0,426500704.0,431863680.0,438386464.0,447112544.0,458410336.0,471880576.0,487584640.0,503374464.0,517748928.0,529599872.0,537347584.0,540949824.0,541366272.0,537407168.0,531212480.0,518708704.0,503708672.0,487398912.0,471023104.0,455839840.0,443394144.0,431640256.0,422134688.0,416222080.0,410241600.0,405043840.0,402143008.0,400793184.0,399926240.0,399144416.0,398084416.0,395811968.0,397904704.0
1994,81.53617858886719,396143616.0,398033440.0,401635328.0,406288512.0,410197920.0,414205248.0,418202912.0,422677888.0,427428640.0,432789152.0,439371936.0,448179744.0,459065792.0,472608224.0,488077216.0,503883328.0,518498944.0,530875008.0,539753088.0,543096512.0,542912320.0,539519616.0,532316256.0,520592480.0,506280544.0,490431648.0,474638528.0,459348096.0,446369088.0,434704352.0,424907744.0,418018880.0,413180896.0,407445376.0,403396800.0,401402016.0,400295520.0,399758592.0,398882272.0,395811968.0,398971648.0
1995,82.12531280517578,396125408.0,397960640.0,401476160.0,406071040.0,410232640.0,414357504.0,418579456.0,423230464.0,428205472.0,433880640.0,440565472.0,449072000.0,460056544.0,473379936.0,488759680.0,504355008.0,518817600.0,531470080.0,540978624.0,544902528.0,543924544.0,540803520.0,533457120.0,521981952.0,508703392.0,493547616.0,478276992.0,463394048.0,449668448.0,437925504.0,427344608.0,419802304.0,415081856.0,410211264.0,405710464.0,402512896.0,401000864.0,400150912.0,399404320.0,395811968.0,400321088.0
1996,82.8430404663086,396111872.0,397846048.0,401262112.0,405685472.0,409948896.0,414314400.0,419037696.0,423531776.0,429001952.0,434987488.0,442229696.0,450436896.0,461049728.0,474404352.0,489328224.0,504764352.0,519432832.0,531379456.0,541022784.0,545930112.0,545425664.0,542439104.0,535648896.0,524461408.0,511280064.0,497058048.0,481917920.0,467586016.0,453452512.0,441549760.0,430421056.0,422171008.0,416300224.0,412183488.0,407794816.0,404640192.0,401933952.0,400850944.0,399993984.0,395811968.0,402142976.0
1997,83.71282196044922,396093664.0,397705856.0,400990816.0,405079776.0,409467200.0,413890624.0,419092256.0,424090336.0,429548672.0,436162208.0,443712736.0,452351872.0,462820704.0,475672000.0,489945440.0,504946784.0,519459456.0,530758880.0,539964736.0,545815232.0,546737024.0,543995456.0,537178688.0,527169280.0,513799040.0,500320960.0,485668864.0,472075712.0,457945632.0,445028928.0,434164352.0,424826880.0,418429440.0,413576640.0,409879968.0,406453760.0,404004832.0,402036160.0,400932768.0,395811968.0,404791488.0
1998,84.736328125,396075744.0,397569536.0,400601280.0,404373504.0,408491520.0,413237632.0,418603776.0,424001024.0,429839264.0,436696384.0,444908096.0,454395520.0,465004288.0,477701504.0,491658656.0,506029088.0,520121376.0,531076192.0,539686400.0,546194048.0,547806592.0,545725504.0,538975168.0,529168800.0,516614816.0,502479328.0,488387488.0,475493984.0,463246144.0,448813120.0,438132416.0,428095616.0,421053088.0,415354752.0,411474496.0,408268416.0,405418816.0,403371552.0,402282464.0,395811968.0,407568384.0
1999,85.89669036865234,396057184.0,397431168.0,400192096.0,403790240.0,407670112.0,412295072.0,417639456.0,423738688.0,429852672.0,436883680.0,445353984.0,455471808.0,466681184.0,479493824.0,493133728.0,507372832.0,520701664.0,531520896.0,540409408.0,546519680.0,549434752.0,547683712.0,542204800.0,532426080.0,519814080.0,506056320.0,491513984.0,478717984.0,466922944.0,454201024.0,441852160.0,431877888.0,423769696.0,417582784.0,412846752.0,409801120.0,407138720.0,404732096.0,402925248.0,395811968.0,411322688.0
2000,86.97294616699219,396042144.0,397337568.0,399813824.0,403168768.0,406893184.0,411325920.0,416663200.0,422643360.0,429563968.0,437258944.0,446296640.0,456066016.0,467833504.0,481138400.0,495488000.0,509237152.0,522158272.0,532360448.0,541501824.0,547608576.0,550423552.0,548900352.0,544447552.0,535541056.0,521904512.0,508632064.0,493857632.0,480849312.0,469975360.0,458428864.0,445936416.0,435746592.0,426586240.0,419885696.0,414675392.0,410849056.0,408333728.0,406123744.0,404080992.0,395811968.0,415925376.0
