years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,41243193,4052911,12335029,0,749080,16236,0,270557,0,0,0,34,0,0
1985,41243206,4052950,12334927,0,749080,16272,0,270565,0,0,0,40,0,0
1986,41241900,3984300,12525631,0,652388,14842,0,247914,0,0,0,65,0,0
1987,41241825,3933813,12630489,0,611211,10249,0,239176,0,0,0,277,0,0
1988,41241346,3915829,12674936,0,589604,6688,0,238249,0,0,0,388,0,0
1989,41241473,3945326,12650277,0,583205,3832,0,242510,0,0,0,417,0,0
1990,41241164,4018601,12555068,0,595454,2465,0,253902,0,0,0,386,0,0
1991,41241124,4003855,12561174,0,590520,1460,0,268563,0,0,0,344,0,0
1992,41240946,3993551,12552149,0,583044,868,0,296209,1,0,0,272,0,0
1993,41240798,3991342,12523153,0,575486,555,0,335454,3,0,0,249,0,0
1994,41240550,4000324,12474142,0,569375,419,0,381982,4,0,0,244,0,0
1995,41240430,4016419,12398585,0,562178,383,0,448811,14,0,0,220,0,0
1996,41240231,4036665,12284515,0,551338,395,0,553638,78,0,0,180,0,0
1997,41239984,4055015,12151261,0,569337,280,0,650853,126,0,0,184,0,0
1998,41239439,4078424,11970834,0,610649,214,0,767118,210,0,0,152,0,0
1999,41239220,4106478,11760153,0,679205,149,0,881200,487,0,0,148,0,0
2000,41238994,4107289,11698753,0,685292,4,0,935476,1089,0,0,143,0,0
2001,41238645,4114121,11592958,0,716738,4,0,1002690,1729,0,0,155,0,0
2002,41238403,4109230,11608228,0,711300,24,0,997081,2629,0,0,145,0,0
2003,41237624,4119799,11476291,0,769994,41,0,1059295,3832,0,0,164,0,0
2004,41237274,4153061,11309194,0,841779,44,0,1120379,5152,0,0,157,0,0
2005,41236798,4171651,11122987,0,928516,21,0,1200203,6710,0,0,154,0,0
2006,41236609,4206099,10952299,0,1012513,8,0,1250170,8823,0,0,519,0,0
2007,41236245,4213195,10852940,0,1082217,43,0,1273313,8515,0,0,572,0,0
2008,41235971,4224235,10737025,0,1158498,81,0,1301104,9586,0,0,540,0,0
2009,41235818,4235046,10624900,0,1233172,73,0,1327407,10123,0,0,501,0,0
2010,41235519,4240926,10566956,0,1290468,28,0,1321471,11236,0,0,436,0,0
2011,41235424,4253436,10397781,0,1410154,30,0,1356667,13148,0,0,400,0,0
2012,41235555,4315638,10164415,0,1545032,780,0,1389081,16169,0,0,370,0,0
2013,41235766,4474211,9730777,0,1888040,76,0,1316665,21157,0,0,348,0,0
2014,41235786,4492716,9269315,0,2229158,4,0,1413288,26455,0,0,318,0,0
2015,41235912,4503921,8979025,0,2315060,9,0,1605172,27613,0,0,328,0,0
2016,41235786,4518978,8389441,0,2702202,108,0,1788159,32075,0,0,291,0,0
2017,41235931,4547574,7731998,0,3153220,119,0,1959235,38765,0,0,198,0,0
2018,41235944,4576696,7205978,0,3528770,65,0,2079643,39825,0,0,119,0,0
2019,41235917,4597304,6810947,0,3829203,121,0,2157342,36122,0,0,84,0,0
2020,41237299,4639622,6488593,0,4068607,191,0,2195745,36941,0,0,42,0,0
2021,41235403,4680178,6240038,0,4205456,195,0,2267554,38180,0,0,36,0,0
2022,41235624,4716145,6168786,0,4125350,34,0,2386255,34814,0,0,32,0,0
2023,41235220,4740802,6132223,0,3936984,29,0,2592376,29375,0,0,31,0,0
2024,41223690,4705105,6981093,10,2604654,0,0,3125687,26772,0,0,29,0,0
