years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,122.2568588256836,659506560.0,659963968.0,660525184.0,661443072.0,662448256.0,663808896.0,665371584.0,667568320.0,670268288.0,674087168.0,679262592.0,686088128.0,694687616.0,705532288.0,719937792.0,737595520.0,758676160.0,783724672.0,811374080.0,842649024.0,876025408.0,913194688.0,950682944.0,988359296.0,1028349760.0,1067873088.0,1100299136.0,1126551040.0,1142811008.0,1139265536.0,1107280768.0,1047107136.0,972448512.0,888012736.0,804406656.0,740029248.0,702210624.0,681943552.0,670236288.0,659482368.0,661955392.0
1985,122.67269134521484,659505216.0,660039040.0,660567424.0,661499520.0,662483200.0,663731584.0,665280384.0,667250944.0,670023104.0,673794240.0,678876224.0,685895744.0,695192896.0,706017216.0,720319424.0,738031168.0,758846720.0,783410688.0,810742464.0,842083904.0,874958912.0,911914752.0,950649536.0,989170496.0,1030420416.0,1072816000.0,1109924608.0,1138167168.0,1155474432.0,1152929792.0,1119570560.0,1059705472.0,984108096.0,895845056.0,810387712.0,744057920.0,704798336.0,683425536.0,671188352.0,659482368.0,662161216.0
1986,122.68790435791016,659511936.0,660205184.0,660809600.0,661834496.0,662631936.0,663836928.0,665402688.0,667489984.0,670069248.0,673792128.0,678840832.0,685722688.0,694499328.0,705623488.0,719890944.0,737734720.0,759209728.0,784013376.0,811766656.0,843408000.0,877339648.0,914072448.0,953221696.0,992669888.0,1035205056.0,1077500928.0,1113633920.0,1141392640.0,1159614592.0,1158765184.0,1127093888.0,1067297216.0,990652736.0,900639552.0,813338496.0,746809408.0,706023104.0,684268736.0,671656128.0,659482368.0,662311936.0
1987,122.20516967773438,659521792.0,660377216.0,661085312.0,662200832.0,662995968.0,664287040.0,665756800.0,667841664.0,670512384.0,674024512.0,679056128.0,685917760.0,695105152.0,706900096.0,721534336.0,739527360.0,761532480.0,787249152.0,815044672.0,846917696.0,881325184.0,918408128.0,958475584.0,998726848.0,1041992704.0,1083340288.0,1114769664.0,1140519168.0,1156674304.0,1155666688.0,1124679424.0,1065435008.0,988916544.0,899475840.0,813907200.0,748693120.0,707870080.0,685572416.0,672405312.0,659482368.0,662254912.0
1988,121.39588928222656,659527552.0,660509760.0,661185280.0,662378688.0,663338880.0,664641024.0,666187200.0,668174912.0,671120640.0,674851904.0,680066816.0,687210560.0,696822976.0,708648064.0,723916224.0,742494592.0,764240192.0,790440384.0,819017664.0,851407936.0,886395904.0,924982400.0,965831936.0,1006643840.0,1047944576.0,1088345088.0,1117101696.0,1138974336.0,1151686912.0,1144016384.0,1110275968.0,1050256960.0,977047680.0,890334848.0,809184704.0,747587136.0,708885632.0,686746240.0,672832576.0,659482368.0,662122560.0
1989,120.80998992919922,659527360.0,660521472.0,661271680.0,662422784.0,663380032.0,664595392.0,666132928.0,668247552.0,671148224.0,675041664.0,680144576.0,687251008.0,696679936.0,708369536.0,723639680.0,742406976.0,764045824.0,790197696.0,819711616.0,852402560.0,887843712.0,926389888.0,967174720.0,1007013056.0,1046820096.0,1081826176.0,1106541312.0,1122310144.0,1129028096.0,1117345280.0,1083000832.0,1028842752.0,960965696.0,880055104.0,805483456.0,747590208.0,708883328.0,687266688.0,673564992.0,659482368.0,662049984.0
1990,120.12321472167969,659529984.0,660542784.0,661295488.0,662358080.0,663460288.0,664706176.0,666352320.0,668464448.0,671396096.0,675553728.0,681181376.0,688502400.0,697949760.0,709707968.0,724861120.0,743623936.0,765676224.0,792038720.0,822061952.0,855962560.0,891412608.0,929677952.0,967744448.0,1006040640.0,1043715328.0,1073961216.0,1093001728.0,1104109440.0,1107499648.0,1093954560.0,1061706944.0,1011120128.0,950917952.0,876713344.0,806286720.0,749511488.0,709751360.0,687452544.0,673675968.0,659482368.0,661909056.0
1991,119.83026885986328,659511040.0,660436224.0,661297536.0,662415232.0,663570560.0,664711040.0,666343360.0,668603392.0,671543808.0,675681728.0,681563904.0,688848512.0,698654400.0,711018880.0,726761152.0,745786688.0,768885952.0,795881664.0,826554688.0,861184064.0,897968512.0,937214208.0,975988544.0,1014189952.0,1050954304.0,1079200512.0,1096291584.0,1106253824.0,1108110464.0,1091753984.0,1056204992.0,1004951424.0,947381248.0,875511552.0,806519104.0,750335616.0,710021056.0,687017408.0,672918656.0,659482368.0,661799744.0
1992,119.94523620605469,659500160.0,660277952.0,661201216.0,662393024.0,663578496.0,664718080.0,666260416.0,668636288.0,671399360.0,675369792.0,681209664.0,688751168.0,698367616.0,710758592.0,726675840.0,746640960.0,770738560.0,799025216.0,830095296.0,865058496.0,902726208.0,943472256.0,982681984.0,1021264128.0,1057436096.0,1086100736.0,1103439616.0,1112330496.0,1112728576.0,1093583360.0,1057777856.0,1004133888.0,947613248.0,877096640.0,808949376.0,752999808.0,712238336.0,687544512.0,673017216.0,659482368.0,661911680.0
1993,119.80294799804688,659498368.0,660086272.0,661092288.0,662312960.0,663785088.0,664947200.0,666344128.0,668511936.0,671459712.0,675472640.0,681389440.0,689051008.0,699142656.0,711697472.0,728011328.0,748175872.0,773238208.0,802792448.0,834502016.0,869955712.0,908867520.0,950212288.0,990751936.0,1029237632.0,1066337536.0,1093705856.0,1109403648.0,1115524224.0,1112125952.0,1090841984.0,1052903872.0,998712704.0,944866112.0,876815104.0,810730432.0,756416576.0,714830080.0,687985344.0,672857920.0,659482368.0,661943552.0
