years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,109.6803207397461,14946284.0,14957346.0,14990455.0,15055359.0,15172006.0,15363768.0,15668053.0,16020852.0,16404272.0,16894120.0,17655450.0,18428260.0,19228672.0,20436972.0,21777096.0,23266814.0,24845348.0,26389070.0,27863604.0,29465276.0,31508472.0,34705588.0,38213844.0,41822320.0,45318768.0,48182616.0,48439008.0,46644228.0,42408016.0,36155784.0,29058938.0,23421416.0,19543914.0,17468322.0,16188109.0,15569861.0,15286738.0,15125897.0,14968663.0,14945667.0,14945870.0
1985,109.67823028564453,14946275.0,14957410.0,14990531.0,15055272.0,15172355.0,15363707.0,15668777.0,16019916.0,16404956.0,16896820.0,17657738.0,18426024.0,19228668.0,20436288.0,21773808.0,23275952.0,24840074.0,26381658.0,27867300.0,29461642.0,31522304.0,34701160.0,38218296.0,41813040.0,45338668.0,48163508.0,48449400.0,46624152.0,42406964.0,36142800.0,29082812.0,23408216.0,19558358.0,17467000.0,16181333.0,15572336.0,15285330.0,15125376.0,14968474.0,14945667.0,14945870.0
1986,109.67822265625,14946278.0,14957396.0,14990619.0,15055090.0,15172481.0,15364552.0,15667571.0,16021270.0,16402588.0,16897420.0,17653700.0,18428404.0,19228538.0,20436300.0,21777088.0,23275532.0,24844744.0,26387800.0,27860034.0,29453068.0,31516604.0,34705144.0,38225968.0,41823024.0,45312860.0,48164512.0,48456832.0,46644476.0,42408360.0,36140308.0,29069648.0,23410976.0,19557340.0,17463076.0,16183718.0,15570559.0,15286584.0,15125151.0,14969045.0,14945667.0,14945870.0
1987,109.67679595947266,14946264.0,14957403.0,14990692.0,15055208.0,15172236.0,15364163.0,15666952.0,16021672.0,16405640.0,16896336.0,17655096.0,18429782.0,19227352.0,20435862.0,21769648.0,23281896.0,24844424.0,26384336.0,27855308.0,29460096.0,31506292.0,34713316.0,38221336.0,41823680.0,45335088.0,48167352.0,48417336.0,46648048.0,42415936.0,36156120.0,29067600.0,23408934.0,19557508.0,17458196.0,16182825.0,15572173.0,15284592.0,15124420.0,14967715.0,14945667.0,14945870.0
1988,109.67779541015625,14946273.0,14957289.0,14990802.0,15055555.0,15172978.0,15364573.0,15666719.0,16022442.0,16403740.0,16895912.0,17654936.0,18424714.0,19227370.0,20437836.0,21773542.0,23279128.0,24842106.0,26386466.0,27863020.0,29464632.0,31508612.0,34714028.0,38204988.0,41810768.0,45334484.0,48172456.0,48445932.0,46635920.0,42414644.0,36135144.0,29080224.0,23405108.0,19557224.0,17461066.0,16187931.0,15574798.0,15283339.0,15124597.0,14968662.0,14945667.0,14945871.0
1989,109.68031311035156,14946271.0,14957419.0,14990547.0,15054933.0,15172735.0,15364360.0,15666598.0,16021840.0,16405238.0,16892470.0,17658912.0,18429508.0,19227232.0,20437212.0,21771716.0,23280040.0,24846234.0,26378696.0,27857916.0,29468292.0,31508492.0,34697992.0,38219120.0,41807912.0,45314696.0,48181456.0,48437572.0,46651024.0,42420472.0,36155936.0,29062880.0,23415558.0,19553854.0,17466980.0,16185604.0,15569158.0,15287658.0,15126482.0,14968666.0,14945667.0,14945870.0
1990,109.67921447753906,14946278.0,14957356.0,14990541.0,15055067.0,15172346.0,15364505.0,15668098.0,16021543.0,16406814.0,16895382.0,17654084.0,18429880.0,19226026.0,20436712.0,21770760.0,23275012.0,24844824.0,26393518.0,27858780.0,29461960.0,31502064.0,34705284.0,38209052.0,41836680.0,45311208.0,48167296.0,48453252.0,46637752.0,42398064.0,36163100.0,29073888.0,23410604.0,19559236.0,17463148.0,16187306.0,15572146.0,15286969.0,15124816.0,14968097.0,14945667.0,14945870.0
1991,109.6807861328125,14946273.0,14957414.0,14990642.0,15055230.0,15172132.0,15363795.0,15667236.0,16021976.0,16405076.0,16894748.0,17652996.0,18428118.0,19228456.0,20436512.0,21781088.0,23269370.0,24846708.0,26387036.0,27859632.0,29468106.0,31509684.0,34699280.0,38220584.0,41802208.0,45307036.0,48192160.0,48440784.0,46629100.0,42424224.0,36156684.0,29068192.0,23408288.0,19567172.0,17462154.0,16183144.0,15574074.0,15287834.0,15125731.0,14968284.0,14945667.0,14945870.0
1992,109.67791748046875,14946272.0,14957307.0,14990424.0,15055140.0,15172322.0,15364585.0,15668521.0,16020963.0,16403077.0,16896032.0,17656956.0,18428596.0,19223412.0,20439008.0,21777204.0,23269676.0,24851148.0,26381520.0,27864708.0,29463780.0,31513080.0,34699416.0,38228140.0,41815352.0,45340948.0,48138896.0,48472808.0,46623928.0,42420616.0,36139664.0,29069540.0,23407572.0,19552246.0,17465332.0,16179618.0,15573747.0,15286067.0,15124434.0,14968285.0,14945667.0,14945870.0
1993,109.6784439086914,14946265.0,14957386.0,14990580.0,15054786.0,15172037.0,15365113.0,15667407.0,16023645.0,16404022.0,16897488.0,17656204.0,18424680.0,19226678.0,20439402.0,21773892.0,23270624.0,24846344.0,26388378.0,27870756.0,29452252.0,31515186.0,34706836.0,38208696.0,41810588.0,45331440.0,48172772.0,48454748.0,46647680.0,42399896.0,36142376.0,29069108.0,23409852.0,19561352.0,17462640.0,16183868.0,15574770.0,15285680.0,15125347.0,14968662.0,14945667.0,14945870.0
1994,109.67766571044922,14946276.0,14957375.0,14990530.0,15055358.0,15172391.0,15364147.0,15667227.0,16021616.0,16403776.0,16896580.0,17653826.0,18431306.0,19227580.0,20438432.0,21778508.0,23269652.0,24838354.0,26388280.0,27871700.0,29467862.0,31504266.0,34705396.0,38219056.0,41804392.0,45338136.0,48169896.0,48439288.0,46647680.0,42387548.0,36152600.0,29075164.0,23411274.0,19557348.0,17462116.0,16187278.0,15573566.0,15285520.0,15125170.0,14967904.0,14945667.0,14945870.0
