years,0,1,2,3,4,5,6,7,8,9
1984,10725498,798149,521,11669,3331226,78604,0,0,0,0
1985,10725499,798166,520,11673,3331189,78620,0,0,0,0
1986,10725501,798168,525,11682,3331100,78691,0,0,0,0
1987,10725498,798193,525,11667,3331056,78728,0,0,0,0
1988,10725499,798167,530,11670,3330998,78803,0,0,0,0
1989,10725499,798152,523,11660,3331381,78452,0,0,0,0
1990,10725500,798167,523,11671,3331185,78621,0,0,0,0
1991,10725499,798184,527,11665,3331268,78524,0,0,0,0
1992,10725504,798190,502,11658,3331107,78706,0,0,0,0
1993,10725496,798142,523,11670,3331210,78626,0,0,0,0
1994,10725500,798192,532,11653,3331047,78743,0,0,0,0
1995,10725500,798159,525,11653,3331237,78593,0,0,0,0
1996,10725501,798185,527,11657,3331302,78495,0,0,0,0
1997,10725500,798188,521,11670,3331083,78705,0,0,0,0
1998,10725499,798161,522,11673,3331182,78630,0,0,0,0
1999,10725499,798158,525,11656,3331096,78733,0,0,0,0
2000,10725496,803722,594,11504,3302506,101845,0,0,0,0
2001,10725496,809577,697,11724,3281115,117058,0,0,0,0
2002,10725496,812080,787,11367,3288972,106965,0,0,0,0
2003,10725370,825211,896,10935,3232223,151032,0,0,0,0
2004,10725204,838866,831,10236,3161892,208638,0,0,0,0
2005,10725110,850781,965,10358,3083381,275072,0,0,0,0
2006,10725007,860511,1004,10401,3016066,332678,0,0,0,0
2007,10724958,868410,1019,10127,2917668,423485,0,0,0,0
2008,10724990,874638,1050,10061,2846382,488546,0,0,0,0
2009,10724887,881853,1088,10340,2752038,575461,0,0,0,0
2010,10724899,887246,1137,10423,2676119,645843,0,0,0,0
2011,10724948,889326,1028,10038,2674552,645775,0,0,0,0
2012,10724891,891742,960,9668,2695734,622672,0,0,0,0
2013,10724869,898093,1001,9602,2637707,674395,0,0,0,0
2014,10724942,902678,962,9544,2602456,705085,0,0,0,0
2015,10724905,907921,932,9604,2527921,774384,0,0,0,0
2016,10724854,912441,883,9772,2458649,839068,0,0,0,0
2017,10724899,915162,887,9444,2417992,877283,0,0,0,0
2018,10724967,919202,886,9408,2355950,935254,0,0,0,0
2019,10725114,910785,811,8466,2532312,768179,0,0,0,0
2020,10725233,923725,1016,10396,2301439,983858,0,0,0,0
2021,10724856,933095,1251,13993,2022082,1250390,0,0,0,0
2022,10724775,935417,1929,20741,1862276,1400529,0,0,0,0
2023,10724823,932791,2919,30984,1950532,1303618,0,0,0,0
2024,10720464,937077,3724,38029,1894792,1351581,0,0,0,0
