years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,116159105,24464738,65303529,21164,2199734,14093738,0,3083176,1056,0,0,318948,912,0
1985,116159081,24130209,65937944,21137,2068961,14096064,0,2905438,7577,0,0,318773,916,0
1986,116151001,23479572,67906135,23175,1667234,13142409,0,2942950,7700,0,0,325165,759,0
1987,116144734,22576247,69543835,21761,1682787,12282624,0,3084240,1604,0,0,307515,753,0
1988,116139672,22152708,69945983,23772,1756815,11976514,0,3358672,1255,0,0,290087,622,0
1989,116138417,22256248,69738529,30326,1856247,11522734,0,3822490,6879,0,0,273592,638,0
1990,116134028,22277680,69058448,30318,2038847,11509587,0,4328262,12169,0,0,256243,518,0
1991,116130194,22202754,69011017,30286,2113699,11211195,0,4685247,18727,0,0,242455,526,0
1992,116125941,22043031,70362591,20673,1959265,10276531,0,4597330,25526,0,0,234515,697,0
1993,116122950,21781197,70711791,21778,1932604,9998161,0,4827743,32637,0,0,216422,817,0
1994,116120151,21554149,70972432,23677,1927800,9759763,0,5038019,40246,0,0,209222,641,0
1995,116117648,21361811,71149675,27482,1923697,9561295,0,5249850,51392,0,0,202613,637,0
1996,116116005,21227325,71026680,33954,1960319,9509123,0,5516582,62493,0,0,192784,835,0
1997,116114472,21015648,70913313,44416,2036505,9521992,0,5737368,77658,0,0,183966,762,0
1998,116113274,20861061,70664249,54056,2103833,9574414,0,6016171,85279,0,0,173186,577,0
1999,116112026,20762417,70217551,68684,2180101,9711147,0,6336250,90782,0,0,166771,371,0
2000,116111122,20709665,69728563,85940,2279509,9775287,0,6701970,95306,0,0,158399,339,0
2001,116109298,20813893,69053314,105930,2412139,9872276,0,7029206,98985,0,0,150710,349,0
2002,116108499,20731223,68818720,134740,2470230,9947015,0,7186246,100003,0,0,149171,253,0
2003,116107005,20721955,68235131,186230,2617741,10085612,0,7448796,99215,0,0,144152,263,0
2004,116107173,20700242,67822521,235975,2724132,10141495,0,7674171,100382,0,0,139709,300,0
2005,116110389,20811512,67145322,310983,2913712,10321405,0,7795323,101329,0,0,135990,135,0
2006,116107778,21166449,66194879,398927,3033629,10573699,0,7936210,101682,0,0,132743,104,0
2007,116105037,21112133,65780684,481820,3192536,10749304,0,7990146,104222,0,0,130064,154,0
2008,116103480,21082989,65297384,577182,3348052,10916384,0,8082358,108639,0,0,129182,450,0
2009,116102265,21055885,64853297,664274,3485426,11055117,0,8192523,108585,0,0,128060,668,0
2010,116101517,20985893,64552336,721166,3621972,11159408,0,8269111,107799,0,0,125676,1222,0
2011,116101154,21314961,63874446,770803,3790169,11300862,0,8262329,106017,0,0,123598,1761,0
2012,116100381,21377562,63425771,832488,3987480,11467158,0,8235279,96800,0,0,120867,2314,0
2013,116100124,21400770,62895897,915623,4252514,11662630,0,8211882,86769,0,0,117310,2581,0
2014,116100813,21590720,62320599,991755,4504964,11742949,0,8199236,79734,0,0,112380,2950,0
2015,116099380,21600970,62050019,1105766,4654192,11672734,0,8285119,65294,0,0,108720,3906,0
2016,116098985,21710599,61727615,1194865,4871057,11579125,0,8299109,52746,0,0,106552,5447,0
2017,116098909,21833232,61436627,1267381,5087384,11450610,0,8323136,36756,0,0,104713,7352,0
2018,116099061,22009451,61124901,1286151,5346904,11340321,0,8300130,29634,0,0,100669,8878,0
2019,116098691,22239212,60856210,1338768,5651491,11237417,0,8093411,19507,0,0,99981,11412,0
2020,116097874,22536323,60683196,1401122,5888535,11059205,0,7844747,16655,0,0,103916,14527,0
2021,116097438,22973573,60350631,1429624,6242891,10898536,0,7518651,12541,0,0,103319,18896,0
2022,116097254,23364205,60035030,1447299,6474073,10838590,0,7253698,8970,0,0,102240,24741,0
2023,116098594,23862643,59443555,1429767,6859711,10765179,0,7049904,3237,0,0,99399,34111,0
2024,116067942,24697763,57923758,1387232,7189338,10948105,0,7279641,3040,0,0,96778,52503,0
