years,0,1,2,3,4,5,6,7,8,9
1984,335638747,35457388,105640,1711008,12612924,6060881,4212904,12463,0,0
1985,335555221,35573528,106860,1690029,12771040,5993759,4100621,20897,0,0
1986,335461175,36123506,116437,1763433,12659759,5963377,3694088,30180,0,0
1987,335440786,35881636,128276,1790021,12331810,6252368,3949341,37717,0,0
1988,335428998,35310799,131920,1795446,11936955,6785733,4375040,47064,0,0
1989,335423836,34376397,132413,1771130,11607486,7520246,4924057,56390,0,0
1990,335418767,32979330,134858,1751480,11250336,8477836,5737555,61793,0,0
1991,335414563,31779166,137317,1735588,10891252,9261772,6523568,68729,0,0
1992,335411459,30840892,140648,1735678,10577493,9848098,7181648,76039,0,0
1993,335409524,29830061,141818,1746727,10266457,10402502,7931832,83034,0,0
1994,335407634,28800877,143091,1734831,9900987,11024028,8711634,88873,0,0
1995,335406298,27887502,150043,1700528,9518714,11596090,9458550,94230,0,0
1996,335408096,27014634,155580,1664504,9150879,12096169,10223042,99051,0,0
1997,335408232,26217775,163877,1613662,8799584,12525930,10981230,101665,0,0
1998,335411952,25478560,169851,1579190,8431048,12938957,11698846,103551,0,0
1999,335419630,24762091,177123,1534883,8067964,13289172,12456904,104188,0,0
2000,335412415,24380731,181873,1494684,7737589,13523661,12976344,104658,0,0
2001,335430937,24026757,189998,1453590,7420187,13766299,13418911,105276,0,0
2002,335436959,23791775,194116,1415180,7120141,13995218,13754406,104160,0,0
2003,335407357,23962132,198450,1385693,6874310,14222654,13658882,102477,0,0
2004,335408520,23989907,209137,1363037,6672168,14480433,13588816,99937,0,0
2005,335404320,24024938,214364,1336826,6454767,14714721,13564589,97430,0,0
2006,335404478,24013289,222410,1308294,6253031,14927117,13591051,92285,0,0
2007,335407346,23943982,228218,1278219,6089134,15079418,13696602,89036,0,0
2008,335403465,24113326,233749,1256613,5948411,15337509,13432085,86797,0,0
2009,335401593,24268294,240211,1234193,5791505,15534665,13255842,85652,0,0
2010,335401295,24494558,250032,1210777,5684503,15490840,13195118,84832,0,0
2011,335400211,24658772,258630,1182671,5562045,15865530,12800091,84005,0,0
2012,335400957,24768204,262857,1163655,5461092,16015843,12657235,82112,0,0
2013,335407920,24776435,267389,1150162,5377218,16052686,12701231,78914,0,0
2014,335430094,24910023,279246,1074240,4978780,16046926,13017944,74702,0,0
2015,335451365,24764267,289459,1053899,4835571,15951013,13394513,71868,0,0
2016,335428503,25111769,292792,1029602,4698739,15749382,13432679,68489,0,0
2017,335432455,25426207,287896,1021702,4574810,15545056,13460367,63462,0,0
2018,335426079,25774581,284768,991019,4444109,15444510,13387018,59871,0,0
2019,335421118,26134141,288579,947067,4340489,15399718,13226133,54710,0,0
2020,335429500,26467534,290161,893735,4234102,15419034,13029175,48714,0,0
2021,335431577,26851406,298241,829713,4125032,15418310,12816871,40805,0,0
2022,335442813,27216213,304221,764029,4040913,15338506,12675008,30252,0,0
2023,335457107,27624941,306893,704017,3945595,15110922,12643154,19326,0,0
2024,335356454,27224320,309259,623716,3590340,14600797,14097618,9451,0,0
