years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,89.45149230957031,33599220.0,33628536.0,33690576.0,33779616.0,33930768.0,34136048.0,34528092.0,35198296.0,36383048.0,38333060.0,41235300.0,44965544.0,49173440.0,53317904.0,57978404.0,63063308.0,67555712.0,71944272.0,76586376.0,80849176.0,82377184.0,80047856.0,74987336.0,68625240.0,59609904.0,51562120.0,44061884.0,38261500.0,35338312.0,34300052.0,33884968.0,33688688.0,33612416.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1985,89.45610809326172,33598848.0,33629656.0,33693996.0,33783020.0,33938472.0,34140088.0,34548828.0,35205576.0,36369996.0,38340536.0,41249936.0,44974008.0,49146800.0,53367452.0,58027148.0,63217284.0,67663352.0,72153520.0,76783744.0,81409992.0,83103336.0,80780520.0,75527768.0,69014400.0,59981856.0,51595396.0,43957884.0,37870612.0,35079324.0,34188436.0,33833620.0,33646652.0,33595776.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1986,87.23926544189453,33602076.0,33647428.0,33736484.0,33839404.0,34030812.0,34297004.0,34803652.0,35760484.0,37180956.0,39465152.0,42702768.0,46534128.0,50629300.0,55066884.0,59920400.0,65042516.0,70104944.0,75020056.0,79788144.0,83270560.0,84178432.0,79324248.0,74671680.0,67218056.0,56960964.0,48015556.0,40382896.0,35960144.0,34324656.0,33823168.0,33628848.0,33596468.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1987,86.51084899902344,33603784.0,33654296.0,33754376.0,33863516.0,34049580.0,34367116.0,34921036.0,35946536.0,37577948.0,39956432.0,43327012.0,47198620.0,51443532.0,56217228.0,60922532.0,65941740.0,71140792.0,76384368.0,81144568.0,84148000.0,84229848.0,79078712.0,74181104.0,66692148.0,56546804.0,47560916.0,39691004.0,35663176.0,34186312.0,33714252.0,33608408.0,33593972.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1988,85.91536712646484,33602448.0,33659008.0,33763328.0,33872008.0,34042980.0,34390884.0,35023556.0,36130676.0,37848604.0,40472124.0,43859168.0,47971520.0,52434884.0,57239276.0,62045940.0,67002032.0,72102288.0,77602728.0,82405736.0,84602184.0,84082120.0,78711896.0,73480520.0,66254348.0,56876228.0,46979036.0,39036916.0,35425524.0,34001580.0,33635576.0,33595292.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1989,85.17955780029297,33605268.0,33668040.0,33771004.0,33896220.0,34062916.0,34414860.0,35139220.0,36302772.0,38148076.0,40976184.0,44542548.0,48793600.0,53401280.0,58036836.0,62860340.0,67852848.0,72938312.0,79099288.0,83524168.0,84935488.0,83282312.0,77525976.0,72579816.0,65614908.0,56557992.0,45994140.0,38601796.0,35065672.0,33908772.0,33615840.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1990,84.5098876953125,33607776.0,33683916.0,33801808.0,33954292.0,34145984.0,34518156.0,35262760.0,36508372.0,38470196.0,41444712.0,44990868.0,49275948.0,53921416.0,58486212.0,63364372.0,68418576.0,73591496.0,79767504.0,83798072.0,84842064.0,82880544.0,76837776.0,72299000.0,65139076.0,56050628.0,45217676.0,38234908.0,34863824.0,33868236.0,33638420.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1991,83.92459106445312,33610228.0,33701748.0,33831820.0,33992452.0,34197440.0,34579712.0,35339428.0,36632820.0,38732728.0,41814152.0,45370316.0,49785380.0,54273600.0,59065180.0,64204532.0,69092664.0,74334400.0,79885152.0,83676376.0,84097600.0,82156368.0,76554368.0,71931936.0,64655848.0,55607680.0,44586284.0,37812104.0,34736808.0,33829544.0,33629280.0,33593348.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1992,84.4376220703125,33611224.0,33702736.0,33818740.0,33946192.0,34129428.0,34488716.0,35240892.0,36493768.0,38462384.0,41485204.0,44851844.0,49248884.0,53938164.0,58816584.0,63827248.0,68927200.0,74622168.0,80168128.0,84718192.0,85012912.0,83479224.0,78618432.0,73213328.0,65325268.0,55140188.0,44105032.0,37589256.0,34788640.0,33877424.0,33639656.0,33600884.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1993,84.2708511352539,33614608.0,33717456.0,33848224.0,33996892.0,34198336.0,34570060.0,35299336.0,36592556.0,38633700.0,41650892.0,45120396.0,49414372.0,54108756.0,58765372.0,63956248.0,69225488.0,74771800.0,80164024.0,84807960.0,85409960.0,83933624.0,79227728.0,74064344.0,66019132.0,55472856.0,44119532.0,37538136.0,34819004.0,33974308.0,33665896.0,33607816.0,33593204.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1994,84.10385131835938,33618800.0,33735352.0,33875464.0,34039720.0,34250316.0,34650520.0,35358752.0,36676356.0,38757096.0,41799524.0,45393336.0,49566272.0,54096876.0,58864440.0,63937220.0,69503040.0,74847800.0,80063448.0,84769832.0,85766616.0,84475688.0,79830568.0,74873216.0,66654596.0,55744804.0,43969184.0,37354884.0,34794684.0,34045324.0,33704768.0,33601612.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1995,84.0460205078125,33622076.0,33742696.0,33889120.0,34070500.0,34301304.0,34709792.0,35406012.0,36730684.0,38732984.0,41849364.0,45550644.0,49665460.0,54095024.0,58863156.0,64032668.0,69651360.0,74824704.0,80096272.0,84916560.0,86114864.0,85127296.0,80607824.0,75749912.0,67052332.0,55847940.0,43724448.0,37300340.0,34765988.0,34078140.0,33744560.0,33606460.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1996,83.86050415039062,33626312.0,33764668.0,33915828.0,34099476.0,34348572.0,34771892.0,35451632.0,36760808.0,38772624.0,41955520.0,45739124.0,49823112.0,54127028.0,58999732.0,64241080.0,69777664.0,74895944.0,79959288.0,84935816.0,86209752.0,85277280.0,80978672.0,76630288.0,67336872.0,55837184.0,43460532.0,37200376.0,34743584.0,34073628.0,33703968.0,33596196.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1997,83.58258819580078,33633020.0,33782160.0,33943544.0,34131928.0,34399948.0,34841204.0,35499492.0,36825044.0,38908444.0,42127092.0,45919276.0,49987476.0,54201108.0,59259096.0,64461432.0,69955344.0,74889592.0,79984504.0,84747408.0,86275736.0,85141104.0,81405864.0,76962200.0,67421064.0,55513628.0,43111116.0,37107608.0,34718176.0,34117560.0,33716984.0,33597248.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1998,83.24600982666016,33639940.0,33802336.0,33972648.0,34170636.0,34462960.0,34892000.0,35580872.0,36897972.0,39057180.0,42311408.0,46109096.0,50108952.0,54342036.0,59476600.0,64663664.0,70127440.0,74914968.0,79877016.0,84571456.0,86200864.0,85163896.0,81772848.0,77089536.0,67296544.0,54976960.0,42602076.0,36891868.0,34735160.0,34120924.0,33748936.0,33598896.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
1999,82.9549789428711,33647672.0,33823572.0,33994220.0,34207148.0,34505032.0,34943316.0,35636324.0,36979532.0,39142332.0,42386736.0,46294468.0,50174056.0,54446340.0,59738652.0,64862584.0,70251720.0,75066688.0,79765544.0,84379464.0,86245240.0,85295984.0,82191560.0,77058520.0,67294280.0,54234876.0,42191368.0,36658784.0,34728668.0,34123732.0,33774044.0,33602928.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
2000,82.70336151123047,33655768.0,33844972.0,34019232.0,34232056.0,34538672.0,34974780.0,35673896.0,37025488.0,39183944.0,42475036.0,46385864.0,50215700.0,54585764.0,59772084.0,65036708.0,70288472.0,75169416.0,79854832.0,84148104.0,86350960.0,85469160.0,82538384.0,77196960.0,67202576.0,53422696.0,41713156.0,36457384.0,34729544.0,34147048.0,33801456.0,33613268.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
2001,82.50233459472656,33660992.0,33859984.0,34045084.0,34268244.0,34563468.0,34992336.0,35720312.0,37084072.0,39278480.0,42573252.0,46339536.0,50175236.0,54501236.0,59696400.0,65102828.0,70213368.0,75037440.0,79725456.0,83976768.0,86260304.0,85633824.0,82708760.0,77353400.0,67186448.0,52830288.0,41290964.0,36279744.0,34729176.0,34099768.0,33834644.0,33625336.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
2002,82.28353881835938,33666628.0,33877024.0,34064644.0,34290012.0,34588348.0,35022948.0,35776776.0,37114588.0,39279888.0,42620544.0,46350260.0,50270016.0,54611588.0,59749912.0,65193056.0,70346416.0,75212880.0,79788080.0,84018264.0,86456736.0,85995960.0,83274896.0,77607656.0,66785804.0,51826256.0,40748148.0,36120956.0,34699852.0,34061444.0,33818576.0,33616596.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0,33593048.0
