years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,80.43600463867188,225756320.0,228131088.0,232378896.0,237266560.0,244895744.0,255233920.0,270302304.0,293471200.0,324674528.0,363042592.0,408768992.0,460253984.0,515001984.0,569471488.0,620686464.0,665310592.0,699629696.0,723408576.0,737447360.0,731838016.0,704146112.0,662008256.0,608216192.0,547293440.0,485246720.0,425352896.0,368958848.0,318093600.0,281078880.0,259827504.0,247711920.0,239750112.0,234486496.0,231025424.0,228477296.0,227256256.0,226481632.0,225943952.0,225682496.0,225646096.0,225650928.0
1985,80.88227844238281,225757632.0,228038944.0,232218400.0,236954400.0,244647936.0,254996000.0,270019200.0,292787552.0,323726624.0,361774720.0,407068032.0,458202464.0,513080160.0,568114944.0,619620032.0,664888192.0,699677248.0,724478592.0,739584384.0,734692480.0,707997824.0,666436992.0,613387648.0,552703040.0,491005088.0,433593984.0,376823232.0,327103744.0,287879552.0,264561824.0,250400320.0,242066592.0,236388656.0,232072096.0,229358080.0,227693664.0,226727424.0,226271216.0,225863488.0,225646096.0,225652512.0
1986,79.13712310791016,225773504.0,228892416.0,234113600.0,238795808.0,246041024.0,256875520.0,273332800.0,297457216.0,331126592.0,372976448.0,422218944.0,477803648.0,534490688.0,588497280.0,634004864.0,671116736.0,696138560.0,715697920.0,721609344.0,709154560.0,681444288.0,640185472.0,585818816.0,525560256.0,466748480.0,413035424.0,363605408.0,321586432.0,287329696.0,263638256.0,249705760.0,241749728.0,236256048.0,232350720.0,229571552.0,227749360.0,226803728.0,226157120.0,225782912.0,225646096.0,225647104.0
1987,78.14641571044922,225782032.0,229231408.0,235029440.0,239592208.0,247033632.0,258544480.0,275595840.0,300881856.0,336018784.0,379211904.0,430477792.0,487965248.0,545170176.0,599469504.0,644056896.0,678780480.0,703347776.0,720535040.0,723492864.0,709146752.0,676724224.0,631613696.0,574434560.0,509667232.0,450853376.0,396452416.0,350986624.0,312669888.0,283092416.0,261131360.0,247694544.0,240364368.0,235282976.0,231357328.0,228767552.0,227452144.0,226583488.0,225946464.0,225721760.0,225646096.0,225647712.0
1988,77.40931701660156,225780784.0,229162912.0,235584016.0,240469024.0,248177152.0,260002880.0,277904832.0,303564640.0,339372160.0,384010752.0,436545664.0,494533024.0,551882112.0,605738048.0,649077312.0,683789632.0,708180608.0,722674688.0,722924416.0,707543680.0,672663936.0,622523456.0,563255296.0,497782048.0,436988320.0,382781696.0,338902880.0,304620672.0,278527648.0,260846672.0,247491808.0,240466048.0,235452016.0,231322544.0,228727200.0,227214896.0,226562256.0,226020944.0,225758512.0,225646096.0,225649312.0
1989,76.97735595703125,225776144.0,228791664.0,235809280.0,241325344.0,249413312.0,261475264.0,279598656.0,305324416.0,341695360.0,387370272.0,439738304.0,497504768.0,553922496.0,607030016.0,649687424.0,682139584.0,706976000.0,720115392.0,721136896.0,702453760.0,663845440.0,613821888.0,555758528.0,492001216.0,428142272.0,372801984.0,329790656.0,299410624.0,276647872.0,261831040.0,250901216.0,242068864.0,236359744.0,232749104.0,229552496.0,227538256.0,226657904.0,226211680.0,225899456.0,225646096.0,225660992.0
1990,76.61751556396484,225769792.0,228568880.0,236031120.0,242036480.0,250441696.0,262878832.0,281031616.0,307099872.0,343993696.0,389450016.0,442236224.0,499410656.0,554662336.0,606829696.0,649983680.0,682596416.0,708367616.0,721360064.0,719827840.0,699581760.0,660224000.0,608717440.0,546585472.0,481075840.0,418369216.0,365251072.0,324176992.0,294449632.0,275051456.0,261590832.0,252381184.0,244388112.0,237212864.0,233922224.0,231272768.0,229092736.0,227575168.0,226629872.0,226161440.0,225646096.0,225756512.0
1991,76.57601165771484,225763696.0,228289120.0,235567312.0,242032768.0,251039264.0,264136672.0,282519968.0,308790784.0,345956640.0,391254016.0,443877248.0,500169504.0,554932800.0,606387328.0,649739776.0,682128448.0,707312704.0,720435520.0,717088704.0,696154048.0,657911936.0,604516992.0,543261632.0,479365280.0,417670272.0,365046368.0,323872320.0,294143264.0,274594272.0,261963168.0,253502752.0,247380768.0,240429648.0,235327744.0,232037456.0,229859040.0,228713248.0,227873760.0,226874880.0,225646096.0,226157984.0
1992,77.28491973876953,225755936.0,227993536.0,234369232.0,241062512.0,250198576.0,263429552.0,282077120.0,307876864.0,343746304.0,388306848.0,440127552.0,496930272.0,552403392.0,604729344.0,649329856.0,682316032.0,707187328.0,722415296.0,720666880.0,700656704.0,663731200.0,612843200.0,552473408.0,490016384.0,427738816.0,374036544.0,330362176.0,300156992.0,278475584.0,263531952.0,254456528.0,249412896.0,243652400.0,238567808.0,233931856.0,230882160.0,229179232.0,228224736.0,227793200.0,225646096.0,226787568.0
1993,77.29981231689453,225776640.0,228128512.0,234204144.0,240997936.0,250815216.0,264387984.0,283353472.0,309176384.0,345318208.0,389377920.0,441484192.0,497788800.0,552963392.0,604452288.0,648191296.0,681099840.0,704944448.0,719543232.0,717275264.0,697993600.0,661843456.0,611322560.0,550473408.0,490205152.0,430975456.0,378428416.0,335010944.0,303078752.0,281076224.0,264494416.0,255152096.0,249537632.0,244926944.0,241021456.0,236936480.0,232719120.0,229986640.0,228687904.0,228070528.0,225646096.0,227643232.0
