years,0,1,2,3,4,5,6,7,8,9
1984,317435399,32396127,536113,1180879,33992450,12046375,5416658,461013,0,0
1985,317434302,32364662,559768,1370993,33912591,11869259,5463940,489499,0,0
1986,317424800,32481550,636522,1507603,33352823,11866261,5595180,600275,0,0
1987,317418073,32596055,719412,1599660,32637200,12021809,5762837,709968,0,0
1988,317413292,32716077,791106,1621981,31744076,12434688,5925773,818021,0,0
1989,317408170,32897751,863020,1600520,31012701,12775282,6024006,883564,0,0
1990,317403571,33043430,909951,1563832,30126837,13287888,6217473,912032,0,0
1991,317398962,33243378,954213,1542054,28712989,13978609,6638803,996006,0,0
1992,317395835,33389079,1010070,1530624,27372095,14521676,7128882,1116753,0,0
1993,317391716,33519315,1069617,1541402,25877581,15038331,7743631,1283421,0,0
1994,317388408,33642303,1143870,1527620,24270838,15567502,8447276,1477197,0,0
1995,317385554,33770178,1213166,1509200,22582853,16111352,9233325,1659386,0,0
1996,317383471,33882263,1257989,1490120,20965847,16610226,10062175,1812923,0,0
1997,317381007,33973387,1293229,1488223,19564768,16955256,10862269,1946875,0,0
1998,317379384,34078406,1327920,1486455,18257079,17189095,11677980,2068695,0,0
1999,317377774,34178937,1357676,1480454,17160357,17345673,12391928,2172215,0,0
2000,317375732,34291226,1379749,1469092,16178685,17484478,13021057,2264995,0,0
2001,317374083,34424784,1393059,1471479,15327247,17633594,13503588,2337180,0,0
2002,317373019,34536963,1392886,1447419,14649566,17957175,13795606,2312380,0,0
2003,317370767,34629377,1413037,1446212,13903049,18252812,14102750,2347010,0,0
2004,317369719,34730598,1438717,1445882,13271416,18491412,14364761,2352509,0,0
2005,317368418,34824410,1460707,1450029,12729642,18862545,14438830,2330433,0,0
2006,317367759,34900760,1481241,1456276,12314595,19342934,14315912,2285537,0,0
2007,317367154,34980023,1500375,1461102,11962014,19729747,14256736,2207863,0,0
2008,317366006,35065588,1516176,1466162,11717350,20006261,14201851,2125620,0,0
2009,317364848,35156915,1528748,1475273,11551711,20278913,14067967,2040639,0,0
2010,317364814,35269307,1607265,1499759,11606595,20123229,13896430,2097615,0,0
2011,317363430,35382063,1612770,1503849,11466887,20400385,13724477,2011153,0,0
2012,317363638,35485407,1610188,1503899,11487493,20720734,13421859,1871796,0,0
2013,317363256,35631333,1551784,1490211,12150490,21153701,12554651,1569588,0,0
2014,317362483,35747264,1541582,1501466,12065805,21590432,12220994,1434988,0,0
2015,317361720,35814050,1568258,1537455,11969703,21730772,12059843,1423213,0,0
2016,317361229,35910042,1601683,1562156,11769948,21839146,12035301,1385509,0,0
2017,317360738,36020332,1607505,1566722,11563826,22057893,12042640,1245358,0,0
2018,317360549,36137152,1618581,1589307,11273411,22407220,11961775,1117019,0,0
2019,317361233,36292085,1580015,1592929,10934875,22717377,12021769,964731,0,0
2020,317361108,36395431,1591916,1601718,10425418,23434420,11839620,815383,0,0
2021,317361116,36500290,1601361,1611435,10068252,24088489,11569415,664656,0,0
2022,317361971,36586027,1613479,1634470,9809047,24595279,11325453,539288,0,0
2023,317362818,36685195,1627672,1639516,9488534,24971200,11273002,417077,0,0
2024,317329327,36849197,1613869,1578008,8955136,25030823,11795539,313115,0,0
