years,0,1,2,3,4,5,6,7,8,9,10
1984,13222710,1860073,544510,783620,2697194,0,254229,2412,2002252,802808,0
1985,13222719,1771494,593229,806049,2715476,0,254339,2409,2005903,798190,0
1986,13224052,1896221,612332,881430,2610011,0,225519,2156,1868474,849613,0
1987,13224666,1583775,622494,971720,2716085,0,220065,2375,1931035,897593,0
1988,13224287,1304176,592948,1037939,2734251,0,215285,2472,2096979,961471,0
1989,13222771,1148590,429283,1100044,2700622,0,214977,2422,2339926,1011173,0
1990,13221890,1054610,305640,1154246,2654867,0,212149,2459,2530073,1033874,0
1991,13221636,1021096,258678,1107044,2611209,0,206469,2162,2704660,1036854,0
1992,13221106,1006185,246804,1134682,2687764,0,182325,2277,2681084,1007581,0
1993,13220598,968986,230138,1135014,2624173,0,183503,2186,2770914,1034296,0
1994,13220228,937733,212660,1133178,2565039,0,186953,2304,2847516,1064197,0
1995,13220091,909677,199674,1126261,2507603,0,182157,2551,2923762,1098032,0
1996,13219701,886183,183473,1117056,2431000,0,185869,2854,3013006,1130666,0
1997,13219543,866874,168099,1091012,2365662,0,185900,3013,3100237,1169468,0
1998,13219344,854065,153676,1040501,2291339,0,192749,3078,3208556,1206500,0
1999,13219141,843542,139673,999257,2215078,0,204315,3065,3312085,1233652,0
2000,13219193,833892,125318,957730,2140512,0,216907,3004,3415569,1257683,0
2001,13219050,826808,113097,899284,2071537,0,221276,2907,3538599,1277250,0
2002,13218963,821470,103334,855449,2006932,0,210704,2760,3658618,1291578,0
2003,13218874,813893,93959,805231,1909288,0,234327,2665,3783663,1307908,0
2004,13218857,807517,87086,764035,1808739,0,263463,2689,3897918,1319495,9
2005,13218872,801648,83645,716674,1714308,0,297204,2705,4002385,1332346,21
2006,13218853,806784,85881,662528,1634126,0,340346,2939,4073693,1344613,45
2007,13218709,800236,82683,603487,1541768,0,394267,3026,4172645,1352891,96
2008,13218769,796235,81355,550413,1449279,0,456285,3122,4258868,1355338,144
2009,13218749,795146,82766,509301,1372079,0,526105,3192,4302972,1359330,168
2010,13218677,795068,87962,478426,1307663,0,596463,3262,4317421,1364632,234
2011,13218740,800568,107323,449328,1252819,0,656735,3312,4326283,1354391,309
2012,13218686,804837,122600,412283,1178737,0,721142,3358,4347576,1360202,387
2013,13218670,803559,149606,392842,1091008,0,782367,3583,4377444,1350298,431
2014,13218749,800137,194472,395186,1005291,0,839858,3990,4386784,1324878,463
2015,13218744,794976,251711,425266,936182,0,892573,4838,4359506,1285473,539
2016,13218896,787287,308259,481251,889645,0,922695,5868,4323175,1232197,535
2017,13219621,782537,350829,556469,859115,0,936408,6510,4283188,1174640,491
2018,13219455,782820,372735,623334,871221,0,923042,7046,4247247,1122484,424
2019,13221098,783059,375177,696180,891976,0,923493,7791,4202150,1068416,468
2020,13219299,784459,380142,779076,905625,0,929203,9017,4146871,1015645,471
2021,13219533,785081,387857,893241,926276,0,928740,10436,4053008,965380,256
2022,13219839,784864,441893,1040963,915416,0,922780,11289,3923806,908710,248
2023,13220642,786911,470429,1187349,903736,0,916699,11153,3825238,847394,257
2024,13212966,797442,483896,1295921,938602,44,876014,9525,3760889,794023,486
