years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,91.23764038085938,327444288.0,327518368.0,327773248.0,328211488.0,329194368.0,331328224.0,335562464.0,341646272.0,349838592.0,361390656.0,377337888.0,399086272.0,426121728.0,457832576.0,494370656.0,534402688.0,573574720.0,613433408.0,649477632.0,677737728.0,693064064.0,692161152.0,666198528.0,610910208.0,538297472.0,469757120.0,413958656.0,373756064.0,350456960.0,339201856.0,333348608.0,330350304.0,328964224.0,328177152.0,327769824.0,327594048.0,327520640.0,327454656.0,327441344.0,327438144.0,327438144.0
1985,92.65310668945312,327445760.0,327516480.0,327777600.0,328204736.0,329124320.0,331040576.0,334612064.0,339787712.0,346915904.0,356755904.0,370954048.0,391275264.0,417291328.0,448897600.0,485383968.0,526662976.0,568870784.0,611871168.0,653155520.0,687185280.0,708984704.0,711835264.0,689352832.0,635426560.0,556773568.0,480161152.0,419569760.0,376689024.0,352023968.0,339950976.0,333703488.0,330478912.0,329021504.0,328306432.0,327862496.0,327654400.0,327557472.0,327482368.0,327446720.0,327438144.0,327438144.0
1986,92.12879180908203,327446112.0,327509888.0,327773664.0,328233408.0,329225408.0,331321760.0,335198784.0,340888896.0,348618112.0,359504000.0,374510624.0,395217216.0,420916352.0,452746080.0,488699712.0,530042112.0,572006016.0,613787072.0,653240640.0,685806592.0,704260480.0,706062720.0,682580416.0,630243264.0,554019776.0,479642560.0,420254144.0,377061632.0,352522048.0,339730208.0,333565856.0,330644544.0,329181696.0,328410880.0,327973952.0,327684928.0,327579104.0,327494336.0,327450944.0,327438144.0,327438720.0
1987,91.48382568359375,327445088.0,327504832.0,327770880.0,328253696.0,329304960.0,331619488.0,335936192.0,342298336.0,350884128.0,362638144.0,378345152.0,399623872.0,425495616.0,457428096.0,493339616.0,533985280.0,575300800.0,615720320.0,653685120.0,683951808.0,701715648.0,702623104.0,677173824.0,624698752.0,549361792.0,476148832.0,418196352.0,376398144.0,351803648.0,339340512.0,333534656.0,330686464.0,329432096.0,328503424.0,328068800.0,327754624.0,327597088.0,327505024.0,327463104.0,327438144.0,327439104.0
1988,91.00631713867188,327444448.0,327499296.0,327747520.0,328245024.0,329310592.0,331835200.0,336562752.0,343356800.0,352658336.0,365003648.0,381486848.0,403136768.0,429257696.0,461219648.0,496600448.0,537048320.0,577770240.0,617542272.0,655553472.0,683860544.0,701283968.0,700485120.0,673525120.0,619602688.0,545185152.0,473477760.0,415794688.0,375744960.0,351457408.0,339275456.0,333635520.0,330994624.0,329653184.0,328790400.0,328198976.0,327897632.0,327666048.0,327540256.0,327486336.0,327438144.0,327442752.0
1989,90.92119598388672,327443936.0,327494336.0,327723840.0,328230784.0,329315200.0,331936256.0,336900736.0,343924480.0,353654816.0,366185312.0,383177888.0,404481024.0,430044352.0,460677696.0,495806592.0,535413120.0,576411008.0,616294336.0,654410240.0,683657920.0,702413888.0,700813824.0,673675392.0,617999104.0,545600576.0,474436320.0,415858048.0,375995968.0,351917888.0,339271904.0,333912768.0,331438592.0,330016960.0,329283584.0,328436672.0,328029472.0,327782688.0,327596800.0,327507456.0,327438144.0,327448640.0
1990,90.9073715209961,327443488.0,327492608.0,327682240.0,328215296.0,329304704.0,331976864.0,337055488.0,344303744.0,354221248.0,366996224.0,383996352.0,404934976.0,429971776.0,460534592.0,495565568.0,535512320.0,577493248.0,618088448.0,656184704.0,685398016.0,704034304.0,700519040.0,673353856.0,618815424.0,546798592.0,474690784.0,415199040.0,375441344.0,352777376.0,339743616.0,334048256.0,331868672.0,330528928.0,329832096.0,329146048.0,328288032.0,327976960.0,327710784.0,327560384.0,327438144.0,327461600.0
1991,90.8548355102539,327443680.0,327491520.0,327662848.0,328176960.0,329253760.0,331881472.0,337014304.0,344632416.0,354660032.0,368039232.0,385064512.0,405933312.0,431200224.0,461684608.0,497284032.0,537683840.0,581680384.0,622949120.0,659941056.0,689856384.0,706389504.0,701598016.0,671393152.0,617083840.0,545324800.0,474786560.0,415940096.0,375932032.0,353553792.0,341237056.0,334670016.0,332119328.0,330964608.0,330221184.0,329709632.0,328924544.0,328306720.0,327887488.0,327646720.0,327438144.0,327496384.0
1992,90.77825927734375,327443328.0,327484992.0,327652032.0,328128128.0,329203936.0,331900192.0,337174752.0,345016000.0,355383296.0,369125056.0,386332160.0,407396416.0,432804160.0,463520864.0,499823552.0,540440960.0,584527232.0,626356416.0,662025536.0,691125120.0,708094336.0,702283904.0,670236288.0,617062976.0,545118784.0,474377088.0,416974528.0,377140480.0,354139328.0,342397632.0,336007616.0,332511104.0,331230528.0,330641728.0,330090944.0,329511424.0,328793984.0,328181888.0,327771008.0,327438144.0,327513280.0
1993,90.84455108642578,327443136.0,327482944.0,327652448.0,328097024.0,329195904.0,331928480.0,337223552.0,345206208.0,355751744.0,369603648.0,387198144.0,408586176.0,434291872.0,465252416.0,501423968.0,541735552.0,586132352.0,627853440.0,664005696.0,692766144.0,709997888.0,704035200.0,671124544.0,619156352.0,546174208.0,475425344.0,418656896.0,380350912.0,356315136.0,344047200.0,337626912.0,333841024.0,331659488.0,330839680.0,330555328.0,329886848.0,329304448.0,328632704.0,328098752.0,327438144.0,327572096.0
