years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,81.99457550048828,397088960.0,401900736.0,406116224.0,410194496.0,414427456.0,417687744.0,420383584.0,423045952.0,425009568.0,425107616.0,423649088.0,421269152.0,419598176.0,419015488.0,420235488.0,423090112.0,427914720.0,435359456.0,445961216.0,459690784.0,473100768.0,488494336.0,502628608.0,517136544.0,530216256.0,538490432.0,541755840.0,538434880.0,525692128.0,505925312.0,478265344.0,449576992.0,426851776.0,411371744.0,403171552.0,399138656.0,397147744.0,396272000.0,395997408.0,395811968.0,395858464.0
1985,82.50884246826172,397084704.0,401925664.0,406217536.0,410475520.0,414753088.0,418126112.0,420876960.0,423340704.0,425036512.0,424967680.0,423738528.0,421529920.0,419880992.0,419173600.0,420082624.0,422337408.0,426637920.0,433461728.0,443100800.0,456601056.0,471352064.0,486958080.0,502052896.0,518775872.0,533471808.0,543943296.0,547697280.0,545513472.0,532386048.0,511098688.0,481842688.0,451360384.0,428155616.0,412548544.0,403818528.0,399315872.0,397162560.0,396269920.0,395987264.0,395811968.0,395856256.0
1986,82.67426300048828,397007968.0,401473312.0,405876480.0,410668416.0,415392736.0,419407616.0,422592672.0,425335232.0,427297056.0,427433472.0,425793824.0,423132416.0,420728448.0,419499264.0,419878400.0,421940512.0,426142912.0,432932768.0,442143488.0,455165600.0,470970816.0,486963936.0,502413888.0,519064192.0,534127936.0,544827648.0,548926720.0,547829504.0,535843456.0,514931680.0,486232384.0,456301952.0,431343840.0,413858464.0,404097600.0,399590464.0,397398784.0,396310176.0,395975072.0,395811968.0,395854560.0
1987,82.32892608642578,396951200.0,401189344.0,405768256.0,410964224.0,416162784.0,420664928.0,424571040.0,427708768.0,430053280.0,430176096.0,428198656.0,424510144.0,421245440.0,419456512.0,419517344.0,421558624.0,425969824.0,432598880.0,442100000.0,454785344.0,471044032.0,487629024.0,503773280.0,520534368.0,535063744.0,544530304.0,549669120.0,547241792.0,534316992.0,514932800.0,487786976.0,458427552.0,432664160.0,414375712.0,404161024.0,399666560.0,397418272.0,396333344.0,395980960.0,395811968.0,395849920.0
1988,81.69561004638672,396886656.0,400992640.0,405692960.0,411132096.0,416902848.0,422122080.0,426686272.0,430683456.0,433205248.0,433547424.0,430712448.0,425960512.0,421708864.0,419331424.0,419117664.0,421398624.0,425606176.0,432258016.0,441530848.0,454032032.0,470498880.0,488181088.0,505169600.0,521407520.0,535795136.0,545792448.0,549630272.0,546076160.0,530928864.0,513003232.0,486822336.0,458124032.0,432938624.0,414223904.0,404125568.0,399473184.0,397473344.0,396447904.0,396006304.0,395811968.0,395848064.0
1989,80.70462036132812,396832672.0,400886080.0,405711424.0,411394336.0,417640896.0,423687168.0,429040256.0,433860256.0,436895072.0,437274496.0,433713088.0,427790240.0,422436416.0,419620896.0,419237664.0,420967392.0,424904608.0,431527904.0,440213152.0,452673120.0,468914752.0,487657408.0,505010752.0,521124960.0,535859520.0,546668800.0,548532288.0,542826304.0,526880864.0,509503104.0,484401216.0,456936448.0,432836448.0,414813952.0,404449696.0,399479424.0,397456736.0,396545568.0,396101888.0,395811968.0,395870944.0
1990,79.48283386230469,396810624.0,400844512.0,405935296.0,412150464.0,419036128.0,425729056.0,431874496.0,437493728.0,441114208.0,441269408.0,436859424.0,429858016.0,423347744.0,419716000.0,419194464.0,420863232.0,424780608.0,431304896.0,440166208.0,452504064.0,468877792.0,488018656.0,505794912.0,521256512.0,535652128.0,547001536.0,547560256.0,540178048.0,524535552.0,506896960.0,482986880.0,456969280.0,432976704.0,415503200.0,404867264.0,399873312.0,397620608.0,396611296.0,396112736.0,395811968.0,395882048.0
1991,78.3504409790039,396804928.0,400851680.0,406162432.0,412921792.0,420361664.0,427681472.0,434269120.0,440539008.0,444597344.0,444773888.0,439960960.0,431737504.0,424086528.0,420002496.0,419181568.0,420858080.0,424658688.0,430853792.0,439713888.0,452140352.0,468908256.0,488117952.0,506400192.0,522037568.0,535694272.0,546998528.0,547315072.0,538296000.0,523073856.0,505149536.0,481246176.0,456044448.0,432396736.0,415694400.0,405221472.0,400016416.0,397699040.0,396629600.0,396117728.0,395811968.0,395886944.0
1992,77.59550476074219,396785088.0,400816224.0,406275456.0,413446240.0,421337760.0,429190688.0,436072864.0,442690144.0,446944768.0,447179200.0,442018112.0,433194976.0,424777696.0,420417728.0,419524416.0,421102944.0,424641088.0,430863328.0,439653504.0,452137696.0,469090624.0,488281760.0,507316480.0,522925728.0,536177280.0,547309120.0,547267456.0,537191424.0,521948416.0,503348576.0,479507136.0,454621760.0,431841856.0,415573408.0,405417568.0,400160864.0,397718496.0,396673568.0,396125632.0,395811968.0,395886464.0
1993,76.84037780761719,396766752.0,400785280.0,406415424.0,413950368.0,422419360.0,430670016.0,438111584.0,444981216.0,449460832.0,449781312.0,444399552.0,434796512.0,425668416.0,420648352.0,419815168.0,421442816.0,424756416.0,430768192.0,439400832.0,451617632.0,468427776.0,488057248.0,507679776.0,523932416.0,537000128.0,547320320.0,546401472.0,537222912.0,521741216.0,503386240.0,478456256.0,453467232.0,430888832.0,415188000.0,405352832.0,400225824.0,397813728.0,396710432.0,396129408.0,395811968.0,395881344.0
