years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,141.86883544921875,58667048.0,58667196.0,58683280.0,58705128.0,58755548.0,58891288.0,59050752.0,59211976.0,59398312.0,59738352.0,60075528.0,60417100.0,60981348.0,61923896.0,63194728.0,64963440.0,67235584.0,70336576.0,74420944.0,79287192.0,84733784.0,91712960.0,99774560.0,109483488.0,122349024.0,138006464.0,158181808.0,182960992.0,210137152.0,236497344.0,259068544.0,263510256.0,241482848.0,201202736.0,152477568.0,117155048.0,94337432.0,79074976.0,69087728.0,58667040.0,61850544.0
1985,141.86859130859375,58667048.0,58667196.0,58683660.0,58704696.0,58755132.0,58891992.0,59050936.0,59211992.0,59401552.0,59736972.0,60075356.0,60416744.0,60979432.0,61925464.0,63197704.0,64961468.0,67228032.0,70336080.0,74417560.0,79288776.0,84752464.0,91719848.0,99789792.0,109465360.0,122311576.0,138045312.0,158182816.0,182918528.0,210124192.0,236541216.0,259027312.0,263566368.0,241443744.0,201180768.0,152478656.0,117144000.0,94346880.0,79078048.0,69118392.0,58667040.0,61851176.0
1986,143.98361206054688,58667048.0,58667232.0,58683324.0,58704820.0,58748664.0,58880268.0,59012784.0,59147048.0,59290024.0,59555944.0,59812440.0,60072700.0,60556032.0,61339480.0,62461008.0,64045144.0,66047976.0,68713560.0,72223512.0,76517328.0,81820328.0,88315096.0,96090592.0,105554512.0,117797136.0,132869088.0,152599136.0,177070624.0,205915424.0,235712976.0,263338512.0,276123264.0,261505152.0,222910752.0,169079072.0,126725840.0,98111136.0,79777080.0,69443352.0,58667040.0,61950856.0
1987,144.99932861328125,58667048.0,58667172.0,58683176.0,58702132.0,58732676.0,58851192.0,58980960.0,59111792.0,59250848.0,59510528.0,59754008.0,60068096.0,60538772.0,61250352.0,62369220.0,63893824.0,65874176.0,68397536.0,71887408.0,76097440.0,81248280.0,87506064.0,94892928.0,103751288.0,115665352.0,130162192.0,148614848.0,171300640.0,200199072.0,231162176.0,259798944.0,275727168.0,267087072.0,237206240.0,184053920.0,136975072.0,104633904.0,82485528.0,70520768.0,58667040.0,62136588.0
1988,145.1550750732422,58667048.0,58667144.0,58683120.0,58702072.0,58731512.0,58847484.0,58970072.0,59113468.0,59250824.0,59508224.0,59734432.0,60073904.0,60584728.0,61320392.0,62454456.0,63970424.0,66000628.0,68626464.0,72108208.0,76226712.0,81494144.0,87657328.0,94783648.0,103603264.0,115161288.0,129205336.0,147215424.0,170296576.0,198226464.0,229284320.0,257702640.0,275214560.0,267332928.0,239189280.0,187394080.0,140081952.0,107351744.0,84434544.0,71067768.0,58667040.0,62118044.0
1989,145.0731658935547,58667048.0,58667128.0,58683064.0,58702064.0,58731728.0,58840872.0,58968592.0,59097056.0,59266000.0,59516200.0,59746224.0,60070128.0,60591668.0,61328816.0,62512736.0,64048268.0,66041224.0,68640352.0,72204848.0,76410760.0,81724016.0,88071280.0,95212480.0,104236896.0,115604624.0,129608464.0,147134176.0,170053248.0,197639472.0,226915712.0,255762112.0,273553344.0,265843216.0,236637712.0,186884320.0,139825456.0,108595752.0,85874736.0,71554352.0,58667040.0,62189364.0
1990,144.54986572265625,58667048.0,58667128.0,58683120.0,58701972.0,58731612.0,58840880.0,58968672.0,59098052.0,59273240.0,59535424.0,59768008.0,60071496.0,60614248.0,61380824.0,62618848.0,64240556.0,66305920.0,69179248.0,72902784.0,77217504.0,82536064.0,89040960.0,96817448.0,106200712.0,117584320.0,131979552.0,149455664.0,171417056.0,197109424.0,224100592.0,249285376.0,263197536.0,258375248.0,230341440.0,184215440.0,139720560.0,109545072.0,87168320.0,71904752.0,58667040.0,62314280.0
1991,144.30796813964844,58667048.0,58667128.0,58683208.0,58701912.0,58732148.0,58842680.0,58966912.0,59103144.0,59263416.0,59550436.0,59796424.0,60127684.0,60634872.0,61461840.0,62715456.0,64309840.0,66469136.0,69610608.0,73442360.0,77873472.0,82939728.0,89715328.0,97573312.0,106875232.0,118661120.0,132914480.0,150136320.0,172289024.0,197880192.0,223554688.0,247604784.0,258808096.0,254733168.0,226893808.0,184284224.0,140962640.0,110049864.0,87804968.0,72492376.0,58667040.0,62492376.0
1992,143.7737274169922,58667048.0,58667128.0,58683452.0,58701880.0,58732736.0,58846016.0,58975796.0,59103352.0,59275720.0,59562440.0,59845520.0,60183484.0,60726420.0,61572936.0,62890120.0,64567824.0,66966336.0,70256408.0,74093424.0,78599384.0,84105928.0,90901632.0,98962296.0,108106792.0,120079840.0,134263328.0,152153408.0,173718272.0,199012352.0,223994720.0,245950304.0,254778624.0,247201968.0,220490272.0,181777504.0,140795664.0,109974480.0,88166568.0,72556464.0,58667040.0,62585592.0
1993,143.15744018554688,58667048.0,58667128.0,58683584.0,58701764.0,58739060.0,58847024.0,58984424.0,59118760.0,59301140.0,59589664.0,59910548.0,60264420.0,60867240.0,61821368.0,63272080.0,64990560.0,67357592.0,70633312.0,74534368.0,79403952.0,85226448.0,92192328.0,100000256.0,109487568.0,121067112.0,135927472.0,153516480.0,174783008.0,202253424.0,226558752.0,245679552.0,249965856.0,237762048.0,212039904.0,177022752.0,140722624.0,110909400.0,88322984.0,72379584.0,58667040.0,62547392.0
