years,0,1,2,3,4,5,6,7,8,9
1984,466707777,137119227,1957140,2903328,43237446,5298914,1932803,325727,0,0
1985,466697251,136545614,2123450,2908517,44009141,4975633,1866712,356044,0,0
1986,466670213,136567285,2498198,3078855,43319062,4891872,2077967,378910,0,0
1987,466657084,136524754,2894611,3228956,42478360,4942909,2341527,414161,0,0
1988,466640791,136516730,3370692,3402884,41553255,4835972,2650399,511639,0,0
1989,466629666,137442633,3698404,3475989,40177577,4644827,2769745,643521,0,0
1990,466618049,137944580,3797141,3516544,39340510,4581891,2895847,787800,0,0
1991,466604045,137705163,3966144,3566846,39004747,4568046,3147287,920084,0,0
1992,466592776,137534520,4157922,3656206,38652611,4566451,3232235,1089641,0,0
1993,466582964,137381336,4348659,3728289,38053865,4614543,3518381,1254325,0,0
1994,466575019,137133896,4609664,3745059,37559973,4675587,3746829,1436335,0,0
1995,466567922,136945592,4808294,3766308,37005622,4782174,4017547,1588903,0,0
1996,466562901,136729315,4903829,3777836,36543406,4953895,4343084,1668096,0,0
1997,466557428,136490958,4984210,3790752,36262668,5096197,4568271,1731878,0,0
1998,466553879,136229519,5083225,3799535,35976074,5251049,4821319,1767762,0,0
1999,466550976,136003135,5174492,3805532,35716939,5401030,5041991,1788267,0,0
2000,466546922,135851941,5263056,3812237,35420901,5560693,5206535,1820077,0,0
2001,466545809,135711232,5341876,3810302,35145468,5751400,5308121,1868154,0,0
2002,466541959,135540894,5404081,3811954,34929291,5956016,5424018,1874149,0,0
2003,466530683,135436005,5454778,3849806,34681988,6180145,5479818,1869139,0,0
2004,466526944,135410350,5490222,3882180,34414370,6378387,5530746,1849163,0,0
2005,466521302,135400128,5512894,3929689,34154027,6614669,5537912,1811741,0,0
2006,466519150,135288546,5520565,3988236,33984374,6848269,5580762,1752460,0,0
2007,466515621,135163000,5519219,4056755,33821142,7129674,5565486,1711465,0,0
2008,466512608,135076951,5540085,4128862,33623455,7386053,5556204,1658144,0,0
2009,466509187,135030090,5553702,4185725,33432226,7620670,5566702,1584060,0,0
2010,466505844,135070280,5552218,4279022,33136429,7862594,5581624,1494351,0,0
2011,466503259,135267530,5522777,4330674,32825632,8060233,5592136,1380121,0,0
2012,466503177,135788599,5471045,4355557,32350328,8132186,5621225,1260245,0,0
2013,466502265,136347482,5363963,4374106,31790071,8311777,5650020,1142678,0,0
2014,466500091,136386076,5286676,4420597,31386515,8756599,5720403,1025405,0,0
2015,466499082,136304725,5226718,4512083,30970716,9256411,5798316,914311,0,0
2016,466497005,136256178,5298999,4480760,30409048,9821281,5873931,845160,0,0
2017,466496330,136222276,5274449,4497784,29863821,10417380,5924044,786278,0,0
2018,466496335,136213587,5282637,4485875,29238889,11062852,5960231,741956,0,0
2019,466496767,136206833,5286176,4473327,28765720,11589556,5978199,685784,0,0
2020,466497237,136272931,5268399,4486338,27959603,12364926,5994937,637991,0,0
2021,466494353,136490850,5217231,4514183,26977816,13167761,5998135,622033,0,0
2022,466496589,136620885,5143017,4570365,26097072,13928024,6020879,605531,0,0
2023,466502895,136793439,5059755,4584572,25399800,14455506,6094396,591999,0,0
2024,466344242,137763161,4983617,4500064,24328354,14620828,6315591,626505,0,0
