years,0,1,2,3,4,5,6,7,8,9,10
1984,41243193,4289097,3240755,3238086,739512,4185,0,91362,4953955,866895,0
1985,41243206,4289113,3240571,3237636,739507,4157,0,91453,4954237,867160,0
1986,41241900,4127500,3844548,3128245,565172,743,0,87008,4877520,794404,0
1987,41241825,4131122,3695939,3051376,501535,597,0,84005,5185479,775162,0
1988,41241346,4179743,3398627,2999408,539575,496,0,83145,5462483,762217,0
1989,41241473,4247075,3160460,3008409,577405,412,0,75883,5590052,765871,0
1990,41241164,4316870,2985946,3070616,613636,364,0,68924,5582122,787398,0
1991,41241124,4367309,2759918,3017536,661674,296,0,67917,5758611,792655,0
1992,41240946,4425100,2517582,2939724,717241,269,0,67209,5957278,801691,0
1993,41240798,4484217,2219310,2834357,768129,291,0,68749,6235409,815780,0
1994,41240550,4546851,1848093,2731974,829259,369,0,70037,6571239,828668,0
1995,41240430,4607239,1476934,2654042,892917,561,0,72055,6886485,836377,0
1996,41240231,4662124,1131862,2585799,937230,867,0,73444,7183553,851930,0
1997,41239984,4705410,846385,2523750,945908,1403,0,75253,7458861,870086,0
1998,41239439,4747729,627589,2516499,954497,1902,0,77417,7607211,894757,0
1999,41239220,4783673,466558,2538614,876609,2572,0,79814,7741838,938142,0
2000,41238994,4796090,397294,2361696,841756,2726,0,82228,7956010,990246,0
2001,41238645,4821524,349131,2363809,845599,3140,0,84917,7922200,1038075,0
2002,41238403,4831244,335852,2307344,850872,3070,0,87570,7931977,1080708,0
2003,41237624,4856498,313270,2330843,824739,4216,0,88299,7892384,1119167,0
2004,41237274,4880616,297247,2410257,792367,6003,0,86813,7791006,1165457,0
2005,41236798,4906415,287763,2516443,768374,8594,0,88410,7641326,1212917,0
2006,41236609,4941369,277897,2600239,749036,14287,0,89296,7497190,1261117,0
2007,41236245,4933254,276860,2516392,694526,19975,0,89918,7604072,1295798,0
2008,41235971,4939679,279335,2590211,663714,27067,0,94495,7503933,1332635,0
2009,41235818,4946597,280000,2664683,633638,35943,0,98003,7386988,1385370,0
2010,41235519,4949263,281807,2674499,608751,56552,0,101952,7304865,1453832,0
2011,41235424,4946199,286540,2755385,533063,72043,0,105622,7217500,1515264,0
2012,41235555,4948943,414497,3145899,363273,84606,0,101567,6791765,1580935,0
2013,41235766,4945743,345698,3784823,243079,73165,0,94435,6189745,1754586,0
2014,41235786,4958533,292815,3887370,208352,81974,0,96329,6143711,1762170,0
2015,41235912,4983898,310873,4094862,198707,103594,0,99745,5894295,1745154,0
2016,41235786,4992237,243885,4137738,212784,117567,0,101935,5898929,1726179,0
2017,41235931,4991727,179924,4266625,210678,134906,0,104650,5843038,1699561,0
2018,41235944,4982842,138847,4445650,192361,173231,0,111732,5682431,1704002,0
2019,41235917,4974385,126076,4799245,169505,240034,0,119124,5266994,1735760,0
2020,41237299,4988182,119631,4950653,140034,323856,0,123797,5025016,1758572,0
2021,41235403,4999025,116273,5123684,117398,442049,0,125750,4719827,1787631,0
2022,41235624,5007633,115075,5285615,108094,598327,0,125507,4369630,1821535,0
2023,41235220,5013080,113966,5403435,109900,825211,0,123860,4003777,1838591,0
2024,41223690,4923259,102738,5281073,448660,1606550,0,195248,2722198,2163624,0
