years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,120.23493194580078,29500436.0,29500440.0,29504062.0,29555338.0,29601456.0,29612820.0,29642140.0,29736056.0,29821950.0,29972514.0,30193844.0,30579992.0,31103754.0,31910314.0,33001438.0,34444280.0,36287592.0,39007924.0,42623412.0,47123688.0,52036200.0,58068120.0,65273144.0,71643032.0,76056080.0,78895312.0,79226832.0,76772088.0,69505792.0,58534104.0,49746912.0,43969712.0,38776680.0,35248956.0,32943448.0,31283756.0,30098124.0,29629412.0,29516416.0,29500436.0,29500436.0
1985,121.37420654296875,29500436.0,29500440.0,29501048.0,29517346.0,29593808.0,29643954.0,29695046.0,29754876.0,29834224.0,29952508.0,30231850.0,30593508.0,31052342.0,31776044.0,32740014.0,34035592.0,35706744.0,37909796.0,41059940.0,44830064.0,49715456.0,55841248.0,63862148.0,72750240.0,82037816.0,86548288.0,85137488.0,79681032.0,69198112.0,59056032.0,50448256.0,43967776.0,39196536.0,35538360.0,33097542.0,31484472.0,30179308.0,29661682.0,29519690.0,29500436.0,29500436.0
1986,120.35098266601562,29500436.0,29500440.0,29503536.0,29538032.0,29604924.0,29645636.0,29702740.0,29775784.0,29936136.0,30123332.0,30426440.0,30883952.0,31465776.0,32269824.0,33332800.0,34871408.0,36826820.0,39037132.0,42093884.0,45682332.0,50688024.0,57203184.0,65174064.0,75376512.0,87912712.0,92186144.0,88635352.0,80952528.0,68685320.0,57909384.0,49715088.0,43587280.0,39225872.0,35697216.0,33244816.0,31451388.0,30175760.0,29684300.0,29516792.0,29500436.0,29500436.0
1987,119.20569610595703,29500436.0,29500440.0,29501504.0,29553010.0,29615094.0,29665318.0,29729514.0,29851660.0,30055348.0,30327794.0,30750088.0,31346916.0,32118350.0,33132632.0,34322424.0,35870076.0,37775016.0,40251880.0,43286908.0,47280684.0,52102024.0,58646068.0,67092752.0,78243120.0,91740272.0,97046064.0,92357832.0,81557536.0,68413432.0,57711072.0,49650552.0,43952668.0,39826168.0,36069264.0,33456144.0,31432730.0,30167102.0,29686878.0,29521012.0,29500436.0,29500436.0
1988,118.35344696044922,29500436.0,29500440.0,29502048.0,29545568.0,29605310.0,29689184.0,29763476.0,29962108.0,30165780.0,30490750.0,30970904.0,31674628.0,32547936.0,33593384.0,35062948.0,36780772.0,38739512.0,41277320.0,44268368.0,48124160.0,53027156.0,59512064.0,68759936.0,81765544.0,94171576.0,100117496.0,93559760.0,81264696.0,67650816.0,57397220.0,50044708.0,44099800.0,40173968.0,36288296.0,33458084.0,31470088.0,30187096.0,29694832.0,29530490.0,29500436.0,29500436.0
1989,118.22364044189453,29500436.0,29500440.0,29501348.0,29527272.0,29598516.0,29683900.0,29766990.0,29984452.0,30191644.0,30525020.0,31051358.0,31705996.0,32668992.0,33856164.0,35275360.0,36956112.0,38976212.0,41236380.0,44206244.0,47904564.0,53123364.0,59979984.0,70015552.0,83751776.0,95116336.0,101061304.0,93028296.0,79521152.0,66797336.0,57821328.0,50639548.0,44642368.0,40460816.0,36461076.0,33490634.0,31450536.0,30190604.0,29698480.0,29548176.0,29500436.0,29500436.0
1990,118.12908172607422,29500436.0,29500440.0,29501034.0,29520246.0,29576752.0,29674458.0,29737662.0,29931452.0,30208748.0,30543750.0,31072308.0,31702582.0,32736768.0,33894644.0,35214496.0,36843896.0,38828700.0,41140136.0,44309736.0,48121684.0,53393488.0,60890528.0,71254440.0,84882440.0,95518248.0,99525904.0,91249712.0,77399664.0,66356808.0,57675652.0,50861236.0,44927736.0,40622304.0,36208904.0,33499056.0,31465132.0,30184356.0,29708912.0,29547040.0,29500436.0,29500436.0
1991,119.2738265991211,29500436.0,29500440.0,29500728.0,29507372.0,29547188.0,29630704.0,29752820.0,29897462.0,30164852.0,30473990.0,30900184.0,31408076.0,32219468.0,33248072.0,34505624.0,36016020.0,37899168.0,40173952.0,43109056.0,47020500.0,52042768.0,58978440.0,69019984.0,81865232.0,91399032.0,93843760.0,86183520.0,76082880.0,67463568.0,61116984.0,53208272.0,46839676.0,41183024.0,36482008.0,33513468.0,31487030.0,30189640.0,29737288.0,29550514.0,29500436.0,29500436.0
1992,118.87506866455078,29500436.0,29500436.0,29500764.0,29505460.0,29542012.0,29613188.0,29753474.0,29924140.0,30228684.0,30544212.0,30940692.0,31539384.0,32380060.0,33411504.0,34740932.0,36429120.0,38416624.0,40585992.0,43558676.0,47567260.0,52652900.0,59631280.0,70362304.0,82444896.0,92051488.0,93703768.0,85770160.0,75984584.0,67766864.0,60935832.0,52914232.0,46920632.0,41207504.0,36448840.0,33517194.0,31511784.0,30232812.0,29743884.0,29565772.0,29500436.0,29500436.0
1993,119.8183364868164,29500436.0,29500436.0,29500906.0,29505164.0,29538936.0,29606788.0,29719680.0,29847020.0,30086140.0,30392272.0,30781392.0,31399916.0,32207546.0,33252784.0,34624288.0,36256112.0,38294584.0,40329196.0,43111696.0,47055848.0,51688712.0,58524844.0,67932016.0,80922336.0,93797648.0,100373504.0,92099120.0,78953776.0,69126928.0,60837112.0,53401960.0,47732800.0,41882776.0,36570376.0,33619744.0,31513476.0,30227170.0,29772526.0,29598604.0,29500436.0,29500834.0
