years,0,1,2,3,4,5,6,7,8,9,10
1984,335638747,27564042,1351545,4178968,1841776,622115,908,18173927,1001390,5438537,0
1985,335555221,27396454,1401297,4161676,1847579,585632,919,18424471,1014723,5423983,0
1986,335461175,27342863,1370550,4283430,1840744,558174,826,18450505,1079251,5424437,0
1987,335440786,27091666,1211600,4435425,1852042,577026,840,18649286,1095295,5457989,0
1988,335428998,26838101,1062720,4492188,1895421,610607,803,18870093,1109556,5503468,0
1989,335423836,26642021,927101,4559061,1916044,618472,1038,19061876,1096477,5566029,0
1990,335418767,26111901,826155,4562891,1973165,631552,1017,19554163,1099482,5632862,0
1991,335414563,25627634,733344,4534282,2052992,656038,1055,20016828,1087720,5687499,0
1992,335411459,25306685,662822,4506006,2118810,672631,1050,20349014,1087575,5695903,0
1993,335409524,24913539,592116,4387150,2176330,696340,1019,20764063,1105815,5766059,0
1994,335407634,24516285,486802,4312575,2256919,735487,1026,21185309,1104190,5805728,0
1995,335406298,24205566,391104,4211067,2336688,776521,1035,21532038,1103217,5848421,0
1996,335408096,23917609,315401,4113420,2417024,841922,1047,21839099,1096257,5862080,0
1997,335408232,23695318,259716,3991048,2475960,891725,1082,22098671,1094101,5896102,0
1998,335411952,23504252,211017,3860775,2543386,950690,1154,22330422,1103004,5895303,0
1999,335419630,23385719,173395,3698637,2609058,1011894,1174,22481371,1135750,5895327,0
2000,335412415,23351050,140588,3575109,2654739,1085989,1209,22573007,1173009,5844840,0
2001,335430937,23315114,116836,3449240,2708631,1176453,1298,22655816,1216700,5740930,0
2002,335436959,23281323,93704,3335548,2760615,1255148,1410,22738185,1257099,5651964,0
2003,335407357,23348745,78767,3237219,2803321,1297119,1546,22751187,1308528,5578166,0
2004,335408520,23412546,69863,3114849,2851522,1338331,1599,22740218,1356469,5518038,0
2005,335404320,23488328,63924,2980862,2888561,1355800,1351,22749664,1401667,5477478,0
2006,335404478,23553860,65188,2870891,2933951,1414212,1385,22731804,1432621,5403565,0
2007,335407346,23571907,68125,2772347,2976137,1460858,1381,22733787,1480931,5339136,0
2008,335403465,23708703,69776,2685707,3026076,1516745,1674,22633723,1520904,5245182,0
2009,335401593,23862989,73078,2613470,3064390,1564129,2133,22519752,1560329,5150092,0
2010,335401295,24095734,74488,2562517,2992600,1668598,2631,22364960,1616114,5033018,0
2011,335400211,24341880,68898,2499340,3025392,1694693,3564,22196842,1670948,4910187,0
2012,335400957,24557422,61415,2445544,3053636,1740772,4890,22085230,1719214,4742875,0
2013,335407920,24698568,52333,2431810,3100180,1742562,7281,22004878,1784658,4581765,0
2014,335430094,24956479,70916,2175082,3159849,1860148,9132,21895643,1815840,4438772,0
2015,335451365,25014729,89681,2106724,3211635,1989257,10833,21809753,1844571,4283407,0
2016,335428503,25249452,102827,2026173,3226518,2201676,12300,21631344,1873647,4059515,0
2017,335432455,25488654,103326,1962355,3213009,2419645,13390,21390376,1895616,3893129,0
2018,335426079,25754722,91101,1932123,3193403,2640168,14711,21188815,1899498,3671335,0
2019,335421118,26041438,74765,1881942,3158448,2872132,14890,20968177,1932108,3446937,0
2020,335429500,26346166,59413,1853002,3094022,3103862,14684,20738837,1932482,3239987,0
2021,335431577,26646001,40919,1826870,3039505,3293535,13939,20538507,1945735,3035367,0
2022,335442813,27026331,25469,1784488,2983955,3473344,12362,20267237,1954179,2841777,0
2023,335457107,27571493,15789,1710327,2943544,3656587,9338,19867829,1948625,2631316,0
2024,335356454,28483440,10552,1561437,2870314,3938050,21494,19310388,1970237,2289589,0
