years,mean,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110,110-115,115-120,120-125,125-130,130-135,135-140,140-145,145-150,150-155,155-160,160-165,165-170,170-175,175-180,180-185,185-190,190-195,195-200,200+
1984,100.7852554321289,22172128.0,22206180.0,22279874.0,22399200.0,22585336.0,22849702.0,23322718.0,24131360.0,25241660.0,26674560.0,28555220.0,31089146.0,34354000.0,38287548.0,43462040.0,49335960.0,55115312.0,60215544.0,64368568.0,67782296.0,71539152.0,74365568.0,76308512.0,77530328.0,76997208.0,74027272.0,68715672.0,59467848.0,48552280.0,39991588.0,34188740.0,30715686.0,27790810.0,25067188.0,23461186.0,22841536.0,22524300.0,22350320.0,22287608.0,22169808.0,22179896.0
1985,100.7982406616211,22172116.0,22205830.0,22280002.0,22401640.0,22589404.0,22855704.0,23316768.0,24132468.0,25242642.0,26655408.0,28483512.0,31035728.0,34300072.0,38269564.0,43358584.0,49575316.0,55679792.0,60958112.0,65536232.0,69156496.0,72724360.0,75844768.0,77639520.0,78322752.0,77900400.0,74554712.0,69015384.0,59653760.0,48555668.0,39970924.0,34085900.0,30485528.0,27555676.0,24873096.0,23395324.0,22803114.0,22480760.0,22334672.0,22275564.0,22169808.0,22175266.0
1986,97.73831176757812,22172932.0,22210566.0,22297300.0,22455274.0,22746492.0,23165248.0,23913982.0,25032736.0,26325840.0,27960272.0,30070722.0,32529640.0,35512008.0,39375288.0,44170040.0,50023520.0,55733880.0,60957592.0,65518720.0,69261056.0,72742904.0,75128056.0,77531496.0,77615424.0,76675488.0,72957752.0,65609080.0,55656900.0,44575356.0,34826120.0,29719392.0,26645532.0,24724080.0,23169376.0,22526420.0,22342776.0,22318956.0,22291120.0,22233766.0,22169808.0,22173448.0
1987,96.81169891357422,22173180.0,22211482.0,22310816.0,22476150.0,22802192.0,23324356.0,24091472.0,25192328.0,26583774.0,28464572.0,30785132.0,33527630.0,36710652.0,40700400.0,46054972.0,51711488.0,57328784.0,62872116.0,67584232.0,71816160.0,75317904.0,78187128.0,80689744.0,81105248.0,79610896.0,75092752.0,65735656.0,54075724.0,42000040.0,33220264.0,28285082.0,25893242.0,24208332.0,22837388.0,22429776.0,22332928.0,22308516.0,22249120.0,22196556.0,22169808.0,22169808.0
1988,96.73342895507812,22173926.0,22215314.0,22312052.0,22505722.0,22855784.0,23433342.0,24273352.0,25332112.0,26747808.0,28655582.0,31214626.0,33969508.0,37368772.0,41412488.0,46405280.0,51628720.0,56853852.0,62448180.0,67241568.0,72475024.0,76693264.0,80380608.0,84274760.0,85494352.0,82893624.0,77151432.0,66468456.0,53589384.0,41762744.0,32694576.0,27955646.0,25766768.0,23900354.0,22828192.0,22492324.0,22425372.0,22376116.0,22273638.0,22201134.0,22169808.0,22170812.0
1989,96.93727111816406,22173128.0,22213804.0,22315464.0,22520390.0,22891346.0,23527324.0,24339502.0,25384834.0,26778436.0,28694734.0,31309212.0,34193032.0,37404244.0,41325704.0,46072712.0,50997596.0,56441240.0,62126240.0,67233360.0,72590896.0,77359632.0,81859328.0,86547152.0,88051920.0,84718624.0,78419808.0,66702852.0,53535828.0,41670800.0,32689376.0,28295912.0,25783388.0,23860344.0,22914640.0,22667306.0,22652494.0,22492176.0,22354450.0,22291808.0,22169808.0,22227536.0
1990,95.99673461914062,22172580.0,22214556.0,22322640.0,22519184.0,22926520.0,23594798.0,24397318.0,25518896.0,26909980.0,28822848.0,31754048.0,34854312.0,38162360.0,42048800.0,46489432.0,51439248.0,57338304.0,62954912.0,68030784.0,73155064.0,78084680.0,83622608.0,88122416.0,88129176.0,84704784.0,76670328.0,64669192.0,51162216.0,39126600.0,30839496.0,27108360.0,24789132.0,23111704.0,22491192.0,22344258.0,22319950.0,22236252.0,22179444.0,22169808.0,22169808.0,22169808.0
1991,95.28190612792969,22172218.0,22211310.0,22312620.0,22493668.0,22899360.0,23561702.0,24466152.0,25579376.0,26990920.0,29074328.0,32074492.0,35492248.0,38874928.0,42517296.0,47302216.0,52537128.0,58495944.0,63986824.0,68781784.0,73596856.0,78707056.0,84071232.0,87428672.0,86495608.0,83471992.0,74879776.0,62862328.0,49153112.0,37253672.0,29761314.0,26681518.0,24370942.0,23032624.0,22487310.0,22314700.0,22265016.0,22205052.0,22172766.0,22169808.0,22169808.0,22169808.0
1992,94.68524169921875,22171878.0,22205566.0,22305756.0,22476956.0,22862264.0,23560104.0,24487432.0,25696150.0,27102428.0,29191908.0,32249360.0,35810180.0,39481672.0,43306328.0,47956328.0,53034020.0,59281136.0,64866692.0,69451888.0,74555048.0,79189208.0,83847680.0,87515312.0,86705504.0,82270968.0,73134576.0,60326128.0,46937912.0,36049536.0,29126564.0,26223432.0,23836914.0,22869296.0,22424026.0,22295314.0,22217204.0,22175572.0,22169808.0,22169808.0,22169808.0,22169808.0
1993,94.66734313964844,22171738.0,22201386.0,22292864.0,22448076.0,22814532.0,23508282.0,24534784.0,25812512.0,27221168.0,29297344.0,32260864.0,35884320.0,39726236.0,43480432.0,48130432.0,53150148.0,59198252.0,64992072.0,69560256.0,74469896.0,79209776.0,83868568.0,87160512.0,87521792.0,83294696.0,73950848.0,60040400.0,46563568.0,35808024.0,29090432.0,26053288.0,23780056.0,22851188.0,22433060.0,22280080.0,22184202.0,22170712.0,22169808.0,22169808.0,22169808.0,22169808.0
1994,94.74411010742188,22171452.0,22199620.0,22282152.0,22422266.0,22780370.0,23503848.0,24583986.0,25966764.0,27347566.0,29359764.0,32281496.0,35756536.0,39658072.0,43452568.0,47934556.0,53003864.0,58804236.0,64970584.0,69461600.0,74498280.0,79378464.0,83933408.0,87197880.0,88111064.0,84445992.0,74791552.0,60060688.0,46685000.0,35714040.0,29097958.0,25784800.0,23827076.0,22889430.0,22452118.0,22220820.0,22174550.0,22171076.0,22169992.0,22169808.0,22169808.0,22169808.0
1995,94.84171295166016,22171216.0,22193572.0,22270720.0,22403284.0,22750444.0,23478360.0,24622156.0,26033112.0,27448960.0,29357352.0,32229888.0,35739192.0,39589156.0,43347356.0,47951000.0,52909716.0,58509232.0,64798568.0,69731744.0,74456568.0,79465416.0,83917832.0,87211624.0,88411312.0,85024592.0,75560272.0,60178408.0,46931776.0,35897772.0,29123582.0,25588894.0,23809676.0,22967604.0,22389308.0,22204122.0,22174906.0,22171432.0,22170548.0,22169808.0,22169808.0,22169808.0
1996,94.94284057617188,22171066.0,22192252.0,22269882.0,22386794.0,22715836.0,23459172.0,24667260.0,26046612.0,27508340.0,29423872.0,32254618.0,35632500.0,39431904.0,43335020.0,47786476.0,52771688.0,58181904.0,64819752.0,69574840.0,74316992.0,79249472.0,84326000.0,87396192.0,88870280.0,86125744.0,76031888.0,60315596.0,46928880.0,35925756.0,29178184.0,25523848.0,23828562.0,22927868.0,22361450.0,22200538.0,22177376.0,22172526.0,22170926.0,22169808.0,22169808.0,22169808.0
1997,94.99783325195312,22170984.0,22190888.0,22266048.0,22381732.0,22692660.0,23449484.0,24726534.0,26093292.0,27508854.0,29471084.0,32168216.0,35488364.0,39392800.0,43162652.0,47678544.0,52735344.0,58014696.0,64687448.0,69589336.0,74238992.0,79364592.0,84871168.0,88127048.0,89056328.0,86619496.0,76117496.0,60323144.0,46454724.0,35982032.0,29322210.0,25536376.0,23764768.0,22776252.0,22318444.0,22205904.0,22179140.0,22174148.0,22171478.0,22170566.0,22169808.0,22169808.0
1998,95.19236755371094,22170852.0,22188864.0,22261420.0,22378488.0,22686396.0,23461736.0,24740136.0,26081486.0,27466808.0,29426974.0,32047322.0,35314280.0,39253660.0,42940024.0,47485576.0,52468756.0,57722456.0,64234784.0,69737024.0,74052488.0,79169544.0,85340360.0,88847664.0,89662720.0,87360104.0,76527632.0,60747680.0,46395696.0,36256064.0,29619662.0,25635882.0,23692356.0,22787398.0,22335568.0,22216666.0,22186516.0,22176876.0,22172416.0,22170956.0,22169808.0,22169808.0
