years,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1984,234423708,49799866,29898594,6508,4026044,7551681,0,1576623,413,0,0,154687,0,0
1985,234422293,49690226,30271154,7336,3625193,7929350,0,1331572,411,0,0,160589,0,0
1986,234417771,49357209,31677570,7767,3565588,6978739,0,1267099,231,0,0,166150,0,0
1987,234412263,48946643,32550983,7481,3666906,6452392,0,1231626,184,0,0,169646,0,0
1988,234405917,48582340,32925565,7126,3887181,6234144,0,1224097,98,0,0,171656,0,0
1989,234401314,48496398,32778145,5839,4073519,6203959,0,1307450,17,0,0,171483,0,0
1990,234396063,48321559,32545238,6515,4372519,6190943,0,1432603,0,0,0,172684,0,0
1991,234392301,47936458,32623931,6420,4571507,6201892,0,1531624,2,0,0,173989,0,0
1992,234388512,47542200,32852192,7273,4675674,6190567,0,1608017,9,0,0,173680,0,0
1993,234385355,47141496,33082091,7708,4681363,6333272,0,1633027,59,0,0,173753,0,0
1994,234381984,46770587,33068670,8736,4760702,6504560,0,1768659,447,0,0,173779,0,0
1995,234379206,46440234,32995760,10105,4806526,6703244,0,1929058,1227,0,0,172764,0,0
1996,234376864,46142031,32803222,12234,4846429,6982456,0,2100450,2967,0,0,171471,0,0
1997,234374356,45885722,32572775,14155,4827176,7348298,0,2237657,9484,0,0,168501,0,0
1998,234372467,45642150,32327781,16237,4820440,7664180,0,2409747,19920,0,0,165202,0,0
1999,234370902,45453385,32017323,19763,4871773,7919181,0,2593028,30864,0,0,161905,0,0
2000,234369066,45321939,31646782,24588,4939012,8137278,0,2797731,42996,0,0,158732,0,0
2001,234367704,45216076,31196974,30963,5155330,8246404,0,3013066,56171,0,0,155436,0,0
2002,234366177,45046852,31047388,38635,5267598,8255220,0,3193077,70590,0,0,152587,0,0
2003,234363996,44935986,30795798,47360,5474890,8214091,0,3369304,86308,0,0,150391,0,0
2004,234363093,44836650,30551357,56981,5728210,8091861,0,3559389,102274,0,0,148309,0,0
2005,234361500,44750045,30272981,67631,6010712,7986647,0,3724400,117475,0,0,146733,0,0
2006,234360080,44701583,30091247,81678,6229218,7825481,0,3871341,131326,0,0,146170,0,0
2007,234359242,44579096,30014948,102792,6492328,7604383,0,3994471,145645,0,0,145219,0,0
2008,234357911,44463052,29902130,131739,6823728,7360239,0,4097687,157966,0,0,143672,0,0
2009,234357147,44386943,29758174,179137,7127847,7053521,0,4261639,171328,0,0,142388,0,0
2010,234356417,44315052,29598645,243681,7454810,6697625,0,4447255,183945,0,0,140694,0,0
2011,234355940,44344647,29235817,336368,7896703,6336768,0,4601276,191977,0,0,138626,2,0
2012,234355776,44537272,28669748,463657,8268512,6028229,0,4776843,201528,0,0,136556,3,0
2013,234355868,44696154,28094585,611991,8680468,5730214,0,4952242,180921,0,0,135680,1,0
2014,234355683,44598847,27710585,780231,9126590,5428333,0,5142215,160871,0,0,134766,3,0
2015,234354582,44358284,28097307,1065481,9056184,4761527,0,5470971,140159,0,0,133621,8,0
2016,234354395,44205411,28131161,1295300,9096540,4325997,0,5763842,132632,0,0,132846,0,0
2017,234353763,44133928,27783367,1514495,9399483,4059189,0,5934950,127318,0,0,131631,0,0
2018,234354027,44140356,27201917,1752427,9785771,3883601,0,6065266,123860,0,0,130899,0,0
2019,234353341,44102533,26760981,1993611,10195653,3653190,0,6130151,118214,0,0,130450,0,0
2020,234354733,44092673,26409914,2225849,10605904,3396603,0,6109604,112980,0,0,129864,0,0
2021,234352583,44062094,26185695,2500131,10884983,3163252,0,6044452,115583,0,0,129351,0,0
2022,234352561,44046630,26249090,2709471,10975282,2900466,0,5948251,128096,0,0,128277,0,0
2023,234353513,44067437,26582589,2681971,10842542,2735451,0,5902236,145399,0,0,126986,0,0
2024,234300979,44485177,27234401,2798692,9631323,2298168,4,6152574,409310,0,0,126633,863,0
