years,0,1,2,3,4,5,6,7,8,9
1984,13222710,2039277,3907,2657176,4207262,39476,0,0,0,0
1985,13222719,1901020,3909,2754363,4248182,39615,0,0,0,0
1986,13224052,1929122,17481,2988445,3941437,69271,0,0,0,0
1987,13224666,1441349,26480,3396294,3996703,84316,0,0,0,0
1988,13224287,1069592,33980,3379827,4366175,95947,0,0,0,0
1989,13222771,866338,40505,2984369,4954510,101315,0,0,0,0
1990,13221890,810272,42995,2803656,5189643,101352,0,0,0,0
1991,13221636,808969,44612,2748862,5243532,102197,0,0,0,0
1992,13221106,805321,44353,2850443,5148601,99984,0,0,0,0
1993,13220598,782669,47141,2814351,5199335,105714,0,0,0,0
1994,13220228,759952,49461,2792588,5234079,113500,0,0,0,0
1995,13220091,739314,53105,2839170,5200488,117640,0,0,0,0
1996,13219701,725876,55392,2878557,5168121,122161,0,0,0,0
1997,13219543,713409,59604,2921948,5129592,125712,0,0,0,0
1998,13219344,703585,63337,2929343,5120105,134094,0,0,0,0
1999,13219141,697379,66679,2944734,5095866,146009,0,0,0,0
2000,13219193,693658,70113,2950390,5083379,153075,0,0,0,0
2001,13219050,694153,72996,2923683,5099857,160069,0,0,0,0
2002,13218963,698552,75674,2886333,5118935,171351,0,0,0,0
2003,13218874,700569,77182,2818400,5179966,174817,0,0,0,0
2004,13218857,703447,77470,2760250,5232452,177332,0,0,0,0
2005,13218872,709431,78755,2715626,5265918,181206,0,0,0,0
2006,13218853,721488,78393,2750109,5241156,159809,0,0,0,0
2007,13218709,725649,78210,2731093,5251354,164793,0,0,0,0
2008,13218769,730343,78245,2730504,5238806,173141,0,0,0,0
2009,13218749,734837,77175,2726539,5229622,182886,0,0,0,0
2010,13218677,737698,74495,2579422,5360810,198706,0,0,0,0
2011,13218740,763059,66934,2379561,5531797,209717,0,0,0,0
2012,13218686,763443,66645,2299776,5596855,224403,0,0,0,0
2013,13218670,759400,65219,2207747,5674559,244213,0,0,0,0
2014,13218749,756839,62578,2128988,5739388,263266,0,0,0,0
2015,13218744,754143,59065,2121402,5733217,283237,0,0,0,0
2016,13218896,749397,55695,2205233,5613991,326596,0,0,0,0
2017,13219621,744924,54099,2261569,5504262,385333,0,0,0,0
2018,13219455,746914,50922,2256197,5445627,450690,3,0,0,0
2019,13221098,749610,47379,2102829,5520203,528655,34,0,0,0
2020,13219299,749235,44613,1975228,5586612,594675,146,0,0,0
2021,13219533,749110,42135,1863131,5653144,642578,177,0,0,0
2022,13219839,748910,39148,1822338,5656235,683215,123,0,0,0
2023,13220642,748964,35792,1793900,5663428,706977,105,0,0,0
2024,13212966,759286,33668,1773155,5714642,676041,50,0,0,0
