epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_r2_epoch,val_r2_step,val_rmse_epoch,val_rmse_step
0,49,,13091.7724609375,,83.79729461669922,,-0.7140464782714844,,114.4192886352539,,,,,,,,
0,99,,10525.6787109375,,74.51921081542969,,-0.5726871490478516,,102.59473419189453,,,,,,,,
0,149,,5191.6787109375,,42.45243453979492,,0.21505433320999146,,72.05330657958984,,,,,,,,
0,199,,6397.62744140625,,56.49256134033203,,0.10372275114059448,,79.98516845703125,,,,,,,,
0,249,,2398.904052734375,,30.13115119934082,,0.5629560947418213,,48.978607177734375,,,,,,,,
0,299,,7927.85009765625,,63.99968338012695,,-0.2847757339477539,,89.0384750366211,,,,,,,,
0,349,,3517.382080078125,,37.37956619262695,,0.4768165349960327,,59.30752182006836,,,,,,,,
0,399,,3533.455078125,,39.913185119628906,,0.27411288022994995,,59.44287109375,,,,,,,,
0,449,,3536.739013671875,,38.54890060424805,,0.5237300992012024,,59.470489501953125,,,,,,,,
,0,,,,,,,,,,2538.65087890625,,28.85873031616211,,0.6339437961578369,,50.38502502441406
,1,,,,,,,,,,1817.326904296875,,24.074209213256836,,0.6761252880096436,,42.6301155090332
,2,,,,,,,,,,2265.084716796875,,27.184030532836914,,0.6552183628082275,,47.5929069519043
,3,,,,,,,,,,3417.53466796875,,38.3419189453125,,0.5872353315353394,,58.45968246459961
,4,,,,,,,,,,2658.1015625,,30.293455123901367,,0.5736929178237915,,51.55678176879883
,5,,,,,,,,,,2448.020263671875,,30.48575782775879,,0.5868302583694458,,49.47747039794922
,6,,,,,,,,,,2028.83837890625,,24.471424102783203,,0.6263402700424194,,45.04262924194336
,7,,,,,,,,,,3195.38525390625,,33.69388961791992,,0.6223422288894653,,56.52773666381836
,8,,,,,,,,,,3107.742919921875,,38.86280059814453,,0.5292150974273682,,55.747135162353516
,9,,,,,,,,,,2141.2822265625,,25.672903060913086,,0.555701732635498,,46.273990631103516
,10,,,,,,,,,,2589.282470703125,,25.256914138793945,,0.5317927598953247,,50.88499069213867
,11,,,,,,,,,,2805.747314453125,,33.13093185424805,,0.5861818790435791,,52.96930694580078
,12,,,,,,,,,,2542.856689453125,,28.659557342529297,,0.5702075958251953,,50.4267463684082
,13,,,,,,,,,,2726.46826171875,,30.14446258544922,,0.578168511390686,,52.21559524536133
,14,,,,,,,,,,2001.2982177734375,,22.32489585876465,,0.6202334761619568,,44.735870361328125
,15,,,,,,,,,,3206.229248046875,,35.785884857177734,,0.5481412410736084,,56.623573303222656
,16,,,,,,,,,,1660.117431640625,,21.80858039855957,,0.6911555528640747,,40.744537353515625
,17,,,,,,,,,,2233.308837890625,,24.20692253112793,,0.6480892896652222,,47.25789260864258
,18,,,,,,,,,,1862.51220703125,,24.84162712097168,,0.6852394938468933,,43.15683364868164
,19,,,,,,,,,,2745.099365234375,,30.22873306274414,,0.557604193687439,,52.39369583129883
,20,,,,,,,,,,2064.53662109375,,25.441852569580078,,0.6707322597503662,,45.437171936035156
,21,,,,,,,,,,2556.722900390625,,32.195133209228516,,0.5993152856826782,,50.564048767089844
,22,,,,,,,,,,2430.2890625,,30.531850814819336,,0.617332935333252,,49.29796600341797
,23,,,,,,,,,,3678.799560546875,,40.38157272338867,,0.5186578035354614,,60.653106689453125
,24,,,,,,,,,,3661.76416015625,,38.77297592163086,,0.5095017552375793,,60.51251220703125
,25,,,,,,,,,,3068.2841796875,,34.09192657470703,,0.5886064767837524,,55.392093658447266
,26,,,,,,,,,,1482.258056640625,,17.43840789794922,,0.6477243900299072,,38.50010299682617
,27,,,,,,,,,,3114.77978515625,,35.10200119018555,,0.5729511976242065,,55.810211181640625
,28,,,,,,,,,,2759.087646484375,,34.03528594970703,,0.533758282661438,,52.52701950073242
