epoch,step,train_accuracy_macro_2_epoch,train_accuracy_macro_2_step,train_accuracy_macro_3_epoch,train_accuracy_macro_3_step,train_accuracy_macro_4_epoch,train_accuracy_macro_4_step,train_accuracy_macro_5_epoch,train_accuracy_macro_5_step,train_accuracy_macro_epoch,train_accuracy_macro_step,train_accuracy_micro_2_epoch,train_accuracy_micro_2_step,train_accuracy_micro_3_epoch,train_accuracy_micro_3_step,train_accuracy_micro_4_epoch,train_accuracy_micro_4_step,train_accuracy_micro_5_epoch,train_accuracy_micro_5_step,train_accuracy_micro_epoch,train_accuracy_micro_step,train_f1_macro,train_f1_micro,train_loss_epoch,train_loss_step,val_accuracy_macro_2_epoch,val_accuracy_macro_2_step,val_accuracy_macro_3_epoch,val_accuracy_macro_3_step,val_accuracy_macro_4_epoch,val_accuracy_macro_4_step,val_accuracy_macro_5_epoch,val_accuracy_macro_5_step,val_accuracy_macro_epoch,val_accuracy_macro_step,val_accuracy_micro_2_epoch,val_accuracy_micro_2_step,val_accuracy_micro_3_epoch,val_accuracy_micro_3_step,val_accuracy_micro_4_epoch,val_accuracy_micro_4_step,val_accuracy_micro_5_epoch,val_accuracy_micro_5_step,val_accuracy_micro_epoch,val_accuracy_micro_step,val_f1_macro,val_f1_micro,val_loss_epoch,val_loss_step
0,49,,0.562902569770813,,0.7160124778747559,,0.8128001093864441,,0.8683775663375854,,0.3705030083656311,,0.8153737783432007,,0.9153292179107666,,0.9627115726470947,,0.9818027019500732,,0.6908671259880066,,,,0.8551018834114075,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.4707547426223755,,0.6466425657272339,,0.7462478876113892,,0.8446558117866516,,0.3116857409477234,,0.784319281578064,,0.8725629448890686,,0.9317086935043335,,0.9814809560775757,,0.6648739576339722,,,,0.9092645645141602,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,0.3758840560913086,,0.48336127400398254,,0.5929874181747437,,0.7001937031745911,,0.23409780859947205,,0.7951829433441162,,0.867012083530426,,0.9211791157722473,,0.9678656458854675,,0.6181153059005737,,,,1.0336010456085205,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,0.542482316493988,,0.6839234828948975,,0.8073800802230835,,0.906714677810669,,0.28269609808921814,,0.8098353147506714,,0.9043694734573364,,0.9627824425697327,,0.9885336756706238,,0.6345688700675964,,,,1.0472111701965332,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,0.41233497858047485,,0.5180623531341553,,0.6783345937728882,,0.8110677003860474,,0.2786136269569397,,0.8882842063903809,,0.9432255029678345,,0.9649933576583862,,0.9894064664840698,,0.7626499533653259,,,,0.6604830622673035,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,0.3987064063549042,,0.585700273513794,,0.7049084901809692,,0.7811612486839294,,0.27947577834129333,,0.8014171719551086,,0.8841942548751831,,0.938595712184906,,0.9723203778266907,,0.6523727774620056,,,,1.012576699256897,,,,,,,,,,,,,,,,,,,,,,,,
0,349,,0.5078033804893494,,0.6251300573348999,,0.7902719378471375,,0.8633079528808594,,0.32239794731140137,,0.8489581346511841,,0.9180305004119873,,0.9691000580787659,,0.9907148480415344,,0.6989989876747131,,,,0.8184278011322021,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,0.5005990266799927,,0.7823023796081543,,0.828253984451294,,0.957157552242279,,0.3313438892364502,,0.8910188674926758,,0.9594873189926147,,0.9842788577079773,,0.9955315589904785,,0.7897836565971375,,,,0.5748392343521118,,,,,,,,,,,,,,,,,,,,,,,,
0,449,,0.4389845132827759,,0.5223727226257324,,0.5941779017448425,,0.773662805557251,,0.319023072719574,,0.8330318331718445,,0.9029673933982849,,0.9524478316307068,,0.9809784293174744,,0.6965155005455017,,,,0.7868849635124207,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.38420569896698,,0.5427722334861755,,0.6449921727180481,,0.7870213985443115,,0.23995982110500336,,0.8513168692588806,,0.9307884573936462,,0.9677419662475586,,0.9856691360473633,,0.6968033909797668,,,,0.8622128963470459
